apagar,campeao,dham,res_apagar,res_campeao,regra
D:\MÍDIA\2015\2015-05\2015-05-01 02.55.28 [bf7ae233].jpg,D:\MÍDIA\2015\2015-04\2015-04-29 17.47.56 [e3ad6055].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-01 02.59.24 [a81e368c].jpg,D:\MÍDIA\2015\2015-04\2015-04-29 17.42.24 [c8ae3306].jpg,2,384x512,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-01 02.59.24 [813b40cc].jpg,D:\MÍDIA\2015\2015-04\2015-04-29 17.42.10 [a193ba55].jpg,2,384x512,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-02 [06ec77da].jpg,D:\MÍDIA\2015\2015-05\2015-05-02 15.03.09 [f5d18a44].jpg,0,780x1052,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-02 16.03.49 [acd044b8].jpg,D:\MÍDIA\2015\2015-05\2015-05-02 15.03.09 [f5d18a44].jpg,0,384x512,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-02 16.34.33 [d7c51789].jpg,D:\MÍDIA\2015\2015-05\2015-05-02 15.04.29 [cf310440].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-02 16.35.07 [55c71429].jpg,D:\MÍDIA\2015\2015-05\2015-05-02 15.34.44 [5ac07d9c].jpg,2,384x512,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-02 16.35.07 [c92988a5].jpg,D:\MÍDIA\2015\2015-05\2015-05-02 15.02.35 [69833339].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-02 16.37.57 [4b0f9f73].jpg,D:\MÍDIA\2015\2015-05\2015-05-02 15.34.58 [42f419fd].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-02 18.11.34 [804affa9].jpg,D:\MÍDIA\2015\2015-05\2015-05-02 15.38.19 [3b9fcbfb].jpg,2,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-02 18.11.35 [e35e5b43].jpg,D:\MÍDIA\2015\2015-05\2015-05-02 15.38.03 [ccd7f383].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-02 18.11.35 [4115c1fa].jpg,D:\MÍDIA\2015\2015-05\2015-05-02 15.04.15 [50a75ae1].jpg,0,384x512,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-02 18.11.35 [6d45ad3b].jpg,D:\MÍDIA\2015\2015-05\2015-05-02 15.04.12 [82fa970e].jpg,0,384x512,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-02 18.11.36 [cca4c116].jpg,D:\MÍDIA\2015\2015-05\2015-05-02 15.03.08 [e0126dc2].jpg,1,384x512,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.34 [cdd7205b].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 21.09.14 [bc4a9779].jpg,2,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.40.41 [c49e6d04].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 21.09.14 [bc4a9779].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.34 [1977578c].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 21.09.14 [bc4a9779].jpg,3,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.40.41 [23fd257f].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 21.09.14 [bc4a9779].jpg,4,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.34 [505429b8].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 21.07.23 [5b0ea9e7].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.40.42 [d0cdc2ad].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 21.07.23 [5b0ea9e7].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.23 [1a81536a].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 21.06.46 [e1dedc09].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.08 [37333f23].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 21.06.46 [e1dedc09].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.08 [50222ed4].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 21.01.30 [fad1632f].jpg,0,384x512,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.22 [d2a23c37].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 20.51.55 [304633f6].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.09 [f1963350].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 20.51.55 [304633f6].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.19 [98fb3e35].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 20.52.00 [ff114127].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.09 [d042484d].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 20.52.00 [ff114127].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.29 [04074872].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.50.03 [0cff8063].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.13 [4ce67577].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.50.03 [0cff8063].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.21 [3094e4bb].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.42.20 [9d379d90].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.44.32 [61f4274d].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.42.20 [9d379d90].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.29.58 [3d268125].jpg,D:\MÍDIA\2015\2015-05\2015-05-04 10.43.37 [aa48df8a].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.31.44 [9519a3a3].jpg,D:\MÍDIA\2015\2015-05\2015-05-04 10.43.33 [f7f7a429].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.31.44 [48ee52da].jpg,D:\MÍDIA\2015\2015-05\2015-05-04 10.43.28 [88623f90].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.31.51 [88c222d2].jpg,D:\MÍDIA\2015\2015-04\2015-04-29 17.36.16 [5f133f7b].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.44.46 [38a58be8].jpg,D:\MÍDIA\2015\2015-04\2015-04-29 17.36.16 [5f133f7b].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.31.53 [4ec43210].jpg,D:\MÍDIA\2015\2015-04\2015-04-29 17.40.56 [cad4fa17].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-01 02.59.24 [5ab63648].jpg,D:\MÍDIA\2015\2015-04\2015-04-29 17.41.24 [49c925a8].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.31.53 [36cfd30e].jpg,D:\MÍDIA\2015\2015-04\2015-04-29 17.41.24 [49c925a8].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.44.45 [d6c4ddd2].jpg,D:\MÍDIA\2015\2015-04\2015-04-29 17.41.24 [49c925a8].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.31.59 [a69641c3].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.41.52 [569b0e59].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.44.32 [113db77e].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.41.52 [569b0e59].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.32.00 [ff8baa5f].jpg,D:\MÍDIA\2015\2015-04\2015-04-29 17.42.00 [0a165aac].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.44.44 [04017140].jpg,D:\MÍDIA\2015\2015-04\2015-04-29 17.42.00 [0a165aac].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.20 [aaac983e].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.42.12 [cd8999ac].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.44.32 [20d45d34].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.42.12 [cd8999ac].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.21 [53c89b0d].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.42.21 [4503cc04].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.44.32 [940bf797].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.42.21 [4503cc04].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.22 [8390ed76].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.42.50 [e52e1aa4].jpg,3,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.44.31 [e80acdca].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.42.50 [e52e1aa4].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.22 [ca5aa242].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.42.53 [290a6688].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.44.30 [9be199cd].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.42.53 [290a6688].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.22 [2998fe4f].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.43.11 [fa4f4197].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.44.30 [59c696cb].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.43.11 [fa4f4197].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.22 [6fe05b2d].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 15.56.50 [5d2affe7].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.44.30 [29b8ce34].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 15.56.50 [5d2affe7].jpg,2,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.23 [c2493275].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 15.57.11 [c3c0d6d7].jpg,2,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.44.30 [c9f5e1f4].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 15.57.11 [c3c0d6d7].jpg,2,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.24 [4bca1b99].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 15.57.41 [a2b99b50].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.26 [2d20952e].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 15.57.41 [a2b99b50].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.24 [96212247].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 15.58.09 [69246236].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.26 [71d1f31d].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 15.58.09 [69246236].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.24 [3251c78a].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 15.58.45 [a69659a2].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.24 [f3d40837].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 15.58.45 [a69659a2].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.25 [61763ea9].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 16.00.09 [104376cb].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.24 [d96969e1].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 16.00.09 [104376cb].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.26 [3079eb56].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 16.00.17 [2a16cad9].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.24 [d38ced25].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 16.00.17 [2a16cad9].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.26 [44e12230].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.45.53 [195d4fc3].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.26 [aeff5c6c].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.46.02 [fa272f35].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.29 [4e122ac1].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.47.14 [682cbe46].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.15 [c2e30a31].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.47.14 [682cbe46].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.29 [922e40a2].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.48.25 [c5116cfb].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.14 [da958b57].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.48.25 [c5116cfb].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.29 [0820b042].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.48.50 [96e387cf].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.14 [426bcb19].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.48.50 [96e387cf].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.33.29 [4f800df5].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.52.12 [ad18dc1f].jpg,2,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.10 [33ac7a95].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.52.36 [530943a3].jpg,1,384x512,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.12 [23a80361].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.52.36 [530943a3].jpg,0,384x512,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.10 [1ba29d84].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.52.58 [eaea7620].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.11 [6cc06039].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.52.58 [eaea7620].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.17 [d74dad66].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.53.57 [e9aca888].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.11 [a8bde98b].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.53.57 [e9aca888].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.17 [d94d9261].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.54.02 [e35a3892].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.18 [20880395].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.55.32 [419bd04b].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.19 [584ba65c].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.55.36 [35b5dc21].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.10 [13130864].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.55.36 [35b5dc21].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.19 [53082f1d].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.55.50 [7b85b510].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.10 [daf57657].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.55.50 [7b85b510].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.19 [6bdf2c9d].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.54.24 [df1e6030].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.10 [e3a4120a].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.54.24 [df1e6030].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.19 [1bf0e51e].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.55.11 [32ec6fa0].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.09 [f4f95b10].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.55.11 [32ec6fa0].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.20 [26bbda37].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.55.55 [9f94bdc5].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.43.09 [636f7e19].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.55.55 [9f94bdc5].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.33 [5ba1d759].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 21.07.05 [6fd8bd7a].jpg,1,384x512,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.34 [ca965600].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 21.09.24 [6f873584].jpg,1,384x512,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.40.41 [908d0c7a].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 21.09.24 [6f873584].jpg,2,384x512,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.35 [9507421e].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 21.09.35 [d28939ae].jpg,2,384x512,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.40.41 [7f66964d].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 21.09.35 [d28939ae].jpg,1,384x512,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.36 [3fbd13fb].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.46.16 [10c13506].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.15.36 [860bb5c5].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.46.16 [10c13506].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.38 [7664e3d1].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.47.04 [3d1f48c8].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.15.33 [42687cd7].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.47.04 [3d1f48c8].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.34.52 [48d39758].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 21.09.36 [f1489887].jpg,1,384x512,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.09.48 [ac1c7f81].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 21.09.36 [f1489887].jpg,0,384x512,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.35.00 [c8b2da2c].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 21.07.50 [f2556786].jpg,0,384x512,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.35.10 [7bd2e374].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.55.59 [149fb2bd].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 19.56.48 [75ed5b5e].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.55.59 [149fb2bd].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.35.12 [59312fb0].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.54.39 [d25947f6].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 19.54.58 [b5d71379].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.54.39 [d25947f6].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.35.27 [2e5adc25].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.47.15 [fec5117b].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 19.47.46 [6a882afb].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 19.47.15 [fec5117b].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.35.29 [bbe273f2].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 16.01.37 [4f2e3d8f].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 18.58.00 [c5e9d429].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 16.01.37 [4f2e3d8f].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.35.29 [89f3e270].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 15.58.26 [16d6a737].jpg,2,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 16.01.45 [e9728fc0].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 15.58.26 [16d6a737].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.35.30 [9c4944f3].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 15.58.28 [63ce1d6a].jpg,2,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 16.01.45 [b1d80dfb].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 15.58.28 [63ce1d6a].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.35.33 [ec4187c3].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.43.32 [3920a1eb].jpg,2,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.35.36 [e5409646].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.41.00 [e985cc9e].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 09.41.18 [7189fe28].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.41.00 [e985cc9e].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-07 16.13.58 [15451d83].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.40.25 [a020c9e9].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.35.38 [dea66cab].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.40.25 [a020c9e9].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 09.40.39 [3b2366a8].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.40.25 [a020c9e9].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.35.38 [d00b9a9d].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.39.48 [485ac6b5].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-07 16.13.57 [120bfb5c].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.39.48 [485ac6b5].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 09.40.08 [83cdfae2].jpg,D:\MÍDIA\2015\2015-05\2015-05-03 08.39.48 [485ac6b5].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-06 21.19.11 [b0e29829].jpg,D:\MÍDIA\2015\2015-05\2015-05-06 21.18.25 [979e83d3].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-07 00.26.42 [6e2e775c].jpg,D:\MÍDIA\2015\2015-05\2015-05-06 22.13.10 [28053a65].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-07 10.42.09 [14a12034].jpg,D:\MÍDIA\2015\2015-05\2015-05-06 22.04.53 [f2164d35].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-07 10.42.11 [b35a5b51].jpg,D:\MÍDIA\2015\2015-05\2015-05-06 21.41.42 [35f576b9].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-07 14.45.45 [cbeb7f80].jpg,D:\MÍDIA\2015\2015-05\2015-05-07 14.45.12 [64dba095].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-07 14.47.14 [72605203].jpg,D:\MÍDIA\2015\2015-05\2015-05-07 14.46.25 [5278e363].jpg,0,384x512,3120x4208,R1_derivada
