apagar,campeao,dham,res_apagar,res_campeao,regra
D:\MÍDIA\2022\2022-03\2022-03-08 14.36.04 [d399239c].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 14.36.04 [dfc1adc2].jpg,1,3923x5877,3923x5877,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 14.36.11 [7f8b817b].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 14.36.11 [760f2e6b].jpg,1,3730x5588,3730x5588,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 14.39.21 [f9fb453d].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 14.39.21 [d2c72de6].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 14.48.14 [fbf416ce].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 14.48.14 [49008042].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 15.21.14 [04714977].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 15.21.14 [c8c38e91].jpg,1,6016x4016,6016x4016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 15.24.22 [33d3f621].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 15.24.22 [156d5edd].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 15.26.33 [c3c60657].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 15.26.33 [d309d38e].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 15.32.31 [64cdcd41].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 15.32.31 [65f1b638].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 15.38.18 [4c7eba38].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 15.38.18 [2469ffc7].jpg,1,3883x5817,3883x5817,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 15.41.38 [03a8b32e].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 15.41.38 [0a373579].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 15.45.37 [6da648e2].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 15.45.37 [e1dc25f5].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 16.27.53 [4ce4fe9c].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 16.27.53 [1d196348].jpg,1,3969x5946,3969x5946,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 16.32.40 [cd05840e].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 16.32.40 [12ce6b53].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 16.44.21 [b537ed32].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 16.44.21 [644b7b58].jpg,1,6016x4016,6016x4016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 16.46.30 [5f83346d].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 16.46.30 [1592596e].jpg,1,3900x5842,3900x5842,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 17.13.13 [bc6c5e34].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.13.13 [91b37053].jpg,1,4000x5992,4000x5992,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 17.16.40 [afa55480].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.16.40 [9a3be55c].jpg,1,3931x5889,3931x5889,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-08 17.19.51 [94519f57].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.19.51 [d1b6e1e6].jpg,1,4016x6016,4016x6016,R2_recompressao
