"Rel","Nivel","Cat","ArqDiretos","SubPastas"
"03 - Financeiro\SEGUROS\Saúde (Unimed)","3","03 - Financeiro","2","0"
"03 - Financeiro\SEGUROS\SEGURO BB (antigo)","3","03 - Financeiro","13","0"
"03 - Financeiro\SEGUROS\Viagens (Visa)","3","03 - Financeiro","4","0"
"03 - Financeiro\SEGUROS\Vida (Prudential)","3","03 - Financeiro","4","0"
"04 - Imóveis\APTO 216 NORTE","2","04 - Imóveis","87","4"
"04 - Imóveis\APTO 409 SUL","2","04 - Imóveis","116","3"
"04 - Imóveis\APTO SQSW 105","2","04 - Imóveis","18","1"
"04 - Imóveis\IMÓVEL CEF","2","04 - Imóveis","3","0"
"04 - Imóveis\MYKONOS","2","04 - Imóveis","114","0"
"04 - Imóveis\POUPEX","2","04 - Imóveis","21","0"
"04 - Imóveis\REURB","2","04 - Imóveis","5","0"
"04 - Imóveis\APTO 216 NORTE\Armário da cozinha","3","04 - Imóveis","3","0"
"04 - Imóveis\APTO 216 NORTE\IPTU 2016","3","04 - Imóveis","14","0"
"04 - Imóveis\APTO 216 NORTE\IPTU 2017","3","04 - Imóveis","6","0"
"04 - Imóveis\APTO 216 NORTE\IPTU 2018","3","04 - Imóveis","2","0"
"04 - Imóveis\APTO 409 SUL\Aluguéis","3","04 - Imóveis","44","0"
"04 - Imóveis\APTO 409 SUL\Condomínio","3","04 - Imóveis","18","0"
"04 - Imóveis\APTO 409 SUL\IPTU","3","04 - Imóveis","5","0"
"04 - Imóveis\APTO SQSW 105\NFe's elétrica","3","04 - Imóveis","26","0"
"05 - Jurídico e trabalho\Cadeiras TSE","2","05 - Jurídico e trabalho","4","0"
"05 - Jurídico e trabalho\CONLE","2","05 - Jurídico e trabalho","2","5"
"05 - Jurídico e trabalho\GUILLON","2","05 - Jurídico e trabalho","0","3"
"05 - Jurídico e trabalho\INVENTÁRIO","2","05 - Jurídico e trabalho","19","0"
"05 - Jurídico e trabalho\LE","2","05 - Jurídico e trabalho","4","0"
"05 - Jurídico e trabalho\PROBLEMA AEED","2","05 - Jurídico e trabalho","7","2"
"05 - Jurídico e trabalho\PROCESSOS","2","05 - Jurídico e trabalho","0","2"
