2026-03-14 11:23:03 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Logger configurado: level=DEBUG | quiet=False | verbose=True | debug=False
2026-03-14 11:23:28 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/9fc7f18d-a70b-4e69-85cf-6c1ea788e569/children | tentativa 1/5 concluida em 0.31s | status=200
2026-03-14 11:23:28 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/1169d76e-3735-4cea-9bca-39668253bdca/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:29 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/1169d76e-3735-4cea-9bca-39668253bdca/children | tentativa 1/5 concluida em 0.35s | status=200
2026-03-14 11:23:29 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/66557255-9c6d-4646-9f62-ad6f82d3b5f5/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:29 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/66557255-9c6d-4646-9f62-ad6f82d3b5f5/children | tentativa 1/5 concluida em 0.35s | status=200
2026-03-14 11:23:29 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31043a29-b10c-4016-8bb7-d4d696978ae0/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:29 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31043a29-b10c-4016-8bb7-d4d696978ae0/children | tentativa 1/5 concluida em 0.35s | status=200
2026-03-14 11:23:29 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/83f763a6-18da-4017-b9b5-1533315d2edc/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:30 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/83f763a6-18da-4017-b9b5-1533315d2edc/children | tentativa 1/5 concluida em 0.37s | status=200
2026-03-14 11:23:30 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/4bde4c89-5b34-4870-8057-cd463e7a7809/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:31 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/4bde4c89-5b34-4870-8057-cd463e7a7809/children | tentativa 1/5 concluida em 1.03s | status=200
2026-03-14 11:23:31 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/f972e38f-64f6-49e3-bbcb-034faeddc3e9/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:31 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/f972e38f-64f6-49e3-bbcb-034faeddc3e9/children | tentativa 1/5 concluida em 0.32s | status=200
2026-03-14 11:23:31 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/4161d23a-353c-45da-83df-ca2e5483feaa/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:31 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/4161d23a-353c-45da-83df-ca2e5483feaa/children | tentativa 1/5 concluida em 0.32s | status=200
2026-03-14 11:23:31 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-81c5-838d-dd562b055141/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:32 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-81c5-838d-dd562b055141/children | tentativa 1/5 concluida em 0.37s | status=200
2026-03-14 11:23:32 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/b85aab30-6fb6-490a-9955-4360db3c9b4d/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:32 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/b85aab30-6fb6-490a-9955-4360db3c9b4d/children | tentativa 1/5 concluida em 0.37s | status=200
2026-03-14 11:23:32 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-81d1-9a33-fde5b64cd145/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:32 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-81d1-9a33-fde5b64cd145/children | tentativa 1/5 concluida em 0.40s | status=200
2026-03-14 11:23:32 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/6563afe0-6a69-4132-98d9-0353262190ac/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:33 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/6563afe0-6a69-4132-98d9-0353262190ac/children | tentativa 1/5 concluida em 0.32s | status=200
2026-03-14 11:23:33 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/8ea39ae5-daf9-4b7d-aa03-30c8033c473d/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:33 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/8ea39ae5-daf9-4b7d-aa03-30c8033c473d/children | tentativa 1/5 concluida em 0.40s | status=200
2026-03-14 11:23:33 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-81e7-a9c0-fe3f95d18e21/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:34 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-81e7-a9c0-fe3f95d18e21/children | tentativa 1/5 concluida em 0.54s | status=200
2026-03-14 11:23:34 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/0ba934a9-f4df-4f31-ab6c-d372cdc32e4d/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:34 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/0ba934a9-f4df-4f31-ab6c-d372cdc32e4d/children | tentativa 1/5 concluida em 0.29s | status=200
2026-03-14 11:23:34 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/90a1cd22-af53-4cf2-9218-aa0d519033ea/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:34 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/90a1cd22-af53-4cf2-9218-aa0d519033ea/children | tentativa 1/5 concluida em 0.40s | status=200
2026-03-14 11:23:34 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-818e-9093-e0338c5cfae6/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:35 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-818e-9093-e0338c5cfae6/children | tentativa 1/5 concluida em 0.48s | status=200
2026-03-14 11:23:35 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/13854b5e-be4b-4dee-b46b-6e9cf2641f87/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:35 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/13854b5e-be4b-4dee-b46b-6e9cf2641f87/children | tentativa 1/5 concluida em 0.30s | status=200
2026-03-14 11:23:35 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/bb4fad83-0e48-4f55-b92f-a6e4afba40fa/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:37 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/bb4fad83-0e48-4f55-b92f-a6e4afba40fa/children | tentativa 1/5 concluida em 1.54s | status=200
2026-03-14 11:23:37 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-8185-a385-f9674def2885/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:38 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-8185-a385-f9674def2885/children | tentativa 1/5 concluida em 0.90s | status=200
2026-03-14 11:23:38 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31b84dc5-c457-48fa-8048-edfc9773e835/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:38 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31b84dc5-c457-48fa-8048-edfc9773e835/children | tentativa 1/5 concluida em 0.34s | status=200
2026-03-14 11:23:38 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-812b-8cf9-d6e58bf8162f/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:38 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-812b-8cf9-d6e58bf8162f/children | tentativa 1/5 concluida em 0.34s | status=200
2026-03-14 11:23:38 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/afd5fc04-57ee-4261-bd94-12ac04e5fa75/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:39 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/afd5fc04-57ee-4261-bd94-12ac04e5fa75/children | tentativa 1/5 concluida em 0.33s | status=200
2026-03-14 11:23:39 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-81d6-85e3-ebecb0c9b2ea/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:39 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-81d6-85e3-ebecb0c9b2ea/children | tentativa 1/5 concluida em 0.35s | status=200
2026-03-14 11:23:39 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-8005-9560-f3fa31adfb72/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:40 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-8005-9560-f3fa31adfb72/children | tentativa 1/5 concluida em 0.59s | status=200
2026-03-14 11:23:40 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/6546dfc0-f480-4813-b4b0-2ccda3fd3f73/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:40 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/6546dfc0-f480-4813-b4b0-2ccda3fd3f73/children | tentativa 1/5 concluida em 0.35s | status=200
2026-03-14 11:23:40 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-8116-b183-e70116f012a1/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:40 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-8116-b183-e70116f012a1/children | tentativa 1/5 concluida em 0.36s | status=200
2026-03-14 11:23:40 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/daf2659e-0ed9-4007-bf26-8ea59be27f51/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:41 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/daf2659e-0ed9-4007-bf26-8ea59be27f51/children | tentativa 1/5 concluida em 0.31s | status=200
2026-03-14 11:23:41 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/52fa559d-5cb5-4e71-870d-5a5a91bdafcf/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:41 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/52fa559d-5cb5-4e71-870d-5a5a91bdafcf/children | tentativa 1/5 concluida em 0.30s | status=200
2026-03-14 11:23:41 | INFO | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Blocos totais: 393 | textuais_filtrados: 230 | auto_roots_detectados: 1 | blocos_ignorados: 31
2026-03-14 11:23:41 | INFO | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | [Stage 3/6] Selecionando alvos textuais e companions de tabela com link explicito da base fonte...
2026-03-14 11:23:41 | INFO | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | [Filtro-alvo] Validando blocos com links explicitos para a base fonte... total=230
2026-03-14 11:23:41 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-80a4-ad71-d42a9424f094 | tentativa 1/5 | timeout=30s
2026-03-14 11:23:41 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-80a4-ad71-d42a9424f094 | tentativa 1/5 concluida em 0.34s | status=200
2026-03-14 11:23:41 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-8119-8910-e1f1c391e8f4 | tentativa 1/5 | timeout=30s
2026-03-14 11:23:42 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-8119-8910-e1f1c391e8f4 | tentativa 1/5 concluida em 0.33s | status=200
2026-03-14 11:23:42 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-80b1-9211-fa4fa1fe0ce3 | tentativa 1/5 | timeout=30s
2026-03-14 11:23:42 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-80b1-9211-fa4fa1fe0ce3 | tentativa 1/5 concluida em 0.32s | status=200
2026-03-14 11:23:42 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-8008-a3fd-f910a45cda0e | tentativa 1/5 | timeout=30s
2026-03-14 11:23:42 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-8008-a3fd-f910a45cda0e | tentativa 1/5 concluida em 0.33s | status=200
2026-03-14 11:23:42 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-80ec-b4b2-cf5571c0c7c3 | tentativa 1/5 | timeout=30s
2026-03-14 11:23:43 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-80ec-b4b2-cf5571c0c7c3 | tentativa 1/5 concluida em 1.05s | status=200
2026-03-14 11:23:43 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-8116-b797-c0727338674b | tentativa 1/5 | timeout=30s
2026-03-14 11:23:44 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-8116-b797-c0727338674b | tentativa 1/5 concluida em 0.32s | status=200
2026-03-14 11:23:44 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-803a-8260-d402fe5778bb | tentativa 1/5 | timeout=30s
2026-03-14 11:23:44 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-803a-8260-d402fe5778bb | tentativa 1/5 concluida em 0.35s | status=200
2026-03-14 11:23:44 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-807e-8c2a-dc6a3c9e9693 | tentativa 1/5 | timeout=30s
2026-03-14 11:23:44 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-807e-8c2a-dc6a3c9e9693 | tentativa 1/5 concluida em 0.35s | status=200
2026-03-14 11:23:44 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-8016-a437-e9f51bf81e99 | tentativa 1/5 | timeout=30s
2026-03-14 11:23:45 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-8016-a437-e9f51bf81e99 | tentativa 1/5 concluida em 0.35s | status=200
2026-03-14 11:23:45 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-806a-b78c-fed65bb231ba | tentativa 1/5 | timeout=30s
2026-03-14 11:23:45 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-806a-b78c-fed65bb231ba | tentativa 1/5 concluida em 0.32s | status=200
2026-03-14 11:23:45 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-80bb-b392-e497c48a3515 | tentativa 1/5 | timeout=30s
2026-03-14 11:23:45 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-80bb-b392-e497c48a3515 | tentativa 1/5 concluida em 0.36s | status=200
2026-03-14 11:23:45 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-80ee-824f-eebb750d08d9 | tentativa 1/5 | timeout=30s
2026-03-14 11:23:46 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-80ee-824f-eebb750d08d9 | tentativa 1/5 concluida em 0.33s | status=200
2026-03-14 11:23:46 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-80e2-8af0-cb48774fbee5 | tentativa 1/5 | timeout=30s
2026-03-14 11:23:46 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-80e2-8af0-cb48774fbee5 | tentativa 1/5 concluida em 0.38s | status=200
2026-03-14 11:23:46 | INFO | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | [Filtro-alvo] progresso 40/230 | com_link_notion=13 | alvos=13
2026-03-14 11:23:46 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-8176-8a85-ea73d7d8f6df | tentativa 1/5 | timeout=30s
2026-03-14 11:23:46 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-8176-8a85-ea73d7d8f6df | tentativa 1/5 concluida em 0.33s | status=200
2026-03-14 11:23:46 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-8160-845a-c7645774ee2d | tentativa 1/5 | timeout=30s
2026-03-14 11:23:47 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-8160-845a-c7645774ee2d | tentativa 1/5 concluida em 0.36s | status=200
2026-03-14 11:23:47 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-81a4-add8-cb7987eeb30a | tentativa 1/5 | timeout=30s
2026-03-14 11:23:47 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-81a4-add8-cb7987eeb30a | tentativa 1/5 concluida em 0.32s | status=200
2026-03-14 11:23:47 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-80ee-8c3b-d580f72f2681 | tentativa 1/5 | timeout=30s
2026-03-14 11:23:47 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-80ee-8c3b-d580f72f2681 | tentativa 1/5 concluida em 0.35s | status=200
2026-03-14 11:23:47 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-80ef-9562-ec2a1841d95d | tentativa 1/5 | timeout=30s
2026-03-14 11:23:48 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-80ef-9562-ec2a1841d95d | tentativa 1/5 concluida em 0.37s | status=200
2026-03-14 11:23:48 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31772195-5c64-8012-ad8f-eed603f73e46 | tentativa 1/5 | timeout=30s
