manter_a,manter_b,dham,res_a,res_b,motivo
D:\MÍDIA\2013\2013-12\2013-12-25 13.01.40 [2bd063e2].jpg,D:\MÍDIA\2013\2013-12\2013-12-25 13.01.38 [a3039216].jpg,2,4208x3120,4208x3120,rajada/incerto
D:\MÍDIA\2016\2016-01\2016-01-23 18.52.56 [f96226ae].jpg,D:\MÍDIA\2016\2016-01\2016-01-23 18.52.52 [309f64aa].jpg,2,4208x3120,4208x3120,rajada/incerto
D:\MÍDIA\2016\2016-01\2016-01-23 18.57.27 [3acfd1a3].jpg,D:\MÍDIA\2016\2016-01\2016-01-23 18.57.29 [c42459fb].jpg,2,4208x3120,4208x3120,rajada/incerto
D:\MÍDIA\2015\2015-01\2015-01-31 10.50.55 [67be8971].jpg,D:\MÍDIA\2015\2015-01\2015-01-31 10.51.01 [96e96a95].jpg,1,4208x3120,4208x3120,rajada/incerto
D:\MÍDIA\2015\2015-05\2015-05-04 14.27.52 [e544b0c9].jpg,D:\MÍDIA\2015\2015-05\2015-05-04 14.27.53 [9f73a57e].jpg,1,4208x3120,4208x3120,rajada/incerto
D:\MÍDIA\2015\2015-05\2015-05-06 02.51.24 [453abc4c].jpg,D:\MÍDIA\2015\2015-05\2015-05-06 02.51.25 [b8e3c077].jpg,1,4208x3120,4208x3120,rajada/incerto
D:\MÍDIA\2015\2015-05\2015-05-06 21.01.16 [745fa5c4].jpg,D:\MÍDIA\2015\2015-05\2015-05-06 21.01.15 [c44750a6].jpg,1,4208x3120,4208x3120,rajada/incerto
D:\MÍDIA\2015\2015-05\2015-05-07 21.04.15 [73d2e5a1].jpg,D:\MÍDIA\2015\2015-05\2015-05-07 21.04.14 [64365200].jpg,1,4208x3120,4208x3120,rajada/incerto
D:\MÍDIA\2015\2015-05\2015-05-07 21.05.07 [82179d70].jpg,D:\MÍDIA\2015\2015-05\2015-05-07 21.05.06 [3b6c4d6e].jpg,1,4208x3120,4208x3120,rajada/incerto
D:\MÍDIA\2015\2015-05\2015-05-07 21.05.39 [20f933fd].jpg,D:\MÍDIA\2015\2015-05\2015-05-07 21.05.37 [6f7263f4].jpg,2,4208x3120,4208x3120,rajada/incerto
D:\MÍDIA\2015\2015-05\2015-05-07 21.39.29 [d5b1c414].jpg,D:\MÍDIA\2015\2015-05\2015-05-07 21.39.33 [173009b4].jpg,2,4208x3120,4208x3120,rajada/incerto
D:\MÍDIA\2015\2015-05\2015-05-10 17.50.22 [067ec8cb].jpg,D:\MÍDIA\2015\2015-05\2015-05-10 17.50.21 [b73e3dc3].jpg,2,4208x3120,4208x3120,rajada/incerto
D:\MÍDIA\2015\2015-06\2015-06-01 19.23.18 [2d5eb990].jpg,D:\MÍDIA\2015\2015-06\2015-06-01 19.23.17 [a938a0f0].jpg,2,4208x3120,4208x3120,rajada/incerto
D:\MÍDIA\2015\2015-06\2015-06-01 19.23.51 [d1eb0a85].jpg,D:\MÍDIA\2015\2015-06\2015-06-01 19.23.52 [607be8c5].jpg,2,4208x3120,4208x3120,rajada/incerto
D:\MÍDIA\2015\2015-06\2015-06-01 19.25.08 [b5fbccc0].jpg,D:\MÍDIA\2015\2015-06\2015-06-01 19.25.04 [760ee9d7].jpg,1,4208x3120,4208x3120,rajada/incerto
D:\MÍDIA\2015\2015-08\2015-08-28 20.29.40 [295b613b].jpg,D:\MÍDIA\2015\2015-08\2015-08-28 20.29.39 [6133f140].jpg,1,3120x4208,3120x4208,rajada/incerto
D:\MÍDIA\2015\2015-10\2015-10-16 12.12.15 [6dc1008b].jpg,D:\MÍDIA\2015\2015-10\2015-10-16 12.12.16 [7ea0092e].jpg,2,4208x3120,4208x3120,rajada/incerto
D:\MÍDIA\2015\2015-10\2015-10-31 20.37.30 [9f3b60bb].jpg,D:\MÍDIA\2015\2015-10\2015-10-31 20.37.32 [e25631cf].jpg,3,4208x3120,4208x3120,rajada/incerto
D:\MÍDIA\2015\2015-10\2015-10-31 20.37.31 [fedb2443].jpg,D:\MÍDIA\2015\2015-10\2015-10-31 20.37.32 [e25631cf].jpg,1,4208x3120,4208x3120,rajada/incerto
D:\MÍDIA\2016\2016-01\2016-01-16 18.24.49 [17ab0f83].jpg,D:\MÍDIA\2016\2016-01\2016-01-16 18.24.44 [4c4328bd].jpg,4,3120x4208,3120x4208,rajada/incerto
D:\MÍDIA\2016\2016-01\2016-01-16 18.24.48 [da801a59].jpg,D:\MÍDIA\2016\2016-01\2016-01-16 18.24.44 [4c4328bd].jpg,2,3120x4208,3120x4208,rajada/incerto
D:\MÍDIA\2016\2016-01\2016-01-16 19.16.48 [5010491c].jpg,D:\MÍDIA\2016\2016-01\2016-01-16 19.16.49 [33695468].jpg,2,3120x4208,3120x4208,rajada/incerto
D:\MÍDIA\2009\2009-08\2009-08-29 14.59.53 [bcc573b0].jpg,D:\MÍDIA\2009\2009-08\2009-08-29 15.01.44 [ebeea082].jpg,1,463x710,463x710,rajada/incerto
D:\MÍDIA\2013\2013-05\2013-05-04 23.22.45 [449ded4f].jpg,D:\MÍDIA\2013\2013-05\2013-05-04 22.34.23 [034bc099].jpg,2,3072x2304,3072x2304,rajada/incerto
D:\MÍDIA\2013\2013-09\2013-09-21 10.59.54 [70a89d26].jpg,D:\MÍDIA\2013\2013-09\2013-09-21 10.59.56 [37626889].jpg,2,2048x1536,2048x1536,rajada/incerto
D:\MÍDIA\2017\2017-07\2017-07-22 23.22.21 [a307e070].jpg,D:\MÍDIA\2017\2017-07\2017-07-22 23.22.29 [36033e2c].jpg,1,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2017\2017-08\2017-08-06 00.27.20 [c69d66db].jpg,D:\MÍDIA\2017\2017-08\2017-08-06 00.26.45 [dd525568].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2018\2018-12\2018-12-08 20.10.30 [a2b2d2ac].jpg,D:\MÍDIA\2018\2018-12\2018-12-08 20.10.29 [2292b70f].jpg,1,3120x4160,3120x4160,rajada/incerto
D:\MÍDIA\2013\2013-12\2013-12-31 23.19.24 [c2340713].jpg,D:\MÍDIA\2013\2013-12\2013-12-31 23.19.27 [4aa55b0e].jpg,1,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2014\2014-12\2014-12-22 10.20.34 [cae64b4b].jpg,D:\MÍDIA\2014\2014-12\2014-12-22 10.20.38 [eeef4e0a].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2016\2016-01\2016-01-16 19.17.28 [1beac5c3].jpg,D:\MÍDIA\2016\2016-01\2016-01-16 19.17.31 [f89f2a7c].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2016\2016-01\2016-01-16 19.17.23 [62b551e0].jpg,D:\MÍDIA\2016\2016-01\2016-01-16 19.17.31 [f89f2a7c].jpg,4,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2016\2016-02\2016-02-20 15.30.03 [37e14506].jpg,D:\MÍDIA\2016\2016-02\2016-02-20 15.30.09 [5afdd46f].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2016\2016-03\2016-03-13 01.36.04 [9951e8c6].jpg,D:\MÍDIA\2016\2016-03\2016-03-13 01.36.08 [a117d577].jpg,1,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2017\2017-02\2017-02-26 14.26.12 [68f61fe0].jpg,D:\MÍDIA\2017\2017-02\2017-02-26 14.26.09 [fa230022].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2017\2017-02\2017-02-27 13.22.04 [c5e03ef5].jpg,D:\MÍDIA\2017\2017-02\2017-02-27 13.22.00 [8fbf975c].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2017\2017-02\2017-02-27 13.22.10 [21516bf5].jpg,D:\MÍDIA\2017\2017-02\2017-02-27 13.22.00 [8fbf975c].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2023\2023-05\2023-05-25 [5413ae90].jpg,D:\MÍDIA\2023\2023-05\2023-05-25 [c61ee9cc].jpg,2,1280x960,1280x960,rajada/incerto
D:\MÍDIA\0000 SEM DATA\Sem ano\2023-10 [c80877db].jpg,D:\MÍDIA\0000 SEM DATA\Sem ano\2023-10 [7d44fa5b].jpg,2,1440x3808,1440x3808,rajada/incerto
D:\MÍDIA\2023\2023-09\2023-09 [487386d5].jpg,D:\MÍDIA\0000 SEM DATA\Sem ano\2023-10 [7d44fa5b].jpg,4,1440x3808,1440x3808,rajada/incerto
