manter_a,manter_b,dham,res_a,res_b,motivo
D:\MÍDIA\2019\2019-06\2019-06-14 21.38.02 [25b82671].jpg,D:\MÍDIA\2019\2019-06\2019-06-14 21.37.57 [1a3d258f].jpg,1,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2019\2019-06\2019-06-14 21.38.48 [60b9dd59].jpg,D:\MÍDIA\2019\2019-06\2019-06-14 21.38.50 [a5f4a226].jpg,1,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2019\2019-06\2019-06-14 23.58.36 [14d628bb].jpg,D:\MÍDIA\2019\2019-06\2019-06-14 23.58.38 [bde677b1].jpg,2,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2021\2021-01\2021-01-15 13.53.07 [c0d988d4].jpg,D:\MÍDIA\2021\2021-01\2021-01-15 13.53.07 [ba1666bd].jpg,2,4000x2667,4000x2667,rajada/incerto
D:\MÍDIA\2021\2021-01\2021-01-15 14.02.01 [4b737888].jpg,D:\MÍDIA\2021\2021-01\2021-01-15 14.02.01 [cefe35ba].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2021\2021-01\2021-01-15 14.32.21 [c4c52dbf].jpg,D:\MÍDIA\2021\2021-01\2021-01-15 14.32.21 [19fe3de8].jpg,2,4000x2667,4000x2667,rajada/incerto
D:\MÍDIA\2021\2021-01\2021-01-15 14.43.15 [46aa5976].jpg,D:\MÍDIA\2021\2021-01\2021-01-15 14.43.15 [6597de19].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2021\2021-01\2021-01-15 12.52.10 [a5a946ce].jpg,D:\MÍDIA\2021\2021-01\2021-01-15 12.52.10 [0f34d079].jpg,2,3000x4000,3000x4000,rajada/incerto
D:\MÍDIA\2022\2022-04\2022-04-22 23.36.34 [36cf4922].jpg,D:\MÍDIA\2022\2022-04\2022-04-22 23.36.34 [a4c3c3a8].jpg,2,3648x2736,3648x2736,rajada/incerto
D:\MÍDIA\2022\2022-04\2022-04-22 23.37.28 [ccc36e22].jpg,D:\MÍDIA\2022\2022-04\2022-04-22 23.37.34 [4638c0d6].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-04\2022-04-24 15.08.10 [94ada544].jpg,D:\MÍDIA\2022\2022-04\2022-04-24 15.08.10 [fede9aa9].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-04\2022-04-29 14.06.42 [a702a234].jpg,D:\MÍDIA\2022\2022-04\2022-04-29 14.06.39 [0c6b9ed1].jpg,4,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-04\2022-04-29 14.06.41 [3772bdfb].jpg,D:\MÍDIA\2022\2022-04\2022-04-29 14.06.39 [0c6b9ed1].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-05\2022-05-01 14.14.38 [8174e97c].jpg,D:\MÍDIA\2022\2022-05\2022-05-01 14.14.37 [671c99b7].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-05\2022-05-02 14.25.00 [bf7235df].jpg,D:\MÍDIA\2022\2022-05\2022-05-02 14.24.59 [5d76b649].jpg,1,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-05\2022-05-02 14.25.12 [bd29f856].jpg,D:\MÍDIA\2022\2022-05\2022-05-02 14.25.13 [3c1fa3b5].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-05\2022-05-02 14.25.17 [5ae8b247].jpg,D:\MÍDIA\2022\2022-05\2022-05-02 14.25.18 [71237c18].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-05\2022-05-02 14.33.57 [31989d25].jpg,D:\MÍDIA\2022\2022-05\2022-05-02 14.33.56 [6c3ecec5].jpg,1,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-05\2022-05-04 10.17.41 [2bcfff8b].jpg,D:\MÍDIA\2022\2022-05\2022-05-04 10.17.42 [150ef127].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2019\2019-06\2019-06-10 06.18.12 [a58806d3].jpg,D:\MÍDIA\2018\2018-12\2018-12-19 06.28.09 [d81fcdb3].jpg,0,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2019\2019-06\2019-06-10 06.18.14 [8f3c0a9a].jpg,D:\MÍDIA\2018\2018-12\2018-12-19 06.28.09 [d81fcdb3].jpg,0,4032x3024,4032x3024,rajada/incerto
D:\MÍDIA\2024\2024-03\2024-03-17 22.07.01 [598ba90f].jpg,D:\MÍDIA\2018\2018-12\2018-12-19 06.28.09 [d81fcdb3].jpg,1,4000x3000,4032x3024,rajada/incerto
D:\MÍDIA\2022\2022-05\2022-05-04 14.03.29 [a58fcaab].jpg,D:\MÍDIA\2018\2018-12\2018-12-19 06.28.09 [d81fcdb3].jpg,0,4000x3000,4032x3024,rajada/incerto
D:\MÍDIA\2024\2024-03\2024-03-17 22.07.11 [64b966d3].jpg,D:\MÍDIA\2018\2018-12\2018-12-19 06.28.09 [d81fcdb3].jpg,2,4000x3000,4032x3024,rajada/incerto
D:\MÍDIA\2022\2022-05\2022-05-04 15.30.01 [000558fd].jpg,D:\MÍDIA\2022\2022-05\2022-05-04 15.30.02 [c5ec4e7b].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-05\2022-05-05 14.08.16 [fce645c5].jpg,D:\MÍDIA\2022\2022-05\2022-05-05 14.08.17 [8ed2c510].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-05\2022-05-06 11.39.51 [5e4f5820].jpg,D:\MÍDIA\2022\2022-05\2022-05-06 11.39.53 [645e95ca].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-05\2022-05-28 21.32.59 [72bba0fa].jpg,D:\MÍDIA\2022\2022-05\2022-05-28 21.32.57 [f5d05404].jpg,1,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-06\2022-06-18 17.59.07 [50e25b89].jpg,D:\MÍDIA\2024\2024-01\2024-01-03 16.26.27 [4eb74b22].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2021\2021-11\2021-11-03 12.27.50 [6e21ab90].jpg,D:\MÍDIA\2024\2024-01\2024-01-03 16.26.27 [4eb74b22].jpg,2,4032x1960,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-07\2022-07-19 20.32.16 [0b595024].jpg,D:\MÍDIA\2022\2022-07\2022-07-19 20.32.19 [8487d127].jpg,2,3648x2736,3648x2736,rajada/incerto
D:\MÍDIA\2022\2022-07\2022-07-23 20.51.36 [5b1fcc4d].jpg,D:\MÍDIA\2022\2022-07\2022-07-23 20.51.37 [db8ed7b7].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-07\2022-07-23 22.10.16 [70a9b209].jpg,D:\MÍDIA\2022\2022-07\2022-07-23 22.10.14 [275b03b4].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-07\2022-07-23 22.10.57 [8f7d756a].jpg,D:\MÍDIA\2022\2022-07\2022-07-23 22.10.55 [5a59f076].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-07\2022-07-23 22.12.20 [638aaa33].jpg,D:\MÍDIA\2022\2022-07\2022-07-23 22.12.26 [2a797546].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-08\2022-08-16 18.27.38 [4f2213ec].jpg,D:\MÍDIA\2022\2022-08\2022-08-16 18.27.39 [c0fb92cb].jpg,4,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-08\2022-08-16 18.27.37 [6a025cc4].jpg,D:\MÍDIA\2022\2022-08\2022-08-16 18.27.39 [c0fb92cb].jpg,3,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-08\2022-08-16 18.27.37 [0a7acf59].jpg,D:\MÍDIA\2022\2022-08\2022-08-16 18.27.39 [c0fb92cb].jpg,1,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-09\2022-09-10 09.53.43 [bb07eac2].jpg,D:\MÍDIA\2022\2022-09\2022-09-10 09.53.44 [0bff5282].jpg,1,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-11\2022-11-26 15.44.56 [23381a71].jpg,D:\MÍDIA\2022\2022-11\2022-11-26 15.44.57 [4fd85ee4].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-11\2022-11-26 15.50.09 [ca2eb131].jpg,D:\MÍDIA\2022\2022-11\2022-11-26 15.50.12 [7155f71f].jpg,3,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-11\2022-11-26 15.50.10 [83d979f5].jpg,D:\MÍDIA\2022\2022-11\2022-11-26 15.50.12 [7155f71f].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-11\2022-11-26 15.50.58 [639bace9].jpg,D:\MÍDIA\2022\2022-11\2022-11-26 15.50.56 [5fbc6f9e].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-12\2022-12-22 21.09.50 [6b6c1591].jpg,D:\MÍDIA\2022\2022-12\2022-12-22 21.09.51 [6dc9a9b6].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-12\2022-12-25 12.54.54 [a2343cdc].jpg,D:\MÍDIA\2022\2022-12\2022-12-25 12.54.55 [3b598cbd].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-12\2022-12-25 12.54.49 [c22082e6].jpg,D:\MÍDIA\2022\2022-12\2022-12-25 12.54.55 [3b598cbd].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2022\2022-12\2022-12-25 12.54.55 [c588cecf].jpg,D:\MÍDIA\2022\2022-12\2022-12-25 12.54.55 [b677de52].jpg,2,3000x4000,3000x4000,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 13.46.57 [f91de7d7].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 13.46.57 [3f9b4c64].jpg,2,3824x5728,3824x5728,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 13.50.03 [5c59f859].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 13.50.03 [7308b10d].jpg,2,3567x5343,3567x5343,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 13.51.06 [98b6cb7d].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 13.51.06 [0b455837].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 14.47.29 [dcac0eef].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 14.47.29 [2fcb1ba3].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 15.20.19 [79c5c0f5].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 15.20.19 [44def643].jpg,2,5514x3681,5514x3681,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 15.23.45 [52bda2a8].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 15.23.45 [4bfb5f5f].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 15.25.10 [f00e3c78].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 15.25.10 [91ddc2b1].jpg,2,5758x3844,5758x3844,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 15.28.57 [8bc1bcb3].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 15.28.57 [fc67e483].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 15.28.58 [10d7a886].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 15.28.58 [29c13fb8].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 15.41.15 [e60b9734].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 15.41.15 [3955cb68].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 15.41.32 [1c52113b].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 15.41.32 [6bb765cf].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 15.42.26 [439f1642].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 15.42.26 [291cd5a1].jpg,2,6016x4016,6016x4016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 15.45.16 [5a5c75a3].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 15.45.16 [b13c692b].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 15.46.43 [7a36e6bf].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 15.46.43 [23e31132].jpg,2,6016x4016,6016x4016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 16.00.53 [156706c1].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 16.01.04 [25ecc74a].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 16.27.23 [f0a2bb03].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 16.27.23 [d073ab63].jpg,2,3734x5594,3734x5594,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 16.32.58 [c60cc260].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 16.32.58 [f0572649].jpg,2,6016x4016,6016x4016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 16.40.01 [6906c9ca].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 16.40.01 [cc63005f].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 16.45.51 [7242379c].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 16.45.51 [1a5cd509].jpg,2,5722x3820,5722x3820,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 16.46.50 [0457f704].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 16.46.50 [b744374e].jpg,2,3880x5812,3880x5812,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 16.49.09 [73dcb61c].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 16.49.09 [6ab250b4].jpg,2,3890x5827,3890x5827,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 16.51.01 [871235d1].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 16.51.01 [143357cf].jpg,2,6016x4016,6016x4016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 17.15.08 [c0b6a1ce].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.15.08 [9e587ee6].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 17.33.31 [1d231c4f].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.33.28 [56a4c786].jpg,1,6016x4016,6016x4016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 17.36.07 [d49ce1ea].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.36.07 [f92a420a].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 17.42.55 [4076a7b8].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.42.55 [169a3f3b].jpg,2,3862x5785,3862x5785,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 17.52.33 [6b420d8a].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 17.52.33 [0ccb63e6].jpg,2,3860x5782,3860x5782,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-08 18.28.05 [c8d05e1e].jpg,D:\MÍDIA\2022\2022-03\2022-03-08 18.28.05 [e5d39e7e].jpg,2,3921x5873,3921x5873,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 08.56.48 [e3a7c767].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 08.56.48 [540c7221].jpg,2,3898x5839,3898x5839,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 08.58.08 [a8e2d46d].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 08.58.08 [1657d51d].jpg,2,3880x5812,3880x5812,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 08.58.56 [ab6b69f2].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 08.58.56 [0941e80e].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 09.02.36 [7e4f192e].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.02.36 [fe5a31e9].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 09.10.17 [95d88042].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.10.17 [583b8046].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 09.11.14 [3fffe9c5].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.11.14 [af6202e7].jpg,2,3819x5721,3819x5721,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 09.19.20 [ca5eabc5].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.19.20 [fb6f0dc9].jpg,2,5867x3917,5867x3917,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 09.19.20 [5ede71ec].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.19.20 [df3db47b].jpg,2,6016x4016,6016x4016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 09.32.02 [5b7c675c].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.32.02 [848d4480].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 09.35.43 [00a99eeb].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.35.39 [6d354b52].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 09.37.31 [e7e085fa].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.37.36 [4dfbd0bd].jpg,1,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 09.37.57 [3f7f019b].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.37.57 [7cd2bf82].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 09.39.52 [e4e50f74].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.39.52 [bf718871].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 09.41.56 [182737fb].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.41.59 [5a65c69c].jpg,1,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 09.41.56 [b9ed18e4].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.41.59 [5a65c69c].jpg,3,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 09.43.41 [ad289124].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.43.41 [49229cea].jpg,2,5839x3898,5839x3898,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 09.48.09 [d32c2899].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.48.10 [9b56c69e].jpg,2,5890x3932,6016x4016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 09.53.41 [06d68e74].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.53.43 [ac91a7ad].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 09.57.34 [6acf9aa9].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 09.57.34 [30d9c333].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 10.08.20 [fe53df17].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 10.08.16 [b2eb1d43].jpg,4,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 10.08.16 [5490f06a].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 10.08.16 [b2eb1d43].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 10.28.40 [11263c21].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 10.28.40 [0efcf268].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 10.40.19 [a987a6f0].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 10.40.19 [9f7bd6eb].jpg,2,5781x3859,5781x3859,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 10.41.40 [e6ccb750].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 10.41.44 [0b27b57b].jpg,2,5814x3881,5900x3939,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 10.48.56 [4fa4c708].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 10.48.56 [69406644].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 15.12.08 [ce65272d].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 15.12.04 [2a888166].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 15.12.47 [02bde1eb].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 15.12.52 [c1d23c54].jpg,1,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 15.15.04 [ef715679].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 15.14.39 [1fabc834].jpg,2,3899x5840,3951x5919,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 15.18.56 [82af077b].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 15.18.56 [37c1db11].jpg,2,5880x3925,5880x3925,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 15.37.35 [d23d396d].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 15.37.31 [dba44433].jpg,1,6016x4016,6016x4016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 15.41.52 [4da94c29].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 15.41.52 [a091e907].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 15.46.31 [f5ff00fb].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 15.46.31 [c65e1dba].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 15.48.15 [259686cc].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 15.48.18 [6618d27c].jpg,1,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 16.40.49 [c046e234].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 16.40.49 [516e5975].jpg,2,5857x3910,5857x3910,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 16.41.06 [92c7af8c].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 16.41.06 [527ee455].jpg,2,6016x4016,6016x4016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 16.41.36 [8ecfc50b].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 16.41.36 [098a30c8].jpg,2,5861x3913,5861x3913,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 16.43.53 [19ab4f8d].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 16.43.53 [12729d07].jpg,2,4016x6016,4016x6016,rajada/incerto
D:\MÍDIA\2022\2022-03\2022-03-09 16.51.44 [899f1037].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 16.51.44 [abd321fb].jpg,2,3882x5815,3882x5815,rajada/incerto
D:\MÍDIA\2022\2022-04\2022-04-26 [deebb1c6].jpg,D:\MÍDIA\2022\2022-04\2022-04-26 [579db064].jpg,2,1024x768,1024x768,rajada/incerto
D:\MÍDIA\2022\2022-04\2022-04-28 [46bd136a].jpg,D:\MÍDIA\2022\2022-04\2022-04-28 [b99a9e80].jpg,2,1024x768,1024x768,rajada/incerto
D:\MÍDIA\2022\2022-04\2022-04-28 [08ed2b2a].jpg,D:\MÍDIA\2022\2022-04\2022-04-28 [b99a9e80].jpg,2,1024x768,1024x768,rajada/incerto
D:\MÍDIA\2022\2022-07\2022-07-19 [cace2599].jpg,D:\MÍDIA\2022\2022-07\2022-07-19 [1f192caa].jpg,2,1600x1200,1600x1200,rajada/incerto
D:\MÍDIA\2023\2023-03\2023-03-18 21.20.55 [1a6a3248].jpg,D:\MÍDIA\2023\2023-03\2023-03-18 21.20.52 [08b421bb].jpg,1,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2023\2023-03\2023-03-18 21.20.53 [94ea6c0b].jpg,D:\MÍDIA\2023\2023-03\2023-03-18 21.20.52 [08b421bb].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2023\2023-03\2023-03-18 21.21.01 [9b597dc3].jpg,D:\MÍDIA\2023\2023-03\2023-03-18 21.21.02 [2bb1b13d].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2023\2023-06\2023-06-08 22.20.18 [8d572a68].jpg,D:\MÍDIA\2023\2023-06\2023-06-08 22.20.20 [5cca8d15].jpg,1,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2023\2023-06\2023-06-08 22.20.26 [c196bd7c].jpg,D:\MÍDIA\2023\2023-06\2023-06-08 22.20.28 [ac343bf2].jpg,2,4000x3000,4000x3000,rajada/incerto
D:\MÍDIA\2015\2015-05\2015-05-07 21.41.12 [0453bc30].jpg,D:\MÍDIA\2016\2016-09\2016-09-03 17.28.50 [24ff90d6].jpg,1,4208x3120,5312x2988,rajada/incerto
D:\MÍDIA\0000 SEM DATA\Documentos\2015-10-30 15.23.58 [e8f4e925].jpg,D:\MÍDIA\2016\2016-09\2016-09-03 17.28.50 [24ff90d6].jpg,2,4208x3120,5312x2988,rajada/incerto
D:\MÍDIA\2017\2017-06\2017-06-29 06.44.43 [bb839d78].jpg,D:\MÍDIA\2016\2016-09\2016-09-03 17.28.50 [24ff90d6].jpg,2,4208x3120,5312x2988,rajada/incerto
D:\MÍDIA\2021\2021-11\2021-11-03 10.50.17 [1fc811be].jpg,D:\MÍDIA\2016\2016-09\2016-09-03 17.28.50 [24ff90d6].jpg,2,4032x3024,5312x2988,rajada/incerto
D:\MÍDIA\2021\2021-11\2021-11-03 10.55.52 [ab62874b].jpg,D:\MÍDIA\2016\2016-09\2016-09-03 17.28.50 [24ff90d6].jpg,3,4032x3024,5312x2988,rajada/incerto
D:\MÍDIA\2021\2021-11\2021-11-03 10.55.53 [897de8b5].jpg,D:\MÍDIA\2016\2016-09\2016-09-03 17.28.50 [24ff90d6].jpg,4,4032x3024,5312x2988,rajada/incerto
D:\MÍDIA\2021\2021-11\2021-11-03 16.15.19 [4fd22b86].jpg,D:\MÍDIA\2016\2016-09\2016-09-03 17.28.50 [24ff90d6].jpg,1,4032x3024,5312x2988,rajada/incerto
D:\MÍDIA\2021\2021-11\2021-11-03 10.55.32 [2aa4add1].jpg,D:\MÍDIA\2016\2016-09\2016-09-03 17.28.50 [24ff90d6].jpg,4,4032x3024,5312x2988,rajada/incerto
