"ID","Nome (Artigo)","Texto do Artigo"
"1","Art. 1º","Art. 1º. São crimes de responsabilidade os que esta lei especifica."
"2","Art. 2º","Art. 2º. Os crimes definidos nesta lei, ainda quando simplesmente tentados, são passíveis da pena de perda do cargo, com inabilitação, até cinco anos, para o exercício de qualquer função pública, imposta pelo Senado Federal nos processos contra o Presidente da República ou Ministros de Estado, contra os Ministros do Supremo Tribunal Federal ou contra o Procurador Geral da República."
"3","Art. 3º","Art. 3º. A imposição da pena referida no artigo anterior não exclui o processo e julgamento do acusado por crime comum, na justiça ordinária, nos termos das leis de processo penal."
"4","Art. 4º","Art. 4º. São crimes de responsabilidade os atos do Presidente da República que atentarem contra a Constituição Federal, e, especialmente, contra:"
"5","Art. 4º, I","Art. 4º. São crimes de responsabilidade os atos do Presidente da República que atentarem contra a Constituição Federal, e, especialmente, contra:
I - A existência da União:"
"6","Art. 4º, II","Art. 4º. São crimes de responsabilidade os atos do Presidente da República que atentarem contra a Constituição Federal, e, especialmente, contra:
II - O livre exercício do Poder Legislativo, do Poder Judiciário e dos poderes constitucionais dos Estados;"
"7","Art. 4º, III","Art. 4º. São crimes de responsabilidade os atos do Presidente da República que atentarem contra a Constituição Federal, e, especialmente, contra:
III - O exercício dos direitos políticos, individuais e sociais:"
"8","Art. 4º, IV","Art. 4º. São crimes de responsabilidade os atos do Presidente da República que atentarem contra a Constituição Federal, e, especialmente, contra:
IV - A segurança interna do país:"
"9","Art. 4º, V","Art. 4º. São crimes de responsabilidade os atos do Presidente da República que atentarem contra a Constituição Federal, e, especialmente, contra:
V - A probidade na administração;"
"10","Art. 4º, VI","Art. 4º. São crimes de responsabilidade os atos do Presidente da República que atentarem contra a Constituição Federal, e, especialmente, contra:
VI - A lei orçamentária;"
"11","Art. 4º, VII","Art. 4º. São crimes de responsabilidade os atos do Presidente da República que atentarem contra a Constituição Federal, e, especialmente, contra:
VII - A guarda e o legal emprego dos dinheiros públicos;"
"12","Art. 4º, VIII","Art. 4º. São crimes de responsabilidade os atos do Presidente da República que atentarem contra a Constituição Federal, e, especialmente, contra:
VIII - O cumprimento das decisões judiciárias (Constituição, artigo 89)."
"13","Art. 5º","Art. 5º. São crimes de responsabilidade contra a existência política da União:"
"14","Art. 5º, 1","Art. 5º. São crimes de responsabilidade contra a existência política da União:
1 - entreter, direta ou indiretamente, inteligência com governo estrangeiro, provocando-o a fazer guerra ou cometer hostilidade contra a República, prometer-lhe assistência ou favor, ou dar-lhe qualquer auxílio nos preparativos ou planos de guerra contra a República;"
"15","Art. 5º, 2","Art. 5º. São crimes de responsabilidade contra a existência política da União:
2 - tentar, diretamente e por fatos, submeter a União ou algum dos Estados ou Territórios a domínio estrangeiro, ou dela separar qualquer Estado ou porção do território nacional;"
"16","Art. 5º, 3","Art. 5º. São crimes de responsabilidade contra a existência política da União:
3 - cometer ato de hostilidade contra nação estrangeira, expondo a República ao perigo da guerra, ou comprometendo-lhe a neutralidade;"
"17","Art. 5º, 4","Art. 5º. São crimes de responsabilidade contra a existência política da União:
4 - revelar negócios políticos ou militares, que devam ser mantidos secretos a bem da defesa da segurança externa ou dos interesses da Nação;"
