"NomeBase","Count","Itens"
"ga.js","7","OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\ga.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\ga.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\ga.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\ga.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\ga.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.696, DE 19 DE ABRIL 2022. — Tribunal Superior Eleitoral_files\ga.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.696, DE 19 DE ABRIL 2022. — Tribunal Superior Eleitoral_files\ga.js.download"
"jquery.validate.min.js","7","OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\jquery.validate.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\PROVIMENTO Nº 1 - CGE, DE 23 DE JANEIRO DE 2019. — Tribunal Superior Eleitoral_files\jquery.validate.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\jquery.validate.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.637, DE 21 DE JANEIRO DE 2021. — Tribunal Superior Eleitoral_files\jquery.validate.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\jquery.validate.min.js(1).download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.689, DE 24 DE MARÇO DE 2022. — Tribunal Superior Eleitoral_files\jquery.validate.min.js.download || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\RESOLUÇÕES (Covid-19)\RESOLUÇÃO Nº 23.696, DE 19 DE ABRIL 2022. — Tribunal Superior Eleitoral_files\jquery.validate.min.js.download"
"planilha gerencial","6","OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\Planilha gerencial SEGJUR\Planilha gerencial (10).html || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\Planilha gerencial SEGJUR\Planilha gerencial (11).html || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\Planilha gerencial SEGJUR\Planilha gerencial (12).html || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\Planilha gerencial SEGJUR\Planilha gerencial (13).html || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\Planilha gerencial SEGJUR\Planilha gerencial (8).html || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\Planilha gerencial SEGJUR\Planilha gerencial (9).html"
"adi 4300","6","ADI 4300 (1).pdf || ADI 4300 (2).pdf || ADI 4300 (3).pdf || ADI 4300 (4).pdf || ADI 4300 (5).pdf || ADI 4300 (6).pdf"
"ap 470 - indícios cpp","6","AP 470 - Indícios CPP (1).pdf || AP 470 - Indícios CPP (2).pdf || AP 470 - Indícios CPP (3).pdf || AP 470 - Indícios CPP (4).pdf || AP 470 - Indícios CPP (5).pdf || AP 470 - Indícios CPP (6).pdf"
"80502042014","6","80502042014 (1).pdf || 80502042014 (2).pdf || 80502042014 (3).pdf || 80502042014 (4).pdf || 80502042014 (5).pdf || 80502042014.pdf"
"artigo","5","Artigo (1).docx || Artigo (2).docx || Artigo.docx || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Artigo (1).docx || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\DIREITO TRIBUTÁRIO 2 - Valcir Gassen\Artigo (2).docx"
"declaração - arnaldo marques capita","5","Declaração - Arnaldo Marques Capita (0).pdf || Declaração - Arnaldo Marques Capita (1).pdf || Declaração - Arnaldo Marques Capita (2).pdf || Declaração - Arnaldo Marques Capita (4).pdf || Declaração - Arnaldo Marques Capita (5).pdf"
"monografia esma - maurício augusto chiaramonte vieira","4","Monografia ESMA - MAURÍCIO AUGUSTO CHIARAMONTE VIEIRA (2).docx || Monografia ESMA - MAURÍCIO AUGUSTO CHIARAMONTE VIEIRA (3).docx || Monografia ESMA - MAURÍCIO AUGUSTO CHIARAMONTE VIEIRA (4).docx || Monografia ESMA - MAURÍCIO AUGUSTO CHIARAMONTE VIEIRA.docx"
"artigo final","4","Artigo Final.docx || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\Artigo Final.docx || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL\Artigo Final\Artigo Final.docx || OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO\Artigo Final.docx"
