coluna,etiqueta,cor_atual,cor_alvo,remover_se_apply
advogados,KENNEDY LAFAIETE FERNANDES DIOGENES - RN5786-A Representa,pink,pink,0
advogados,KARINE LIMA DE ANDRADE,blue,blue,0
advogados,GABRIELLA PEREIRA DE SOUZA,red,red,0
advogados,GYLLIARD MATOS FANTECELLE,default,default,0
advogados,ANDRE LUIZ PERUHYPE MAGALHAES,orange,orange,0
advogados,ANDREA PERUHYPE MAGALHAES,green,green,0
advogados,GLAUBER FERRAZ TEIXEIRA,brown,brown,0
advogados,MOISES SENA MARTIN,orange,orange,0
advogados,LUIZ DE SOUZA GOMES,red,red,0
advogados,MARCO ANTONIO DELMONDES KUMAIRA,blue,blue,0
advogados,MARIANA FERREIRA DA CRUZ,default,default,0
advogados,RAFAEL WEHDORN WILDEMBERG,yellow,yellow,0
advogados,MATEUS WILHIAM ALVES FERNANDES,green,green,0
advogados,MATHEUS GUSTAVO SILVA DAMASCENO,orange,orange,0
advogados,CARLOS EDUARDO PERUHYPE MAGALHAES,purple,purple,0
advogados,LUIZ D,green,green,0
advogados,Perla Morais Roriz,brown,brown,0
advogados,RONALD SIQUEIRA BARBOSA FILHO,brown,brown,0
advogados,THIAGO SANTOS BIANCHI,blue,blue,0
advogados,GABRIEL PORTELLA FAGUNDES NETO,orange,orange,0
advogados,TULIO MARCIO CUNHA,green,green,0
advogados,CRUZ ARANTES,default,default,0
advogados,MARIO DE ALMEIDA COSTA NETO,pink,pink,0
advogados,LEIDILANE SILVA SIQUEIRA,red,red,0
advogados,JUAN VITOR BALDUINO NOGUEIRA,blue,blue,0
advogados,BRUNO RANGEL AVELINO DA SILVA,gray,gray,0
advogados,BRUNO FRANCO LACERDA MARTINS,orange,orange,0
advogados,MICHELLE PRADO GONCALVES,yellow,yellow,0
advogados,José Geraldo Forte dos Santos Fernandes,brown,brown,0
advogados,EMANUELL CAVALCANTI DO NASCIMENTO BARBOSA,brown,brown,0
