"ID","Nome (Artigo)","Texto do Artigo"
"20","Art. 8º, V","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 8º, V

Art. 8º. As penas restritivas de direito são:
V - recolhimento domiciliar."
"21","Art. 9º","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 9º

Art. 9º. A prestação de serviços à comunidade consiste na atribuição ao condenado de tarefas gratuitas junto a parques e jardins públicos e unidades de conservação, e, no caso de dano da coisa particular, pública ou tombada, na restauração desta, se possível."
"22","Art. 10","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 10

Art. 10. As penas de interdição temporária de direito são a proibição de o condenado contratar com o Poder Público, de receber incentivos fiscais ou quaisquer outros benefícios, bem como de participar de licitações, pelo prazo de cinco anos, no caso de crimes dolosos, e de três anos, no de crimes culposos."
"23","Art. 11","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 11

Art. 11. A suspensão de atividades será aplicada quando estas não estiverem obedecendo às prescrições legais."
"24","Art. 12","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 12

Art. 12. A prestação pecuniária consiste no pagamento em dinheiro à vítima ou à entidade pública ou privada com fim social, de importância, fixada pelo juiz, não inferior a um salário mínimo nem superior a trezentos e sessenta salários mínimos. O valor pago será deduzido do montante de eventual reparação civil a que for condenado o infrator."
"25","Art. 13","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 13

Art. 13. O recolhimento domiciliar baseia-se na autodisciplina e senso de responsabilidade do condenado, que deverá, sem vigilância, trabalhar, freqüentar curso ou exercer atividade autorizada, permanecendo recolhido nos dias e horários de folga em residência ou em qualquer local destinado a sua moradia habitual, conforme estabelecido na sentença condenatória."
"26","Art. 14","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 14

Art. 14. São circunstâncias que atenuam a pena:"
"27","Art. 14, I","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 14, I

Art. 14. São circunstâncias que atenuam a pena:
I - baixo grau de instrução ou escolaridade do agente;"
"28","Art. 14, II","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 14, II

Art. 14. São circunstâncias que atenuam a pena:
II - arrependimento do infrator, manifestado pela espontânea reparação do dano, ou limitação significativa da degradação ambiental causada;"
"29","Art. 14, III","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 14, III

Art. 14. São circunstâncias que atenuam a pena:
III - comunicação prévia pelo agente do perigo iminente de degradação ambiental;"
"30","Art. 14, IV","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 14, IV

Art. 14. São circunstâncias que atenuam a pena:
IV - colaboração com os agentes encarregados da vigilância e do controle ambiental."
"31","Art. 15","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:"
"32","Art. 15, I","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15, I

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:
I - reincidência nos crimes de natureza ambiental;"
"33","Art. 15, II","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15, II

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:
II - ter o agente cometido a infração:"
"34","Art. 15, II, a)","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15, II, a)

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:
II - ter o agente cometido a infração:
a) para obter vantagem pecuniária;"
