origem,destino,sha1_esperado,status
BEs 1933\JANEIRO\24\99195\00000013.pdf,D:\TSJE_ATAS\1933\1933-01-24 - BE n013 [99195].pdf,3c9055c32724bb38e4dee8d9698b3387f4969bb5,ok
BEs 1933\JANEIRO\25\99196\00000014.pdf,D:\TSJE_ATAS\1933\1933-01-25 - BE n014 [99196].pdf,df5179b829fa9b1607556da36f6ea95f38afadd8,ok
BEs 1933\JANEIRO\26\99197\00000015.pdf,D:\TSJE_ATAS\1933\1933-01-26 - BE n015 [99197].pdf,edf5079ba64fda86836b6d92a198815372f13841,ok
BEs 1933\JANEIRO\30\99200\00000018.pdf,D:\TSJE_ATAS\1933\1933-01-30 - BE n018 [99200].pdf,4c1dfafa35f8ed4fcd9a73d89789cb0f4f9a9a5e,ok
BEs 1933\FEVEREIRO\07\99301\00000025.pdf,D:\TSJE_ATAS\1933\1933-02-07 - BE n025 [99301].pdf,4edcb4f5fd43705a5a9f165be1e0c7ba632bb961,ok
BEs 1933\FEVEREIRO\08\99302\00000026.pdf,D:\TSJE_ATAS\1933\1933-02-08 - BE n026 [99302].pdf,a990d816b100e9a7b06d8219d0192acf81ceb85d,ok
BEs 1933\FEVEREIRO\09\99303\00000027.pdf,D:\TSJE_ATAS\1933\1933-02-09 - BE n027 [99303].pdf,7b4bf3627cfa4e53b2cd6aa765547c7956ff8bc2,ok
BEs 1933\FEVEREIRO\10\99304\00000028.pdf,D:\TSJE_ATAS\1933\1933-02-10 - BE n028 [99304].pdf,3bcbcfe335ff83e245b6f204843fdeef898eef8a,ok
BEs 1933\FEVEREIRO\11\99305\00000029.pdf,D:\TSJE_ATAS\1933\1933-02-11 - BE n029 [99305].pdf,48ca819db452b221c985b65c4ecd6138a27b3860,ok
BEs 1933\FEVEREIRO\13\99306\00000030.pdf,D:\TSJE_ATAS\1933\1933-02-13 - BE n030 [99306].pdf,b029c29a24c95c59ddc6c66cf275810f7dec7d6f,ok
BEs 1933\FEVEREIRO\14\99307\00000031.pdf,D:\TSJE_ATAS\1933\1933-02-14 - BE n031 [99307].pdf,3ec35b9b3dead8db6fb3ed1572ff2d87fbf90fbc,ok
BEs 1933\FEVEREIRO\15\99308\00000032.pdf,D:\TSJE_ATAS\1933\1933-02-15 - BE n032 [99308].pdf,7f5418a035bbe5d4711932e35eaa682aeb5d5287,ok
BEs 1933\FEVEREIRO\16\99309\00000033.pdf,D:\TSJE_ATAS\1933\1933-02-16 - BE n033 [99309].pdf,d1421f931675b21f576ad92225fcd31758b8ffe4,ok
BEs 1933\FEVEREIRO\20\99312\00000036.pdf,D:\TSJE_ATAS\1933\1933-02-20 - BE n036 [99312].pdf,0dfa9277bc86eb971257b6abe58741ca1deac8cf,ok
BEs 1933\FEVEREIRO\21\99313\00000037.pdf,D:\TSJE_ATAS\1933\1933-02-21 - BE [99313].pdf,a676af854e62362dc4f686070cdf51de34facc29,ok
BEs 1933\FEVEREIRO\24\99316\00000040.pdf,D:\TSJE_ATAS\1933\1933-02-24 - BE n040 [99316].pdf,95e437131ede5fb81b46c2209f433db95f30087c,ok
BEs 1933\FEVEREIRO\25\99317\00000041.pdf,D:\TSJE_ATAS\1933\1933-02-25 - BE n041 [99317].pdf,1a7125fd0f0a64ae7e15b6c759a28ec2c06fca85,ok
BEs 1933\MARÇO\01\99319\00000043.pdf,D:\TSJE_ATAS\1933\1933-03-01 - BE n043 [99319].pdf,63d4145ae1444a45ad836d865f7e1d59fb5e1b5d,ok
BEs 1933\MARÇO\24\99421\00000063.pdf,D:\TSJE_ATAS\1933\1933-03-24 - BE n063 [99421].pdf,8a0e627afd0f9e634c9ac355a231b5a066678884,ok
BEs 1933\MARÇO\25\99422\00000064.pdf,D:\TSJE_ATAS\1933\1933-03-25 - BE n064 [99422].pdf,5b2e13397054a0e7f6f762f3e6a2015dddff965a,ok
BEs 1933\MARÇO\27\99423\00000065.pdf,D:\TSJE_ATAS\1933\1933-03-27 - BE n065 [99423].pdf,724de0203c0ba3c656c7ff762198876c5908a1bb,ok
BEs 1933\MARÇO\28\99424\00000066.pdf,D:\TSJE_ATAS\1933\1933-03-28 - BE n066 [99424].pdf,263e9801dd63c0b56c75e5bccc0816546fb61faf,ok
BEs 1933\MARÇO\29\99425\00000067.pdf,D:\TSJE_ATAS\1933\1933-03-29 - BE n067 [99425].pdf,bca5c79f4ceee69ff746f57cfc85719634304334,ok
BEs 1933\MARÇO\30\99426\00000068.pdf,D:\TSJE_ATAS\1933\1933-03-30 - BE n068 [99426].pdf,21ab13fd5ae93efa430e1cb225bd3f9b871a6ed9,ok
BEs 1933\MARÇO\31\99427\00000069.pdf,D:\TSJE_ATAS\1933\1933-03-31 - BE [99427].pdf,ecbdfff080ebb22f62cabe0dbc484d5b1ce0675e,ok
BEs 1933\ABRIL\04\99218\00000003.pdf,D:\TSJE_ATAS\1933\1933-04-04 - BE n072 [99218].pdf,4915119962f8e8166ec50a268c1ede4dc93c3fbc,ok
BEs 1933\ABRIL\05\99219\00000004.pdf,D:\TSJE_ATAS\1933\1933-04-05 - BE n073 [99219].pdf,a6142ccd490038ca0c4e4f99d3ba142b2dd6dc06,ok
BEs 1933\ABRIL\07\99225\00000006.pdf,D:\TSJE_ATAS\1933\1933-04-07 - BE n075 [99225].pdf,bd583d9209bbc3d615494a94679cbbad935b018e,ok
BEs 1933\ABRIL\11\99232\00000009.pdf,D:\TSJE_ATAS\1933\1933-04-11 - BE n078 [99232].pdf,5a4a861062079f970f7d022700fb1c0f086ecdb2,ok
BEs 1933\ABRIL\26\99248\00000020.pdf,D:\TSJE_ATAS\1933\1933-04-26 - BE n089 [99248].pdf,4809970a66fc595bf649d596ded885ef817f7b04,ok
BEs 1933\MAIO\20\99270\00000028.pdf,D:\TSJE_ATAS\1933\1933-05-20 - BE n097 [99270].pdf,2e8a73d43f898c407b484001546e0e7137f1aeab,ok
BEs 1933\MAIO\24\99272\00000029.pdf,D:\TSJE_ATAS\1933\1933-05-24 - BE n098 [99272].pdf,a78e847eb18ccf51e86f854c3d1834a0d75ec332,ok
BEs 1933\MAIO\27\99273\00000030.pdf,D:\TSJE_ATAS\1933\1933-05-27 - BE n099 [99273].pdf,009c03ac91fa58a8809242f162d8b82395e31d9b,ok
BEs 1933\MAIO\31\99274\00000031.pdf,D:\TSJE_ATAS\1933\1933-05-31 - BE n100 [99274].pdf,c888b0ef413dbb1bd9d8fecdf053f57deb2a2d1d,ok
BEs 1933\JUNHO\03\99276\00000032.pdf,D:\TSJE_ATAS\1933\1933-06-03 - BE n101 [99276].pdf,17eb1280d6e1bf8cd99a279884bafb94f122c920,ok
BEs 1933\JUNHO\07\99277\00000001.pdf,D:\TSJE_ATAS\1933\1933-06-07 - BE [99277].pdf,6ec1cb88f374f2da8b0c6527be2a8c48cbf9991d,ok
BEs 1933\JUNHO\07\99277\00000033.pdf,D:\TSJE_ATAS\1933\1933-06-07 - BE n102 [99277].pdf,7f1dc93458a95d9b444d78b12944920f03378de1,ok
BEs 1933\JUNHO\10\99278\00000002.pdf,D:\TSJE_ATAS\1933\1933-06-10 - BE n103 [99278].pdf,43bf330af2a49438f65af3d88b8ed2b561b78e60,ok
BEs 1933\JUNHO\10\99278\00000034.pdf,D:\TSJE_ATAS\1933\1933-06-10 - BE [99278].pdf,311ad555940512500b396cb72c5c0353d832ddab,ok
BEs 1933\JUNHO\14\99279\00000003.pdf,D:\TSJE_ATAS\1933\1933-06-14 - BE n104 [99279].pdf,32f025af8e3a0460f5517885ea1413507f42174e,ok
BEs 1933\JUNHO\14\99279\00000035.pdf,D:\TSJE_ATAS\1933\1933-06-14 - BE n104 [99279] (2).pdf,15167c236640bd3ed8884778effb88045c543409,ok
BEs 1933\JUNHO\17\99280\00000004.pdf,D:\TSJE_ATAS\1933\1933-06-17 - BE n105 [99280].pdf,f3ba3e5fee6b929dfa4b21cb176c022ac30fc05e,ok
BEs 1933\JUNHO\17\99280\00000036.pdf,D:\TSJE_ATAS\1933\1933-06-17 - BE n105 [99280] (2).pdf,f62d04a25c4b8bd544948faf52b2ac749496eebb,ok
BEs 1933\JUNHO\21\99281\00000037.pdf,D:\TSJE_ATAS\1933\1933-06-21 - BE n106 [99281].pdf,ae5e269f8303e1068b62e1a980990941b0c80edb,ok
BEs 1933\JULHO\01\99286\00000006.pdf,D:\TSJE_ATAS\1933\1933-07-01 - BE n109 [99286].pdf,83fe6b1488e854c19df0538fa8a1cdf239ec22c9,ok
BEs 1933\JULHO\05\99287\00000007.pdf,D:\TSJE_ATAS\1933\1933-07-05 - BE n110 [99287].pdf,7910c3de5fac09387a37545e494cf8c5867fd6aa,ok
BEs 1933\JULHO\08\99289\00000009.pdf,D:\TSJE_ATAS\1933\1933-07-08 - BE n111 [99289].pdf,e513a8c44745ac0d81b93abeb863ab5882d2cfaf,ok
