"Rel","Name","Length","Modified","Attributes"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TEMAS SELECIONADOS\Partido_politico_notion.csv","Partido_politico_notion.csv","4215022","2025-11-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TEMAS SELECIONADOS\pesquisa eleitoral.txt","pesquisa eleitoral.txt","190447","2025-11-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TEMAS SELECIONADOS\Propaganda Eleitoral.csv","Propaganda Eleitoral.csv","7958858","2025-11-08","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TEMAS SELECIONADOS\Propaganda Eleitoral.txt","Propaganda Eleitoral.txt","2302829","2025-11-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TEMAS SELECIONADOS\Propaganda Eleitoral_notion.csv","Propaganda Eleitoral_notion.csv","7899234","2025-11-08","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TEMAS SELECIONADOS\registro_de_candidato.csv","registro_de_candidato.csv","6240989","2025-11-09","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TEMAS SELECIONADOS\registro_de_candidato.txt","registro_de_candidato.txt","1608164","2025-11-08","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TEMAS SELECIONADOS\registro_de_candidato_notion.csv","registro_de_candidato_notion.csv","6193269","2025-11-09","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TEMAS SELECIONADOS\taxonomia.txt","taxonomia.txt","89724","2025-09-14","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TEMAS SELECIONADOS\Temas Diversos.csv","Temas Diversos.csv","1510568","2025-11-09","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TEMAS SELECIONADOS\Temas Diversos.txt","Temas Diversos.txt","357967","2025-11-09","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TEMAS SELECIONADOS\Temas Diversos_notion.csv","Temas Diversos_notion.csv","1493985","2025-11-09","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TEMAS SELECIONADOS\TEMAS_SELC_csv_to_notion.py","TEMAS_SELC_csv_to_notion.py","3841","2025-09-15","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TEMAS SELECIONADOS\TEMAS_SELC_txt_csv_v7.py","TEMAS_SELC_txt_csv_v7.py","15506","2025-09-15","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TEMAS SELECIONADOS\TEMAS_SELC_txt_to_csv_v4.py","TEMAS_SELC_txt_to_csv_v4.py","14727","2025-09-14","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TEMAS SELECIONADOS\TEMAS_SELC_txt_to_csv_v6.py","TEMAS_SELC_txt_to_csv_v6.py","15220","2025-09-15","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TEMAS SELECIONADOS\temas_selec_TSE_all.csv","temas_selec_TSE_all.csv","66979323","2025-11-09","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TEMAS SELECIONADOS\temas_selec_TSE_all_part1.csv","temas_selec_TSE_all_part1.csv","33535009","2025-11-09","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TEMAS SELECIONADOS\temas_selec_TSE_all_part2.csv","temas_selec_TSE_all_part2.csv","33444421","2025-11-09","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\(Esqueleto) - Artigo.docx","(Esqueleto) - Artigo.docx","51709","2021-02-20","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\(Esqueleto) - Tese.docx","(Esqueleto) - Tese.docx","72198","2022-09-03","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\(Vídeo) - Nos tempos de Moysés Viana (1).txt","(Vídeo) - Nos tempos de Moysés Viana (1).txt","72","2020-05-21","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\(Vídeo) - Nos tempos de Moysés Viana.txt","(Vídeo) - Nos tempos de Moysés Viana.txt","72","2020-05-21","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Acesso - Revista dos Tribunais (RT).pdf","Acesso - Revista dos Tribunais (RT).pdf","1043311","2023-04-17","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia_Doutorado - Departamento de Ciência Política.docx","Bibliografia_Doutorado - Departamento de Ciência Política.docx","17966","2024-08-07","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\CORPO DOCENTE_PÓS-GRADUAÇÃO_USP.xlsx","CORPO DOCENTE_PÓS-GRADUAÇÃO_USP.xlsx","15120","2023-10-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Currículo lattes.docx","Currículo lattes.docx","15624","2023-11-23","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Currículo.docx","Currículo.docx","761833","2024-08-16","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\DECISOES HISTORICAS REPETIDAS.xls","DECISOES HISTORICAS REPETIDAS.xls","10991","2025-06-03","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Defesa de monografia.pdf","Defesa de monografia.pdf","2454337","2023-12-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Dialética - Aprovação.pdf","Dialética - Aprovação.pdf","933689","2023-04-17","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Dialética - E-mail.pdf","Dialética - E-mail.pdf","50909","2023-04-17","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Dialética - Folder.pdf","Dialética - Folder.pdf","3978889","2022-11-21","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Dialética - proposta de revisão (2).pdf","Dialética - proposta de revisão (2).pdf","820410","2023-04-17","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Dialética - proposta de revisão.pdf","Dialética - proposta de revisão.pdf","816323","2023-04-17","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Dissertação (v. final) - CHIARAMONTE, Maurício Augusto - rev. 8.11.docx","Dissertação (v. final) - CHIARAMONTE, Maurício Augusto - rev. 8.11.docx","766130","2022-11-08","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\FUVEST - proficiência - inglês.pdf","FUVEST - proficiência - inglês.pdf","64871","2023-09-24","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Língua Estrangeira_Inglês_ FD_USP_2018.pdf","Língua Estrangeira_Inglês_ FD_USP_2018.pdf","304102","2023-09-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Manual estudando no exterior.pdf","Manual estudando no exterior.pdf","10513798","2021-10-08","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Minha Biblioteca Virtual.pdf","Minha Biblioteca Virtual.pdf","978137","2022-11-29","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\MS 32060-24.2011.4.01.3800.pdf","MS 32060-24.2011.4.01.3800.pdf","2029748","2023-12-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Passagem SP  - Língua Estrangeira_Inglês - 19_08_17.pdf","Passagem SP  - Língua Estrangeira_Inglês - 19_08_17.pdf","163164","2017-07-13","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Professor PUC_RS (indicação Prof. Paolo).txt","Professor PUC_RS (indicação Prof. Paolo).txt","57","2024-08-07","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Slides Conquer.pptx","Slides Conquer.pptx","37642186","2020-11-29","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Tabela SJUR.pdf","Tabela SJUR.pdf","58169","2025-06-03","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\toefl access.txt","toefl access.txt","50","2008-05-12","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\toefl.GIF","toefl.GIF","38501","2008-06-25","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Acordo USP\Acordo de Cooperação Técnica USP-TSE.pdf","Acordo de Cooperação Técnica USP-TSE.pdf","10644469","2021-04-16","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Acordo USP\RICCI, Paolo - Carta ao TSE.pdf","RICCI, Paolo - Carta ao TSE.pdf","5786800","2021-04-16","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Acordo USP\TA_Acordo de Cooperação Técnica USP-TSE.pdf","TA_Acordo de Cooperação Técnica USP-TSE.pdf","7805243","2021-04-16","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\ARTIGOS (a publicar)\Comissão de Conciliação Prévia na Administração Pública.docx","Comissão de Conciliação Prévia na Administração Pública.docx","21259","2023-05-26","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\ARTIGOS (a publicar)\Direito e Temporalidades - impactos do tempo na hermenêutica jurídica.docx","Direito e Temporalidades - impactos do tempo na hermenêutica jurídica.docx","61526","2021-02-20","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\ARTIGOS (a publicar)\Monografia 2017 - Prestação de contas eleitoral falsa - conexões entre os crimes de corrupção passiva, lavagem e falsidade.docx","Monografia 2017 - Prestação de contas eleitoral falsa - conexões entre os crimes de corrupção passiva, lavagem e falsidade.docx","183134","2024-07-15","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\ARTIGOS (a publicar)\Prestação de contas eleitoral falsa.docx","Prestação de contas eleitoral falsa.docx","41313","2020-09-01","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\ARTIGOS (a publicar)\Prestação de contas eleitoral falsa.pdf","Prestação de contas eleitoral falsa.pdf","145800","2021-02-20","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\(Conversa) - Elda.docx","(Conversa) - Elda.docx","13645","2020-06-03","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\(Defesa de doutorado) - Gustavo Zatelli Correa.docx","(Defesa de doutorado) - Gustavo Zatelli Correa.docx","14991","2022-08-15","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\(Dissertação) ANDRADE NETO, João - O positivismo jurídico e a legitimidade dos juízos eleitorais.pdf","(Dissertação) ANDRADE NETO, João - O positivismo jurídico e a legitimidade dos juízos eleitorais.pdf","1361954","2020-05-16","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\(Dissertação) LISOWSKI, Telma Rocha - o poder constituinte entre continudade e ruptura - limites, tradição e transformação.pdf","(Dissertação) LISOWSKI, Telma Rocha - o poder constituinte entre continudade e ruptura - limites, tradição e transformação.pdf","1403637","2020-06-02","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\(Palestra) ESPÍNDOLA, Ruy Samuel - justiça eleitoral contramajoritária e soberania popular.docx","(Palestra) ESPÍNDOLA, Ruy Samuel - justiça eleitoral contramajoritária e soberania popular.docx","13324","2020-05-28","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\(Resumo) OLIVEIRA, Marcelo Roseno de - Controle das eleições.docx","(Resumo) OLIVEIRA, Marcelo Roseno de - Controle das eleições.docx","21445","2020-07-09","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\(Resumo) ZÍLIO, Rodrigo López - Decisão de cassação de mandato.docx","(Resumo) ZÍLIO, Rodrigo López - Decisão de cassação de mandato.docx","20484","2020-07-10","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\(Tese) BENDER, Geomar André - A divisão do poder político - do Estado LIberal ao Estado Social.pdf","(Tese) BENDER, Geomar André - A divisão do poder político - do Estado LIberal ao Estado Social.pdf","871901","2022-09-25","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\(Tese) JEHÁ, Pedro Rubez - O processo de degeneração dos partidos políticos no Brasil.pdf","(Tese) JEHÁ, Pedro Rubez - O processo de degeneração dos partidos políticos no Brasil.pdf","1738256","2020-04-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\(Tese) SALGADO, Eneida Desiree - princípios constitucionais estruturantes do direito eleitoral.pdf","(Tese) SALGADO, Eneida Desiree - princípios constitucionais estruturantes do direito eleitoral.pdf","2573843","2020-04-17","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\(USP) A linha do tempo da estratégia federal de disseminação da COVID-19.pdf","(USP) A linha do tempo da estratégia federal de disseminação da COVID-19.pdf","2314027","2021-06-08","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\(Voto) - ADI 5028 - Min. Barroso.pdf","(Voto) - ADI 5028 - Min. Barroso.pdf","19960759","2020-04-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\ABRANCHES, Sérgio - Presidencialismo de coalizão.grifado.pdf","ABRANCHES, Sérgio - Presidencialismo de coalizão.grifado.pdf","78612","2020-01-28","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\AGRA, Walber - Temas polêmicos.grifado.pdf","AGRA, Walber - Temas polêmicos.grifado.pdf","1577721","2020-01-28","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\ANDRADE NETO, João - O positivismo juridico nos labirintos da legalidade.pdf","ANDRADE NETO, João - O positivismo juridico nos labirintos da legalidade.pdf","390142","2020-05-17","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\ANDRADE NETO, João Andrade; SIQUEIRA, Gustavo Silveira - Um debate sobre a justiça eleitoral no Brasil.pdf","ANDRADE NETO, João Andrade; SIQUEIRA, Gustavo Silveira - Um debate sobre a justiça eleitoral no Brasil.pdf","368764","2020-05-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\As_Eleicoes_na_Primeira_Republica.zip","As_Eleicoes_na_Primeira_Republica.zip","165019612","2021-04-16","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\BARBURY, Victor Emanuel Vilela - Ideias juridicas de José de Alencar.pdf","BARBURY, Victor Emanuel Vilela - Ideias juridicas de José de Alencar.pdf","2334247","2020-09-09","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\BARROSO, Luis Roberto - A judicialização da vida.grifado.pdf","BARROSO, Luis Roberto - A judicialização da vida.grifado.pdf","1154543","2020-01-28","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\BOQUADY, Natália Ribeiro Levy - Democracia e internet - os impactos das mídias digitais nas Eleições Gerais de 2018.pdf","BOQUADY, Natália Ribeiro Levy - Democracia e internet - os impactos das mídias digitais nas Eleições Gerais de 2018.pdf","872852","2019-05-22","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\Cadernos Adenauer - Justiça Eleitoral.pdf","Cadernos Adenauer - Justiça Eleitoral.pdf","3091249","2020-01-28","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\Cadernos Adenauer - Reforma política.pdf","Cadernos Adenauer - Reforma política.pdf","1728237","2020-01-28","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\CARVALHO, Claudia Paiva - Presidencialismo e democracia no Brasil (1946-1956) - sistema de governo, legalidade e crise política.pdf","CARVALHO, Claudia Paiva - Presidencialismo e democracia no Brasil (1946-1956) - sistema de governo, legalidade e crise política.pdf","2025750","2020-06-02","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\CASTRO, Alexander - Max Weber e história do direito - Fundamentos empíricos e historiográficos da soc. jur. Weberiana.pdf","CASTRO, Alexander - Max Weber e história do direito - Fundamentos empíricos e historiográficos da soc. jur. Weberiana.pdf","493492","2020-03-08","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\CHALOUB, Jorge - uma obra entre o reacionismo e o conservadorismo - o pensamento de Olavo de Carvalho.pdf","CHALOUB, Jorge - uma obra entre o reacionismo e o conservadorismo - o pensamento de Olavo de Carvalho.pdf","222006","2023-05-22","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\DAL FORNO, Rodrigo - A revolta tenentista de 1924 e a participação da aliança libertadora no RS.pdf","DAL FORNO, Rodrigo - A revolta tenentista de 1924 e a participação da aliança libertadora no RS.pdf","282572","2022-08-02","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\DAVIDSON, James West - Uma breve historia dos Estados.pdf","DAVIDSON, James West - Uma breve historia dos Estados.pdf","5585825","2020-11-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\DI TELLA, Torcuato - História social da Argentina contemporânea.pdf","DI TELLA, Torcuato - História social da Argentina contemporânea.pdf","2598919","2022-09-03","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\Direito eleitoral no Japão.pdf","Direito eleitoral no Japão.pdf","1310225","2020-05-24","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\Documentários Globonews (1).txt","Documentários Globonews (1).txt","137","2020-09-15","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\Documentários Globonews.txt","Documentários Globonews.txt","137","2020-09-15","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\ELECTORAL JUSTICE - The international IDEA Handbook.pdf","ELECTORAL JUSTICE - The international IDEA Handbook.pdf","4789371","2020-06-29","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\ESPÍNDOLA, Ruy Samuel - Abuso do poder regulamentar no TSE - contas eleitorais rejeitadas e quitação eleitoral.pdf","ESPÍNDOLA, Ruy Samuel - Abuso do poder regulamentar no TSE - contas eleitorais rejeitadas e quitação eleitoral.pdf","19071707","2020-05-24","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\FARRANHA, Ana Cláudia - Bacharelismo, judicialização e toga.pdf","FARRANHA, Ana Cláudia - Bacharelismo, judicialização e toga.pdf","622034","2020-04-17","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\FERRAZ JR., Tércio Sampaio - O jud. frente à divisão dos poderes - um princípio em decadência.pdf","FERRAZ JR., Tércio Sampaio - O jud. frente à divisão dos poderes - um princípio em decadência.pdf","2731301","2020-05-16","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\FERREIRA, Pinto - Os sistemas eleitorais.pdf","FERREIRA, Pinto - Os sistemas eleitorais.pdf","6406242","2020-03-12","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\FIGUEIREDO, Vitor Fonseca – Voto e competição política na primeira república – o caso de Minas Gerais.pdf","FIGUEIREDO, Vitor Fonseca – Voto e competição política na primeira república – o caso de Minas Gerais.pdf","2185097","2020-02-12","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\FRANÇA, Felipe Gallo da - Reforma política - entre a governança e o sistema eleitoral.pdf","FRANÇA, Felipe Gallo da - Reforma política - entre a governança e o sistema eleitoral.pdf","551194","2020-05-30","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\FREYRE, Gilberto - Sobrados e Mucambos.pdf","FREYRE, Gilberto - Sobrados e Mucambos.pdf","9568759","2020-05-11","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\FUX, Luiz - Abuso de poder e perda de mandato.grifado.pdf","FUX, Luiz - Abuso de poder e perda de mandato.grifado.pdf","1477339","2020-01-28","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\FUX, Luiz - Direito Constitucional Eleitoral.grifado.pdf","FUX, Luiz - Direito Constitucional Eleitoral.grifado.pdf","1471303","2020-01-28","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\GODOY, Arnaldo Sampaio de Moraes - A CF de 1934 no contexto da história do const. brasileiro.pdf","GODOY, Arnaldo Sampaio de Moraes - A CF de 1934 no contexto da história do const. brasileiro.pdf","194571","2022-09-04","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\GOMES, José Jairo - Bens jurídicos eleitorais.pdf","GOMES, José Jairo - Bens jurídicos eleitorais.pdf","551592","2020-05-14","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\GOMES, Reginaldo Gonçalves - Natureza coletiva do direito eleitoral.pdf","GOMES, Reginaldo Gonçalves - Natureza coletiva do direito eleitoral.pdf","164106","2020-05-15","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\HABERMAS, Jürgen - A inclusão do outro.pdf","HABERMAS, Jürgen - A inclusão do outro.pdf","19137272","2022-09-26","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\HORBACH, Carlos Bastide - Memória jurisprudencial do Min. Pedro Lessa.pdf","HORBACH, Carlos Bastide - Memória jurisprudencial do Min. Pedro Lessa.pdf","2733598","2020-05-27","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\JORGE, Flávio Cheim - Ação Eleitoral como tutela dos dir. coletivos e a aplicação subsidiária do microssistema proc. coletivo.PDF","JORGE, Flávio Cheim - Ação Eleitoral como tutela dos dir. coletivos e a aplicação subsidiária do microssistema proc. coletivo.PDF","139266","2020-05-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\KARNAL, Leandro - História dos EUA - das origens ao séc. XXI.pdf","KARNAL, Leandro - História dos EUA - das origens ao séc. XXI.pdf","6529301","2020-11-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\LAKATOS e MARCONI - Fundamentos de metodologia científica.pdf","LAKATOS e MARCONI - Fundamentos de metodologia científica.pdf","10463782","2021-02-21","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\Leandro_Karnal_História_dos_Estados.mobi","Leandro_Karnal_História_dos_Estados.mobi","5980058","2020-11-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\LIMA, Iara Menezes - Escola da exegese.pdf","LIMA, Iara Menezes - Escola da exegese.pdf","154633","2020-03-08","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\Lista de filmes para assistir.pdf","Lista de filmes para assistir.pdf","479038","2021-07-09","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\LYNCH, Christian Edward Cyril - A primeira encruzilhada da democracia.pdf","LYNCH, Christian Edward Cyril - A primeira encruzilhada da democracia.pdf","72588","2020-04-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\MAGALHÃES, Maria Carmem Cortês – O mecanismo das “comissões verificadoras” de poderes.pdf","MAGALHÃES, Maria Carmem Cortês – O mecanismo das “comissões verificadoras” de poderes.pdf","9931981","2020-02-13","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\MANSO, Bruno Paes - A República das milícias.pdf","MANSO, Bruno Paes - A República das milícias.pdf","2267936","2020-11-23","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\MARCON, Marcelo - O Globo e as disputas em cena Brizola e a criação e uma sigla emblemática.pdf","MARCON, Marcelo - O Globo e as disputas em cena Brizola e a criação e uma sigla emblemática.pdf","300346","2022-07-29","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\MARTINIANO, Rodrigo - Direito Eleitoral no EDD.grifado.pdf","MARTINIANO, Rodrigo - Direito Eleitoral no EDD.grifado.pdf","6941429","2020-01-28","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\MARTINY, Carina – O chefe político dos mais avançados republicanos – Julho de Castilhos.pdf","MARTINY, Carina – O chefe político dos mais avançados republicanos – Julho de Castilhos.pdf","4125542","2020-02-12","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\MENON, Gustavo - A tentativa de racionalização do Estado brasileiro na Era Vargas.pdf","MENON, Gustavo - A tentativa de racionalização do Estado brasileiro na Era Vargas.pdf","305128","2022-08-04","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\TESE\Bibliografia de apoio\NAKAMURA, Luis Antonio Corona - La justicia electoral en el sistema constitucional mexicano.pdf","NAKAMURA, Luis Antonio Corona - La justicia electoral en el sistema constitucional mexicano.pdf","1806258","2020-04-18","4199968"
