data_sessao,tribunal,tipo,num_ordinal,pagina,n_boletim_be,data_boletim,arquivo_destino,origem
1936-12-14,superior,ordinaria,131,5,,1936-12-17,1936-12-17 - BE [100067].pdf,BEs 1936\DEZEMBRO\17\100067\00000032.pdf
1936-12-16,regional,,51,14,,1937-01-05,1937-01-05 - BE [100076].pdf,BEs 1937\JANEIRO\05\100076\00000001.pdf
1936-12-16,superior,ordinaria,132,4,,1936-12-19,1936-12-19 - BE [100068].pdf,BEs 1936\DEZEMBRO\19\100068\00000033.pdf
1936-12-18,superior,ordinaria,133,5,,1936-12-22,1936-12-22 - BE [100069].pdf,BEs 1936\DEZEMBRO\22\100069\00000034.pdf
1936-12-21,superior,ordinaria,134,5,,1936-12-24,1936-12-24 - BE [100070].pdf,BEs 1936\DEZEMBRO\24\100070\00000035.pdf
1936-12-23,superior,ordinaria,135,4,,1936-12-29,1936-12-29 - BE [100071].pdf,BEs 1936\DEZEMBRO\29\100071\00000036.pdf
1936-12-30,superior,ordinaria,137,6,,1937-01-05,1937-01-05 - BE [100076].pdf,BEs 1937\JANEIRO\05\100076\00000001.pdf
1937-01-06,regional,,,13,,1937-02-02,1937-02-02 - BE [100098].pdf,BEs 1937\FEVEREIRO\02\100098\00000013.pdf
1937-01-06,superior,ordinaria,2,6,,1937-01-09,1937-01-09 - BE [100079].pdf,BEs 1937\JANEIRO\09\100079\00000003.pdf
1937-01-08,superior,ordinaria,,7,,1937-01-12,1937-01-12 - BE [100081].pdf,BEs 1937\JANEIRO\12\100081\00000004.pdf
1937-01-11,superior,ordinaria,4,5,,1937-01-14,1937-01-14 - BE [100084].pdf,BEs 1937\JANEIRO\14\100084\00000005.pdf
1937-01-13,regional,,2,12,,1937-02-04,1937-02-04 - BE [100099].pdf,BEs 1937\FEVEREIRO\04\100099\00000014.pdf
1937-01-15,superior,ordinaria,,6,,1937-01-19,1937-01-19 - BE [100088].pdf,BEs 1937\JANEIRO\19\100088\00000007.pdf
1937-01-22,regional,,,14,,1937-02-16,1937-02-16 - BE [100100].pdf,BEs 1937\FEVEREIRO\16\100100\00000015.pdf
1937-01-22,superior,ordinaria,,4,,1937-01-26,1937-01-26 - BE [100094].pdf,BEs 1937\JANEIRO\26\100094\00000010.pdf
1937-01-25,superior,ordinaria,10,5,,1937-01-28,1937-01-28 - BE [100096].pdf,BEs 1937\JANEIRO\28\100096\00000011.pdf
1937-01-27,superior,,1,12,,1937-02-13,1937-02-13 - BE [100101].pdf,BEs 1937\FEVEREIRO\13\100101\00000016.pdf
1937-01-29,superior,ordinaria,12,5,,1937-02-02,1937-02-02 - BE [100098].pdf,BEs 1937\FEVEREIRO\02\100098\00000013.pdf
1937-02-01,superior,ordinaria,13,5,,1937-02-04,1937-02-04 - BE [100099].pdf,BEs 1937\FEVEREIRO\04\100099\00000014.pdf
1937-02-02,superior,ordinaria,20,5,22,1937-02-27,1937-02-27 - BE n022 [100107].pdf,BEs 1937\FEVEREIRO\27\100107\00000022.pdf
1937-02-03,superior,ordinaria,14,7,,1937-02-16,1937-02-16 - BE [100100].pdf,BEs 1937\FEVEREIRO\16\100100\00000015.pdf
1937-02-05,superior,ordinaria,15,8,,1937-02-13,1937-02-13 - BE [100101].pdf,BEs 1937\FEVEREIRO\13\100101\00000016.pdf
1937-02-11,superior,,6,20,,1937-02-25,1937-02-25 - BE [100106].pdf,BEs 1937\FEVEREIRO\25\100106\00000021.pdf
1937-02-12,superior,ordinaria,16,5,,1937-02-16,1937-02-16 - BE [100102].pdf,BEs 1937\FEVEREIRO\16\100102\00000017.pdf
1937-02-15,superior,ordinaria,17,4,,1937-02-18,1937-02-18 - BE [100103].pdf,BEs 1937\FEVEREIRO\18\100103\00000018.pdf
1937-02-17,regional,,7,7,22,1937-02-27,1937-02-27 - BE n022 [100107].pdf,BEs 1937\FEVEREIRO\27\100107\00000022.pdf
1937-02-19,superior,ordinaria,,5,,1937-02-25,1937-02-25 - BE [100106].pdf,BEs 1937\FEVEREIRO\25\100106\00000021.pdf
1937-02-24,superior,,,13,27,1937-03-11,1937-03-11 - BE n027 [100112].pdf,BEs 1937\MARÇO\11\100112\00000005.pdf
1937-02-26,superior,ordinaria,21,5,23,1937-03-02,1937-03-02 - BE n023 [100108].pdf,BEs 1937\MARÇO\02\100108\00000001.pdf
1937-03-01,superior,ordinaria,22,4,,1937-03-04,1937-03-04 - BE [100109].pdf,BEs 1937\MARÇO\04\100109\00000002.pdf
