path_original,origem_atual,destino_novo,categoria,conf
D:\HD EXTERNO Mário\01_Fotos da câmera\30 anos EsPCEx\DSC09969.JPG,D:\MÍDIA\2011\2011-12\2011-12-03 11.25.25 [540e4423].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\DOCUMENTOS TRIVIAIS\2011-12-03 11.25.25 [540e4423].jpg,documento_trivial,0.84
D:\HD EXTERNO Mário\01_Fotos da câmera\30 anos EsPCEx\DSC09971.JPG,D:\MÍDIA\2011\2011-12\2011-12-03 11.25.46 [2baf910b].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\DOCUMENTOS TRIVIAIS\2011-12-03 11.25.46 [2baf910b].jpg,documento_trivial,0.84
D:\HD EXTERNO Mário\01_Fotos da câmera\Celular da Ana\2020 - Até Out\Câmera\20190315_125256.jpg,D:\MÍDIA\2019\2019-03\2019-03-15 12.52.56 [78ca5812].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2019-03-15 12.52.56 [78ca5812].jpg,tv_gravacao,1.0
D:\HD EXTERNO Mário\01_Fotos da câmera\Celular da Ana\2020 - Até Out\Câmera\20190315_125259.jpg,D:\MÍDIA\2019\2019-03\2019-03-15 12.52.59 [bba48241].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2019-03-15 12.52.59 [bba48241].jpg,tv_gravacao,1.0
D:\HD EXTERNO Mário\01_Fotos da câmera\Celular da Ana\2020 - Até Out\Câmera\20190315_125324.jpg,D:\MÍDIA\2019\2019-03\2019-03-15 12.53.24 [806f1ceb].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2019-03-15 12.53.24 [806f1ceb].jpg,tv_gravacao,1.0
D:\HD EXTERNO Mário\01_Fotos da câmera\Celular da Ana\2020 - Até Out\Instagram\IMG_20190429_180437_301.jpg,D:\MÍDIA\2019\2019-04\2019-04-29 18.04.37 [db81bcd1].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\DOCUMENTOS TRIVIAIS\2019-04-29 18.04.37 [db81bcd1].jpg,documento_trivial,0.9
D:\HD EXTERNO Mário\01_Fotos da câmera\Celular da Ana\2020 - Até Out\Instagram\IMG_20200430_173339_386.jpg,D:\MÍDIA\2020\2020-04\2020-04-30 17.33.39 [bb3d1589].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2020-04-30 17.33.39 [bb3d1589].jpg,meme_web,0.99
D:\HD EXTERNO Mário\01_Fotos da câmera\Celular da Ana\2020 - Até Out\Álbum 2 - Cancun\IMG-20190208-WA0051.jpg,D:\MÍDIA\2019\2019-02\2019-02-08 [d875225a].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2019-02-08 [d875225a].jpg,meme_web,0.9
D:\HD EXTERNO Mário\01_Fotos da câmera\Formatura da Estela_01\DSC08160.JPG,D:\MÍDIA\2009\2009-12\2009-12-20 01.32.55 [1461a1ce].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2009-12-20 01.32.55 [1461a1ce].jpg,tv_gravacao,0.86
D:\HD EXTERNO Mário\01_Fotos da câmera\Fotos do celular\Celular Ana\01_Fotos da Ana\CAM02336.jpg,D:\MÍDIA\2015\2015-05\2015-05-06 21.31.56 [40755ca7].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2015-05-06 21.31.56 [40755ca7].jpg,tv_gravacao,0.95
