"Acao","De","Para"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Contrato de honorários advocatícios 13,23% - 4% - Maria Luiza Botelho.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Contrato de honorários advocatícios 13,23% - 4% - Maria Luiza Botelho.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Contrato de honorários advocatícios 13,23% e 4% - Maria Luiza Botelho x Maurício.docx","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Contrato de honorários advocatícios 13,23% e 4% - Maria Luiza Botelho x Maurício.docx"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Cálculos - parecer - cumprimento de sentença 13,23% - proc. 1072236-78.2022.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Cálculos - parecer - cumprimento de sentença 13,23% - proc. 1072236-78.2022.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Cálculos da contadoria - 13,23% - Cumprimento de Sentença 1072236-78.2022 - 22ª Vara DF.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Cálculos da contadoria - 13,23% - Cumprimento de Sentença 1072236-78.2022 - 22ª Vara DF.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Cálculos de memória - Processo 1072236-78.2022.4.01.3400.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Cálculos de memória - Processo 1072236-78.2022.4.01.3400.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Decisão Ação Rescisória 1028483-57.2020.4.01.0000 - TRF1 - quintos e décimos.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Decisão Ação Rescisória 1028483-57.2020.4.01.0000 - TRF1 - quintos e décimos.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Declaração de hipossuficiência - gratuidade da justiça - Maurício.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Declaração de hipossuficiência - gratuidade da justiça - Maurício.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\FF 2021 - Ficha Financeira TSE - Maurício Chiaramonte mat. 30901546.pdf.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\FF 2021 - Ficha Financeira TSE - Maurício Chiaramonte mat. 30901546.pdf.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\FF's 2016-2022 - condutas vedadas a agentes públicos (publicidade institucional).pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\FF's 2016-2022 - condutas vedadas a agentes públicos (publicidade institucional).pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Ficha Financeira 2022 - TSE - Maurício - 2022-10-06.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Ficha Financeira 2022 - TSE - Maurício - 2022-10-06.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Ficha Financeira TSE 2016 - Maurício (matrícula 30901546).pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Ficha Financeira TSE 2016 - Maurício (matrícula 30901546).pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Ficha Financeira TSE 2017 - Maurício - matrícula 30901546.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Ficha Financeira TSE 2017 - Maurício - matrícula 30901546.pdf"
"Mover","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%\Ficha Financeira TSE 2019 - Maurício - matrícula 30901546.pdf","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%\Ficha Financeira TSE 2019 - Maurício - matrícula 30901546.pdf"
