"ID","Nome (Artigo)","Texto do Artigo"
"12","Art. 3º, §2º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 3º, §2º

Art. 3º. O candidato diplomado Deputado Federal deverá apresentar à Mesa, pessoalmente ou por intermédio do seu Partido, até o dia 31 de janeiro do ano de instalação de cada legislatura, o diploma expedido pela Justiça Eleitoral, juntamente com a comunicação de seu nome parlamentar, legenda partidária e unidade da Federação de que proceda a representação.
§2º Caberá à Secretaria-Geral da Mesa organizar a relação dos Deputados diplomados, que deverá estar concluída antes da instalação da sessão de posse."
"13","Art. 3º, §3º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 3º, §3º

Art. 3º. O candidato diplomado Deputado Federal deverá apresentar à Mesa, pessoalmente ou por intermédio do seu Partido, até o dia 31 de janeiro do ano de instalação de cada legislatura, o diploma expedido pela Justiça Eleitoral, juntamente com a comunicação de seu nome parlamentar, legenda partidária e unidade da Federação de que proceda a representação.
§3º A relação será feita por Estado, Distrito Federal e Territórios, de norte a sul, na ordem geográfica das capitais e, em cada unidade federativa, na sucessão alfabética dos nomes parlamentares, com as respectivas legendas partidárias."
"14","Art. 4º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 4º

Art. 4º. No dia 1º de fevereiro do primeiro ano de cada legislatura, os candidatos diplomados Deputados Federais reunir-se-ão em sessão preparatória, na sede da Câmara dos Deputados. (“Caput” do artigo com redação dada pela Resolução nº 19, de 2012)"
"15","Art. 4º, §1º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 4º, §1º

Art. 4º. No dia 1º de fevereiro do primeiro ano de cada legislatura, os candidatos diplomados Deputados Federais reunir-se-ão em sessão preparatória, na sede da Câmara dos Deputados. (“Caput” do artigo com redação dada pela Resolução nº 19, de 2012)
§1º Assumirá a direção dos trabalhos o último Presidente, se reeleito Deputado, e, na sua falta, o Deputado mais idoso, dentre os de maior número de legislaturas."
"16","Art. 4º, §2º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 4º, §2º

Art. 4º. No dia 1º de fevereiro do primeiro ano de cada legislatura, os candidatos diplomados Deputados Federais reunir-se-ão em sessão preparatória, na sede da Câmara dos Deputados. (“Caput” do artigo com redação dada pela Resolução nº 19, de 2012)
§2º Aberta a sessão, o Presidente convidará quatro Deputados, de preferência de Partidos diferentes, para servirem de Secretários e proclamará os nomes dos Deputados diplomados, constantes da relação a que se refere o artigo anterior."
"17","Art. 4º, §3º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 4º, §3º

Art. 4º. No dia 1º de fevereiro do primeiro ano de cada legislatura, os candidatos diplomados Deputados Federais reunir-se-ão em sessão preparatória, na sede da Câmara dos Deputados. (“Caput” do artigo com redação dada pela Resolução nº 19, de 2012)
§3º Examinadas e decididas pelo Presidente as reclamações atinentes à relação nominal dos Deputados, será tomado o compromisso solene dos empossados. De pé todos os presentes, o Presidente proferirá a seguinte declaração: ""Prometo manter, defender e cumprir a Constituição, observar as leis, promover o bem geral do povo brasileiro e sustentar a união, a integridade e a independência do Brasil"". Ato contínuo, feita a chamada, cada Deputado, de pé, a ratificará dizendo: ""Assim o prometo"", permanecendo os demais Deputados sentados e em silêncio."
"18","Art. 4º, §4º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 4º, §4º

Art. 4º. No dia 1º de fevereiro do primeiro ano de cada legislatura, os candidatos diplomados Deputados Federais reunir-se-ão em sessão preparatória, na sede da Câmara dos Deputados. (“Caput” do artigo com redação dada pela Resolução nº 19, de 2012)
§4º O conteúdo do compromisso e o ritual de sua prestação não poderão ser modificados; o compromissando não poderá apresentar, no ato, declaração oral ou escrita nem ser empossado através de procurador."
"19","Art. 4º, §5º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 4º, §5º

Art. 4º. No dia 1º de fevereiro do primeiro ano de cada legislatura, os candidatos diplomados Deputados Federais reunir-se-ão em sessão preparatória, na sede da Câmara dos Deputados. (“Caput” do artigo com redação dada pela Resolução nº 19, de 2012)
§5º O Deputado empossado posteriormente prestará o compromisso em sessão e junto à Mesa, exceto durante período de recesso do Congresso Nacional, quando o fará perante o Presidente."
"20","Art. 4º, §6º","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 4º, §6º

Art. 4º. No dia 1º de fevereiro do primeiro ano de cada legislatura, os candidatos diplomados Deputados Federais reunir-se-ão em sessão preparatória, na sede da Câmara dos Deputados. (“Caput” do artigo com redação dada pela Resolução nº 19, de 2012)
§6º Salvo motivo de força maior ou enfermidade devidamente comprovados, a posse dar-se-á no prazo de trinta dias, prorrogável por igual período a requerimento do interessado, contado:"
"21","Art. 4º, §6º, I","Documento: Regimento Interno da Câmara dos Deputados
Hierarquia: TÍTULO I - DISPOSIÇÕES PRELIMINARES > CAPÍTULO III - DAS SESSÕES PREPARATÓRIAS > SEÇÃO I - Da Posse dos Deputados
Dispositivo: Art. 4º, §6º, I

Art. 4º. No dia 1º de fevereiro do primeiro ano de cada legislatura, os candidatos diplomados Deputados Federais reunir-se-ão em sessão preparatória, na sede da Câmara dos Deputados. (“Caput” do artigo com redação dada pela Resolução nº 19, de 2012)
§6º Salvo motivo de força maior ou enfermidade devidamente comprovados, a posse dar-se-á no prazo de trinta dias, prorrogável por igual período a requerimento do interessado, contado:
I - da primeira sessão preparatória para instalação da primeira sessão legislativa da legislatura;"
