page_id,numeroUnico,old_resultado,new_resultado,status
32872195-5c64-81b2-9ca9-db2a05cacd01,0600017-70.2026.6.00.0000,monocrática,"monocrática,não conhecido",updated
32872195-5c64-81b3-bde9-f056a4e7c906,0600255-41.2024.6.05.0123,unânime,monocrática,updated
32872195-5c64-81b7-84e5-c7e27fe25863,0601261-68.2025.6.00.0000,por maioria,monocrática,updated
32872195-5c64-81b8-b915-c5ba30075797,0600220-50.2024.6.06.0092,unânime,monocrática,updated
32872195-5c64-81b8-bb53-eed25face796,0600334-56.2023.6.15.0000,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-81ba-844f-f319a366d5dc,0600354-26.2024.6.26.0220,unânime,monocrática,updated
32872195-5c64-81ba-b73d-d8db1167234d,0000805-61.2011.6.00.0000,unânime,monocrática,updated
32872195-5c64-81bc-acd6-f1b2d600220e,0001554-73.2014.6.00.0000,unânime,monocrática,updated
32872195-5c64-81bd-bdf1-f9a9bcdf8061,0600397-61.2024.6.15.0060,unânime,monocrática,updated
32872195-5c64-81bf-8804-e10ba699f57e,0603443-85.2022.6.16.0000,unânime,monocrática,updated
32872195-5c64-81c0-9f37-f494dacf26b3,0600507-21.2024.6.17.0055,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-81c1-8af9-c54b6d446a69,0600186-90.2025.6.18.0000,unânime,monocrática,updated
32872195-5c64-81c1-a185-ded9a90ba8a3,0600663-97.2024.6.13.0288,"por maioria,não conhecido","monocrática,não conhecido",updated
32872195-5c64-81c2-8c98-faaed7e04fcf,0600001-85.2025.6.06.0000,por maioria,monocrática,updated
32872195-5c64-81c4-b188-c243993f2bcf,0600084-81.2024.6.14.0043,unânime,monocrática,updated
32872195-5c64-81c5-9cf9-d472bd38b8c2,0600063-43.2024.6.08.0053,unânime,monocrática,updated
32872195-5c64-81c7-94b4-c628817ae74f,0600307-16.2025.6.11.0000,unânime,monocrática,updated
32872195-5c64-81c7-9873-c8b1453b8c45,0600587-37.2024.6.26.0183,unânime,monocrática,updated
32872195-5c64-81c9-b1ea-e19c17cb0db3,0600311-21.2025.6.05.0000,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-81ca-8869-c9ecd18fc269,0000241-14.2013.6.00.0000,unânime,monocrática,updated
32872195-5c64-81ca-8e11-dae3480b5571,0600001-22.2025.6.05.0030,unânime,monocrática,updated
