page_id,numeroUnico,status,old_count,new_count,error
32872195-5c64-8124-b6e6-fea5c2eeb38d,0600181-94.2024.6.11.0001,ok,1,2,
32872195-5c64-8139-8822-c195566fce0c,0601367-78.2022.6.02.0000,ok,1,3,
32872195-5c64-811a-bc6e-d7ddaca77fbf,0600205-33.2024.6.02.0047,ok,1,2,
32872195-5c64-81b7-b094-d078be42e118,0600468-37.2024.6.26.0002,ok,0,1,
32872195-5c64-817e-886a-efb243dce4d4,0600156-12.2024.6.10.0033,ok,0,2,
32872195-5c64-812c-b717-dc16b66b95be,0600380-71.2024.6.26.0269,ok,1,3,
32872195-5c64-811d-9dd6-c42fc7c9ae60,0600140-35.2023.6.26.0005,ok,1,3,
32872195-5c64-8175-86e0-f55ec42294a0,0600789-28.2020.6.08.0030,ok,1,3,
32872195-5c64-815d-888d-de9204bc381b,0600561-97.2024.6.26.0002,ok,0,2,
32872195-5c64-8184-a79e-fa3d1f1847bb,0600295-18.2020.6.09.0134,ok,0,1,
32872195-5c64-81b9-8012-e81d4fa3a1bb,0600371-71.2024.6.26.0217,ok,0,3,
32872195-5c64-81c7-b242-f6cf0ee9475e,0600225-50.2024.6.12.0013,ok,0,5,
32872195-5c64-81b2-b619-c634df8a1ac2,0600303-44.2024.6.12.0013,ok,0,3,
32872195-5c64-81b9-8cf9-d5431d566d46,0607445-22.2022.6.26.0000,ok,0,3,
32872195-5c64-81bd-8179-f7904b189b7d,0600432-62.2024.6.16.0199,ok,0,1,
32872195-5c64-8112-b636-c6ffaf965b4e,0600394-34.2024.6.02.0007,ok,0,2,
32872195-5c64-814f-9aec-c1607c51cd77,0600207-47.2024.6.14.0086,ok,0,11,
32872195-5c64-8126-86b3-d88acc689a1b,0606285-59.2022.6.26.0000,ok,0,5,
32872195-5c64-8186-ba5f-eb6d1335d5e5,0600262-73.2024.6.06.0036,ok,0,8,
32872195-5c64-8174-b7ea-f1da0cc587dd,0600693-95.2024.6.20.0011,ok,0,1,
32872195-5c64-8149-91e5-ee4bf1187ef2,0600376-20.2026.6.00.0000,ok,0,1,
32872195-5c64-813c-91eb-d4e81388cafd,0600534-12.2024.6.21.0081,ok,0,1,
