item_before,item_after,action,occurrences
Lei nº 9.605/1998 art 48,Lei nº 9.605/1998 art. 48,normalized,3
Lei nº 9.605/1998 art 70,Lei nº 9.605/1998 art. 70,normalized,3
Lei nº 9.605/1998 artigo 29,Lei nº 9.605/1998 art. 29,normalized,3
Lei nº 9.717/1998,Lei nº 9.717/1998,unchanged,3
Lei nº 9.782 1999,Lei nº 9.782/1999,normalized,3
Lei nº 9.784/1999 Art 50,Lei nº 9.784/1999 art. 50,normalized,3
Lei nº 9.784/1999 art. 54,Lei nº 9.784/1999 art. 54,unchanged,3
Lei nº 9.784/1999 artigo 5,Lei nº 9.784/1999 art. 5º,normalized,3
Lei nº 9.847 1999,Lei nº 9.847/1999,normalized,3
Lei nº 9.933/1999,Lei nº 9.933/1999,unchanged,3
Lei nº 9.985 2000,Lei nº 9.985/2000,normalized,3
MP 2165 36 2001,MP nº 2165 36 2001,normalized,3
MP 792 2017,MP nº 792/2017,normalized,3
MP 908 2019,MP nº 908/2019,normalized,3
Portaria Conjunta Capes CNPq 1 2010,Portaria Conjunta Capes CNPq 1 2010,unchanged,3
Portaria Conjunta PGFN RFB 06 2009,Portaria Conjunta PGFN RFB 06 2009,unchanged,3
Portaria MTE 3.714/2023,Portaria MTE 3.714/2023,unchanged,3
RDC 67 2007,RDC 67 2007,unchanged,3
RITRF 1ª Região art 8º § 3º I,RITRF 1ª Região art. 8º § 3º inc. I,normalized,3
RITRF 1ª Região art 8º § 3º VII,RITRF 1ª Região art. 8º § 3º inc. VII,normalized,3
Resolução ANTT 4.777/2015,Resolução ANTT 4.777/2015,unchanged,3
Resolução CNJ 547 2024,Resolução CNJ 547 2024,unchanged,3
Resolução Codefat 467 2005,Resolução Codefat 467 2005,unchanged,3
Resolução Normativa 124/2006,Resolução Normativa 124/2006,unchanged,3
Súmula Vinculante 37,Súmula Vinculante 37,unchanged,3
ADCT art 53 II,ADCT art. 53 inc. II,normalized,2
ADCT art 58,ADCT art. 58,normalized,2
ADCT art 67,ADCT art. 67,normalized,2
ADCT art 8º,ADCT art. 8º,normalized,2
Art 3º da EC 47 2005,art. 3º da EC 47/2005,normalized,2
CC art 108,CC art. 108,normalized,2
CC art 167,CC art. 167,normalized,2
CC art 186,CC art. 186,normalized,2
CC art 187,CC art. 187,normalized,2
CC art 275,CC art. 275,normalized,2
CC art 422,CC art. 422,normalized,2
CC art 935,CC art. 935,normalized,2
CDC Código de Defesa do Consumidor,,drop_generic_or_invalid,2
CDC art 14 § 3º,CDC art. 14 § 3º,normalized,2
CDC art 51,CDC art. 51,normalized,2
CDC art 55 § 1º,CDC art. 55 § 1º,normalized,2
CDC art 56,CDC art. 56,normalized,2
CDC art 6,CDC art. 6º,normalized,2
CF 88 art 37,CF/88 art. 37,normalized,2
CF/88 225,,drop_generic_or_invalid,2
CF/88 Art 149 § 2º III a,CF/88 art. 149 § 2º inc. III al. a,normalized,2
CF/88 Art 150 VI d,CF/88 art. 150 inc. VI al. d,normalized,2
CF/88 Art 184,CF/88 art. 184,normalized,2
CF/88 Art 226 § 3º,CF/88 art. 226 § 3º,normalized,2
CF/88 Art 40 §3º,CF/88 art. 40 § 3º,normalized,2
CF/88 Art 5 inciso XI,CF/88 art. 5º inc. XI,normalized,2
CF/88 Art 53,CF/88 art. 53,normalized,2
CF/88 Art 5º I,CF/88 art. 5º I,normalized,2
CF/88 Art 5º § 3º,CF/88 art. 5º § 3º,normalized,2
CF/88 Art 7º IV,CF/88 art. 7º IV,normalized,2
CF/88 Art 7º XVII,CF/88 art. 7º XVII,normalized,2
CF/88 Art 8 III,CF/88 art. 8º inc. III,normalized,2
CF/88 Art. 37 XVI,CF/88 art. 37 inc. XVI,normalized,2
CF/88 Art. 40 § 16,CF/88 art. 40 § 16,normalized,2
CF/88 ampla defesa,,drop_generic_or_invalid,2
CF/88 art 105 I b,CF/88 art. 105 inc. I al. b,normalized,2
CF/88 art 109 III,CF/88 art. 109 inc. III,normalized,2
CF/88 art 109 XI,CF/88 art. 109 inc. XI,normalized,2
CF/88 art 109 inciso V,CF/88 art. 109 inc. V,normalized,2
CF/88 art 109 parágrafo 3º,CF/88 art. 109 § 3º,normalized,2
CF/88 art 114,CF/88 art. 114,normalized,2
CF/88 art 12 inciso I alínea c,CF/88 art. 12 inc. I al. c,normalized,2
CF/88 art 129 § 4º,CF/88 art. 129 § 4º,normalized,2
CF/88 art 142 §3º II,CF/88 art. 142 § 3º inc. II,normalized,2
CF/88 art 144 § 6º,CF/88 art. 144 § 6º,normalized,2
CF/88 art 146 III b,CF/88 art. 146 inc. III al. b,normalized,2
CF/88 art 150 III b,CF/88 art. 150 inc. III al. b,normalized,2
CF/88 art 150 §6º,CF/88 art. 150 § 6º,normalized,2
CF/88 art 167 IV,CF/88 art. 167 inc. IV,normalized,2
CF/88 art 176,CF/88 art. 176,normalized,2
CF/88 art 183 § 3º,CF/88 art. 183 § 3º,normalized,2
CF/88 art 19 inciso III,CF/88 art. 19 inc. III,normalized,2
CF/88 art 193,CF/88 art. 193,normalized,2
CF/88 art 194,CF/88 art. 194,normalized,2
CF/88 art 195,CF/88 art. 195,normalized,2
CF/88 art 195 § 6º,CF/88 art. 195 § 6º,normalized,2
CF/88 art 198,CF/88 art. 198,normalized,2
CF/88 art 20 § 1º,CF/88 art. 20 § 1º,normalized,2
CF/88 art 202 § 3º,CF/88 art. 202 § 3º,normalized,2
CF/88 art 206 VIII,CF/88 art. 206 inc. VIII,normalized,2
CF/88 art 208 IV,CF/88 art. 208 inc. IV,normalized,2
CF/88 art 21,CF/88 art. 21,normalized,2
CF/88 art 21 inciso X,CF/88 art. 21 inc. X,normalized,2
CF/88 art 216 II,CF/88 art. 216 inc. II,normalized,2
CF/88 art 217,CF/88 art. 217,normalized,2
CF/88 art 225 § 3º,CF/88 art. 225 § 3º,normalized,2
CF/88 art 23,CF/88 art. 23,normalized,2
CF/88 art 23 II,CF/88 art. 23 inc. II,normalized,2
CF/88 art 231 § 6º,CF/88 art. 231 § 6º,normalized,2
CF/88 art 24 inciso XII,CF/88 art. 24 inc. XII,normalized,2
CF/88 art 29 X,CF/88 art. 29 inc. X,normalized,2
CF/88 art 37 XVII,CF/88 art. 37 inc. XVII,normalized,2
CF/88 art 37 inciso XVI,CF/88 art. 37 inc. XVI,normalized,2
CF/88 art 37 parágrafo 6º,CF/88 art. 37 § 6º,normalized,2
CF/88 art 37 § 4º,CF/88 art. 37 § 4º,normalized,2
CF/88 art 37 §10,CF/88 art. 37 § 10,normalized,2
CF/88 art 37 §3º,CF/88 art. 37 § 3º,normalized,2
CF/88 art 37 §4º,CF/88 art. 37 § 4º,normalized,2
CF/88 art 38 III,CF/88 art. 38 inc. III,normalized,2
CF/88 art 40 §1º inciso II,CF/88 art. 40 § 1º inc. II,normalized,2
CF/88 art 40 §5º,CF/88 art. 40 § 5º,normalized,2
CF/88 art 5 XIII,CF/88 art. 5º inc. XIII,normalized,2
CF/88 art 5 inciso LXXV,CF/88 art. 5º inc. LXXV,normalized,2
CF/88 art 5o,CF/88 art. 5º,normalized,2
CF/88 art 5º LVIII,CF/88 art. 5º LVIII,normalized,2
CF/88 art 5º LXVIII,CF/88 art. 5º LXVIII,normalized,2
CF/88 art 5º V,CF/88 art. 5º V,normalized,2
CF/88 art 5º XI,CF/88 art. 5º XI,normalized,2
CF/88 art 5º XII,CF/88 art. 5º XII,normalized,2
CF/88 art 5º XIV,CF/88 art. 5º XIV,normalized,2
CF/88 art 5º XXXIV a,CF/88 art. 5º XXXIV a,normalized,2
CF/88 art 5º inciso XIII,CF/88 art. 5º inc. XIII,normalized,2
CF/88 art 5º inciso XXXVI,CF/88 art. 5º inc. XXXVI,normalized,2
CF/88 art 7 IV,CF/88 art. 7º inc. IV,normalized,2
CF/88 art 7 inciso XVIII,CF/88 art. 7º inc. XVIII,normalized,2
CF/88 art 71,CF/88 art. 71,normalized,2
CF/88 art 7º,CF/88 art. 7º,normalized,2
CF/88 art 7º XXV,CF/88 art. 7º XXV,normalized,2
CF/88 art 7º inciso XVIII,CF/88 art. 7º inc. XVIII,normalized,2
CF/88 art 8,CF/88 art. 8º,normalized,2
CF/88 art 84 XII,CF/88 art. 84 inc. XII,normalized,2
CF/88 art 96 II b,CF/88 art. 96 inc. II al. b,normalized,2
CF/88 art 98,CF/88 art. 98,normalized,2
CF/88 art. 12 I c,CF/88 art. 12 inc. I al. c,normalized,2
CF/88 art. 150 III b,CF/88 art. 150 inc. III al. b,normalized,2
CF/88 art. 183 § 3º,CF/88 art. 183 § 3º,unchanged,2
CF/88 art. 203 V,CF/88 art. 203 inc. V,normalized,2
CF/88 art. 225 §1º VII,CF/88 art. 225 § 1º inc. VII,normalized,2
CF/88 art. 2º,CF/88 art. 2º,unchanged,2
CF/88 art. 37 caput,CF/88 art. 37 caput,unchanged,2
CF/88 art. 40 § 8º,CF/88 art. 40 § 8º,unchanged,2
CF/88 art. 5º II,CF/88 art. 5º II,unchanged,2
CF/88 art. 5º LVII,CF/88 art. 5º LVII,unchanged,2
CF/88 art. 5º LXXVIII,CF/88 art. 5º LXXVIII,unchanged,2
CF/88 art. 5º V,CF/88 art. 5º V,unchanged,2
CF/88 art. 5º X,CF/88 art. 5º X,unchanged,2
CF/88 art. 5º XII,CF/88 art. 5º XII,unchanged,2
CF/88 art. 5º XLVII b,CF/88 art. 5º XLVII b,unchanged,2
CF/88 art. 5º XXXIII,CF/88 art. 5º XXXIII,unchanged,2
CF/88 art. 5º inciso XXXVI,CF/88 art. 5º inc. XXXVI,normalized,2
CF/88 art. 95 II,CF/88 art. 95 inc. II,normalized,2
CF/88 artigo 1,CF/88 art. 1º,normalized,2
CF/88 artigo 114,CF/88 art. 114,normalized,2
CF/88 artigo 129,CF/88 art. 129,normalized,2
CF/88 artigo 142,CF/88 art. 142,normalized,2
CF/88 artigo 150 inciso VI alinea a,CF/88 art. 150 inc. VI al. a,normalized,2
CF/88 artigo 150 inciso VI alinea b,CF/88 art. 150 inc. VI al. b,normalized,2
CF/88 artigo 167,CF/88 art. 167,normalized,2
CF/88 artigo 194,CF/88 art. 194,normalized,2
CF/88 artigo 1o,CF/88 art. 1º,normalized,2
CF/88 artigo 227,CF/88 art. 227,normalized,2
CF/88 artigo 229,CF/88 art. 229,normalized,2
CF/88 artigo 23,CF/88 art. 23,normalized,2
CF/88 artigo 3,CF/88 art. 3º,normalized,2
CF/88 artigo 37 inciso XVI,CF/88 art. 37 inc. XVI,normalized,2
CF/88 artigo 40,CF/88 art. 40,normalized,2
CF/88 artigo 5 inciso LIV,CF/88 art. 5º inc. LIV,normalized,2
CF/88 artigo 5 inciso LVII,CF/88 art. 5º inc. LVII,normalized,2
CF/88 artigo 5 inciso XLV,CF/88 art. 5º inc. XLV,normalized,2
CF/88 artigo 5 inciso XXXV,CF/88 art. 5º inc. XXXV,normalized,2
CF/88 artigo 7º,CF/88 art. 7º,normalized,2
CF/88 devido processo legal,,drop_generic_or_invalid,2
CF/88 direito de petição,,drop_generic_or_invalid,2
CLT Consolidação das Leis do Trabalho,,drop_generic_or_invalid,2
CLT art 193 § 1º,CLT art. 193 § 1º,normalized,2
CNIS,CNIS,unchanged,2
CNJ Resolução 547 2024,CNJ Resolução 547 2024,unchanged,2
CP 1,,drop_generic_or_invalid,2
CP Art 121,CP art. 121,normalized,2
CP Art 16,CP art. 16,normalized,2
CP Art 205,CP art. 205,normalized,2
CP Art 213,CP art. 213,normalized,2
CP Art 273 § 1º B I,CP art. 273 § 1º B I,normalized,2
CP Art 289 § 1°,CP art. 289 § 1°,normalized,2
CP Art 337 A I,CP art. 337-A I,normalized,2
CP Art 337 A III,CP art. 337-A III,normalized,2
CP art 109 V,CP art. 109 inc. V,normalized,2
CP art 111 III,CP art. 111 inc. III,normalized,2
CP art 115,CP art. 115,normalized,2
CP art 139,CP art. 139,normalized,2
CP art 14,CP art. 14,normalized,2
CP art 140 § 3º,CP art. 140 § 3º,normalized,2
CP art 141 II,CP art. 141 inc. II,normalized,2
CP art 147,CP art. 147,normalized,2
CP art 155 § 4º I,CP art. 155 § 4º inc. I,normalized,2
CP art 157 § 2º III,CP art. 157 § 2º inc. III,normalized,2
CP art 157 §2º I,CP art. 157 § 2º inc. I,normalized,2
CP art 157 §2º II,CP art. 157 § 2º inc. II,normalized,2
CP art 168,CP art. 168,normalized,2
CP art 232 A,CP art. 232-A,normalized,2
CP art 29 §1º,CP art. 29 § 1º,normalized,2
CP art 299 caput,CP art. 299 caput,normalized,2
CP art 30,CP art. 30,normalized,2
CP art 319,CP art. 319,normalized,2
CP art 327 caput,CP art. 327 caput,normalized,2
CP art 327 § 2º,CP art. 327 § 2º,normalized,2
CP art 329,CP art. 329,normalized,2
CP art 33 § 2º,CP art. 33 § 2º,normalized,2
CP art 330,CP art. 330,normalized,2
CP art 334 A § 1º II,CP art. 334-A § 1º inc. II,normalized,2
CP art 337 A,CP art. 337-A,normalized,2
CP art 356,CP art. 356,normalized,2
CP art 91 II b,CP art. 91 inc. II al. b,normalized,2
CP art 91 inciso II,CP art. 91 inc. II,normalized,2
CP art. 59,CP art. 59,unchanged,2
CP artigo 117 inciso IV,CP art. 117 inc. IV,normalized,2
CP artigo 129,CP art. 129,normalized,2
CP artigo 13,CP art. 13,normalized,2
CP artigo 138,CP art. 138,normalized,2
CP artigo 14,CP art. 14,normalized,2
CP artigo 150,CP art. 150,normalized,2
CP artigo 168,CP art. 168,normalized,2
CP artigo 187,CP art. 187,normalized,2
CP artigo 231,CP art. 231,normalized,2
CP artigo 289,CP art. 289,normalized,2
CP artigo 7,CP art. 7º,normalized,2
CP artigo 884,CP art. 884,normalized,2
CPC 1973 art 485 V,CPC/1973 art. 485-V,normalized,2
CPC 2015 art 373 I,CPC/2015 art. 373 inc. I,normalized,2
CPC/1973 art 20 §4º,CPC/1973 art. 20 § 4º,normalized,2
CPC/1973 art 333 II,CPC/1973 art. 333 inc. II,normalized,2
CPC/1973 art 543-C,CPC/1973 art. 543-C,normalized,2
CPC/1973 art 585 II,CPC/1973 art. 585 inc. II,normalized,2
CPC/1973 art 620,CPC/1973 art. 620,normalized,2
CPC/1973 art 649 IV,CPC/1973 art. 649 inc. IV,normalized,2
CPC/1973 art 655,CPC/1973 art. 655,normalized,2
CPC/1973 art. 333,CPC/1973 art. 333,unchanged,2
CPC/1973 art. 485 V,CPC/1973 art. 485-V,normalized,2
CPC/2015 489,,drop_generic_or_invalid,2
CPC/2015 535,,drop_generic_or_invalid,2
CPC/2015 Art 1013 §3º,CPC/2015 art. 1013 § 3º,normalized,2
CPC/2015 Art 202,CPC/2015 art. 202,normalized,2
CPC/2015 Art 331,CPC/2015 art. 331,normalized,2
CPC/2015 Art 369,CPC/2015 art. 369,normalized,2
CPC/2015 Art 99,CPC/2015 art. 99,normalized,2
CPC/2015 Article 300,CPC/2015 art. 300,normalized,2
CPC/2015 Article 927,CPC/2015 art. 927,normalized,2
CPC/2015 Artigo 337,CPC/2015 art. 337,normalized,2
CPC/2015 art 1013 § 4º,CPC/2015 art. 1013 § 4º,normalized,2
CPC/2015 art 1039,CPC/2015 art. 1039,normalized,2
CPC/2015 art 104,CPC/2015 art. 104,normalized,2
CPC/2015 art 115 I,CPC/2015 art. 115 inc. I,normalized,2
CPC/2015 art 133,CPC/2015 art. 133,normalized,2
CPC/2015 art 139 IV,CPC/2015 art. 139 inc. IV,normalized,2
CPC/2015 art 144 VII,CPC/2015 art. 144 inc. VII,normalized,2
CPC/2015 art 18,CPC/2015 art. 18,normalized,2
CPC/2015 art 239,CPC/2015 art. 239,normalized,2
CPC/2015 art 272,CPC/2015 art. 272,normalized,2
CPC/2015 art 292 § 2º,CPC/2015 art. 292 § 2º,normalized,2
CPC/2015 art 2º,CPC/2015 art. 2º,normalized,2
CPC/2015 art 322 § 2º,CPC/2015 art. 322 § 2º,normalized,2
CPC/2015 art 333,CPC/2015 art. 333,normalized,2
CPC/2015 art 434,CPC/2015 art. 434,normalized,2
CPC/2015 art 473 § 2º,CPC/2015 art. 473 § 2º,normalized,2
CPC/2015 art 485 II,CPC/2015 art. 485 inc. II,normalized,2
CPC/2015 art 485 IV,CPC/2015 art. 485 inc. IV,normalized,2
CPC/2015 art 487 III a,CPC/2015 art. 487 inc. III al. a,normalized,2
CPC/2015 art 4º,CPC/2015 art. 4º,normalized,2
CPC/2015 art 505 I,CPC/2015 art. 505-I,normalized,2
CPC/2015 art 516 inciso II,CPC/2015 art. 516 inc. II,normalized,2
CPC/2015 art 516 parágrafo único,CPC/2015 art. 516 § único,normalized,2
CPC/2015 art 523,CPC/2015 art. 523,normalized,2
CPC/2015 art 535 § 3º I,CPC/2015 art. 535 § 3º inc. I,normalized,2
CPC/2015 art 535 § 8º,CPC/2015 art. 535 § 8º,normalized,2
CPC/2015 art 536,CPC/2015 art. 536,normalized,2
CPC/2015 art 55 §3º,CPC/2015 art. 55 § 3º,normalized,2
CPC/2015 art 620,CPC/2015 art. 620,normalized,2
CPC/2015 art 63,CPC/2015 art. 63,normalized,2
CPC/2015 art 674 § 1º,CPC/2015 art. 674 § 1º,normalized,2
CPC/2015 art 77,CPC/2015 art. 77,normalized,2
CPC/2015 art 781 V,CPC/2015 art. 781-V,normalized,2
CPC/2015 art 783,CPC/2015 art. 783,normalized,2
CPC/2015 art 784,CPC/2015 art. 784,normalized,2
CPC/2015 art 792 IV,CPC/2015 art. 792 inc. IV,normalized,2
CPC/2015 art 80 II,CPC/2015 art. 80 inc. II,normalized,2
CPC/2015 art 833 inciso X,CPC/2015 art. 833 inc. X,normalized,2
CPC/2015 art 835,CPC/2015 art. 835,normalized,2
CPC/2015 art 835 §2º,CPC/2015 art. 835 § 2º,normalized,2
CPC/2015 art 843,CPC/2015 art. 843,normalized,2
CPC/2015 art 85 § 14,CPC/2015 art. 85 § 14,normalized,2
CPC/2015 art 85 § 2º,CPC/2015 art. 85 § 2º,normalized,2
CPC/2015 art 854,CPC/2015 art. 854,normalized,2
CPC/2015 art 903,CPC/2015 art. 903,normalized,2
CPC/2015 art 926,CPC/2015 art. 926,normalized,2
CPC/2015 art 927 III,CPC/2015 art. 927 inc. III,normalized,2
CPC/2015 art 930,CPC/2015 art. 930,normalized,2
CPC/2015 art 930 parágrafo único,CPC/2015 art. 930 § único,normalized,2
CPC/2015 art 933,CPC/2015 art. 933,normalized,2
CPC/2015 art 942,CPC/2015 art. 942,normalized,2
CPC/2015 art 966 VII,CPC/2015 art. 966 inc. VII,normalized,2
CPC/2015 art 966 inciso V,CPC/2015 art. 966 inc. V,normalized,2
CPC/2015 art 976,CPC/2015 art. 976,normalized,2
CPC/2015 art 978,CPC/2015 art. 978,normalized,2
CPC/2015 art 988,CPC/2015 art. 988,normalized,2
CPC/2015 art. 485 § 3º,CPC/2015 art. 485 § 3º,unchanged,2
CPC/2015 art. 535 § 8º,CPC/2015 art. 535 § 8º,unchanged,2
CPC/2015 art. 833 X,CPC/2015 art. 833-X,normalized,2
CPC/2015 art. 966 VIII,CPC/2015 art. 966 inc. VIII,normalized,2
CPC/2015 artigo 1.015,CPC/2015 art. 1.015,normalized,2
CPC/2015 artigo 1.046,CPC/2015 art. 1.046,normalized,2
CPC/2015 artigo 103,CPC/2015 art. 103,normalized,2
CPC/2015 artigo 104,CPC/2015 art. 104,normalized,2
CPC/2015 artigo 109,CPC/2015 art. 109,normalized,2
CPC/2015 artigo 11,CPC/2015 art. 11,normalized,2
CPC/2015 artigo 110,CPC/2015 art. 110,normalized,2
CPC/2015 artigo 119,CPC/2015 art. 119,normalized,2
CPC/2015 artigo 18,CPC/2015 art. 18,normalized,2
CPC/2015 artigo 218,CPC/2015 art. 218,normalized,2
CPC/2015 artigo 273,CPC/2015 art. 273,normalized,2
CPC/2015 artigo 294,CPC/2015 art. 294,normalized,2
CPC/2015 artigo 297,CPC/2015 art. 297,normalized,2
CPC/2015 artigo 386,CPC/2015 art. 386,normalized,2
CPC/2015 artigo 46,CPC/2015 art. 46,normalized,2
CPC/2015 artigo 465,CPC/2015 art. 465,normalized,2
CPC/2015 artigo 473,CPC/2015 art. 473,normalized,2
CPC/2015 artigo 492,CPC/2015 art. 492,normalized,2
CPC/2015 artigo 493,CPC/2015 art. 493,normalized,2
CPC/2015 artigo 496,CPC/2015 art. 496,normalized,2
CPC/2015 artigo 513,CPC/2015 art. 513,normalized,2
CPC/2015 artigo 523,CPC/2015 art. 523,normalized,2
CPC/2015 artigo 536,CPC/2015 art. 536,normalized,2
CPC/2015 artigo 55,CPC/2015 art. 55,normalized,2
CPC/2015 artigo 6,CPC/2015 art. 6º,normalized,2
CPC/2015 artigo 647,CPC/2015 art. 647,normalized,2
CPC/2015 artigo 66,CPC/2015 art. 66,normalized,2
CPC/2015 artigo 81,CPC/2015 art. 81,normalized,2
CPC/2015 artigo 82,CPC/2015 art. 82,normalized,2
CPC/2015 artigo 917,CPC/2015 art. 917,normalized,2
CPC/2015 artigo 921,CPC/2015 art. 921,normalized,2
CPC/2015 artigo 922,CPC/2015 art. 922,normalized,2
CPC/2015 arts 133 a 137,CPC/2015 art. 133-A 137,normalized,2
CPP 647,,drop_generic_or_invalid,2
CPP Art 28-A § 14,CPP art. 28-A § 14,normalized,2
CPP Art 366,CPP art. 366,normalized,2
CPP Art 386 inciso VII,CPP art. 386 inc. VII,normalized,2
CPP Art 413,CPP art. 413,normalized,2
CPP Art 581,CPP art. 581,normalized,2
CPP art 120 caput,CPP art. 120 caput,normalized,2
CPP art 131 I,CPP art. 131 inc. I,normalized,2
CPP art 156 caput,CPP art. 156 caput,normalized,2
CPP art 158,CPP art. 158,normalized,2
CPP art 167,CPP art. 167,normalized,2
CPP art 186,CPP art. 186,normalized,2
CPP art 210,CPP art. 210,normalized,2
CPP art 259,CPP art. 259,normalized,2
CPP art 282 § 4º,CPP art. 282 § 4º,normalized,2
CPP art 282 § 6º,CPP art. 282 § 6º,normalized,2
CPP art 318,CPP art. 318,normalized,2
CPP art 384,CPP art. 384,normalized,2
CPP art 396,CPP art. 396,normalized,2
CPP art 396 A,CPP art. 396-A,normalized,2
CPP art 3º-A,CPP art. 3º-A,normalized,2
CPP art 400 § 1º,CPP art. 400 § 1º,normalized,2
CPP art 5,CPP art. 5º,normalized,2
CPP art 564 III o,CPP art. 564 inc. III al. o,normalized,2
CPP art 567,CPP art. 567,normalized,2
CPP art 61,CPP art. 61,normalized,2
CPP art 615,CPP art. 615,normalized,2
CPP art 76,CPP art. 76,normalized,2
CPP art 78,CPP art. 78,normalized,2
CPP art 78 I,CPP art. 78 inc. I,normalized,2
CPP art 798,CPP art. 798,normalized,2
CPP art 81,CPP art. 81,normalized,2
CPP art 82,CPP art. 82,normalized,2
CPP art. 265,CPP art. 265,unchanged,2
CPP art. 621 I,CPP art. 621-I,normalized,2
CPP art. 70,CPP art. 70,unchanged,2
CPP art. 93,CPP art. 93,unchanged,2
CPP art. 94,CPP art. 94,unchanged,2
CPP artigo 125,CPP art. 125,normalized,2
CPP artigo 158,CPP art. 158,normalized,2
CPP artigo 231,CPP art. 231,normalized,2
CPP artigo 243,CPP art. 243,normalized,2
CPP artigo 261,CPP art. 261,normalized,2
CPP artigo 28,CPP art. 28,normalized,2
CPP artigo 282 § 2º,CPP art. 282 § 2º,normalized,2
CPP artigo 282 § 4º,CPP art. 282 § 4º,normalized,2
CPP artigo 301,CPP art. 301,normalized,2
CPP artigo 311,CPP art. 311,normalized,2
CPP artigo 322,CPP art. 322,normalized,2
CPP artigo 386,CPP art. 386,normalized,2
CPP artigo 394,CPP art. 394,normalized,2
CPP artigo 396,CPP art. 396,normalized,2
CPP artigo 563,CPP art. 563,normalized,2
CPP artigo 69,CPP art. 69,normalized,2
CPP artigo 91,CPP art. 91,normalized,2
CPP arts 577,CPP art. 577,normalized,2
CPP/2015 art 28 A,CPP/2015 art. 28-A,normalized,2
CPP/2015 art 312,CPP/2015 art. 312,normalized,2
CPP/2015 art 383,CPP/2015 art. 383,normalized,2
CTB 1,,drop_generic_or_invalid,2
CTB Art 1,CTB art. 1º,normalized,2
CTB Art 29,CTB art. 29,normalized,2
CTB art 165,CTB art. 165,normalized,2
CTB art 231 VIII,CTB art. 231 inc. VIII,normalized,2
CTB art 306,CTB art. 306,normalized,2
CTB artigo 230,CTB art. 230,normalized,2
CTB artigo 281,CTB art. 281,normalized,2
CTB not applicable,,drop_generic_or_invalid,2
CTN Art 133,CTN art. 133,normalized,2
CTN art 113,CTN art. 113,normalized,2
CTN art 124,CTN art. 124,normalized,2
CTN art 128,CTN art. 128,normalized,2
CTN art 136,CTN art. 136,normalized,2
CTN art 151 II,CTN art. 151 inc. II,normalized,2
CTN art 151 V,CTN art. 151 inc. V,normalized,2
CTN art 161,CTN art. 161,normalized,2
CTN art 170-A,CTN art. 170-A,normalized,2
CTN art 174,CTN art. 174,normalized,2
CTN art 178,CTN art. 178,normalized,2
CTN art 187,CTN art. 187,normalized,2
CTN art 202,CTN art. 202,normalized,2
CTN art 97,CTN art. 97,normalized,2
CTN art 98,CTN art. 98,normalized,2
CTN art. 14,CTN art. 14,unchanged,2
CTN art. 151,CTN art. 151,unchanged,2
Convenção de Comercialização da CCEE art 17 inciso IV,Convenção de Comercialização da CCEE art. 17 inc. IV,normalized,2
Convenção de Comercialização da CCEE art 47 § 1º,Convenção de Comercialização da CCEE art. 47 § 1º,normalized,2
Convenção de Haia sobre os Aspectos Civis do Sequestro Internacional de Crianças,Convenção de Haia sobre os Aspectos Civis do Sequestro Internacional. de Crianças,normalized,2
Código Civil Art 876,CC art. 876,normalized,2
Código Civil art 1228,CC art. 1228,normalized,2
Código Civil art 884,CC art. 884,normalized,2
Código Civil art 935,CC art. 935,normalized,2
Código Civil artigo 50,CC art. 50,normalized,2
Código Civil artigo 927,CC art. 927,normalized,2
DL 37 1966 art 104,DL nº 37/1966 art. 104,normalized,2
DL 37 1966 art 105 VI,DL nº 37/1966 art. 105 inc. VI,normalized,2
DL 37 1966 art 108 parágrafo único,DL nº 37/1966 art. 108 § único,normalized,2
DL 37 1966 art 95,DL nº 37/1966 art. 95,normalized,2
DL 53.831 1964,DL nº 53.831/1964,normalized,2
DL nº 1.025 1969,DL nº 1.025/1969,normalized,2
DL nº 1512 1976,DL nº 1.512/1976,normalized,2
DL nº 2.172/1997,DL nº 2.172/1997,unchanged,2
DL nº 2.346/1987,DL nº 2.346/1987,unchanged,2
DL nº 20.910/1932 art 1º,DL nº 20.910/1932 art. 1º,normalized,2
DL nº 20931 1932,DL nº 20.931/1932,normalized,2
DL nº 2172 1997,DL nº 2.172/1997,normalized,2
DL nº 3.179/1999,DL nº 3.179/1999,unchanged,2
DL nº 3.365 1941 art 34,DL nº 3.365/1941 art. 34,normalized,2
DL nº 3365 1941 Art 34,DL nº 3.365/1941 art. 34,normalized,2
DL nº 3365/1941,DL nº 3.365/1941,normalized,2
DL nº 509/1969,DL nº 509/1969,unchanged,2
DL nº 53.831/1964,DL nº 53.831/1964,unchanged,2
DL nº 53831 1964,DL nº 53.831/1964,normalized,2
DL nº 59308 1966,DL nº 59.308/1966,normalized,2
DL nº 83.080/1979,DL nº 83.080/1979,unchanged,2
DL nº 83080 1979,DL nº 83.080/1979,normalized,2
DL nº 83080/1979,DL nº 83.080/1979,normalized,2
DL nº 89.056/1983,DL nº 89.056/1983,unchanged,2
DL nº 911/1969,DL nº 911/1969,unchanged,2
DL nº 9760 1946,DL nº 9.760/1946,normalized,2
Decreto 1.499 1995,Decreto nº 1.499/1995,normalized,2
Decreto 1/1991,Decreto nº 1/1991,normalized,2
Decreto 20.910 1932 art 1º,Decreto nº 20.910/1932 art. 1º,normalized,2
Decreto 21.981 1932,Decreto nº 21.981/1932,normalized,2
Decreto 3.048/1999,Decreto nº 3.048/1999,normalized,2
