item_before,item_after,action,occurrences
Lei 8.112/1990,Lei nº 8.112/1990,normalized,11
Lei nº 12.711/2012,Lei nº 12.711/2012,unchanged,11
Lei nº 14.230 2021,Lei nº 14.230/2021,normalized,11
Lei nº 8.112/1990 Artigo 132,Lei nº 8.112/1990 art. 132,normalized,11
Lei nº 8.112/1990 artigo 116,Lei nº 8.112/1990 art. 116,normalized,11
Lei nº 9.605/1998,Lei nº 9.605/1998,unchanged,11
Lei nº 9.784/1999 artigo 2,Lei nº 9.784/1999 art. 2º,normalized,11
ADCT Art 19,ADCT art. 19,normalized,10
CF/88 37,,drop_generic_or_invalid,10
CF/88 Artigo 5º,CF/88 art. 5º,normalized,10
CF/88 art 150,CF/88 art. 150,normalized,10
CF/88 art 231,CF/88 art. 231,normalized,10
CF/88 art 40,CF/88 art. 40,normalized,10
CF/88 artigo 205,CF/88 art. 205,normalized,10
CF/88 artigo 5o,CF/88 art. 5º,normalized,10
CF/88 artigo 6º,CF/88 art. 6º,normalized,10
CPC/2015 Art 1,CPC/2015 art. 1º,normalized,10
Lei nº 10.260/2001,Lei nº 10.260/2001,unchanged,10
Lei nº 11.941/2009,Lei nº 11.941/2009,unchanged,10
Lei nº 13.146/2015,Lei nº 13.146/2015,unchanged,10
Lei nº 13.954/2019,Lei nº 13.954/2019,unchanged,10
Lei nº 6.880/1980,Lei nº 6.880/1980,unchanged,10
Lei nº 8.429/1992 Art 10,Lei nº 8.429/1992 art. 10,normalized,10
Lei nº 8.742/1993 art 20,Lei nº 8.742/1993 art. 20,normalized,10
Lei nº 9.656/1998,Lei nº 9.656/1998,unchanged,10
Lei nº 9.718/1998,Lei nº 9.718/1998,unchanged,10
CF/88 art 109 §2º,CF/88 art. 109 § 2º,normalized,9
CF/88 art 37 XV,CF/88 art. 37 inc. XV,normalized,9
CF/88 art 6º,CF/88 art. 6º,normalized,9
CP Art 149,CP art. 149,normalized,9
CP Art 334 A,CP art. 334-A,normalized,9
CP Artigo 299,CP art. 299,normalized,9
CP artigo 1,CP art. 1º,normalized,9
CP artigo 334,CP art. 334,normalized,9
CPC/1973,,drop_generic_or_invalid,9
CPC/2015 art 10,CPC/2015 art. 10,normalized,9
CPC/2015 art 966 V,CPC/2015 art. 966-V,normalized,9
CPC/2015 artigo 330,CPC/2015 art. 330,normalized,9
CPC/2015 artigo 674,CPC/2015 art. 674,normalized,9
CPP art 118,CPP art. 118,normalized,9
CPP art 226,CPP art. 226,normalized,9
CPP art 621 I,CPP art. 621-I,normalized,9
CPP artigo 310,CPP art. 310,normalized,9
CTN art 135,CTN art. 135,normalized,9
EC 41/2003,EC 41/2003,unchanged,9
Lei nº 10.826/2003,Lei nº 10.826/2003,unchanged,9
Lei nº 12.016/2009,Lei nº 12.016/2009,unchanged,9
Lei nº 12.772/2012,Lei nº 12.772/2012,unchanged,9
Lei nº 3.765/1960,Lei nº 3.765/1960,unchanged,9
Lei nº 4.502/1964,Lei nº 4.502/1964,unchanged,9
Lei nº 7.347/1985,Lei nº 7.347/1985,unchanged,9
Lei nº 8.878/1994,Lei nº 8.878/1994,unchanged,9
Lei nº 9.032 1995,Lei nº 9.032/1995,normalized,9
Lei nº 9.430/1996,Lei nº 9.430/1996,unchanged,9
Lei nº 9.605 1998,Lei nº 9.605/1998,normalized,9
Lei nº 9.605/1998 art 55,Lei nº 9.605/1998 art. 55,normalized,9
Lei nº 9.784/1999 art 54,Lei nº 9.784/1999 art. 54,normalized,9
CF/88 art 109 § 3º,CF/88 art. 109 § 3º,normalized,8
CF/88 art 150 I,CF/88 art. 150 inc. I,normalized,8
CF/88 art 203 V,CF/88 art. 203 inc. V,normalized,8
CF/88 art 37 XIII,CF/88 art. 37 inc. XIII,normalized,8
CF/88 artigo 100,CF/88 art. 100,normalized,8
CF/88 artigo 20,CF/88 art. 20,normalized,8
CPC/1973 art 333 I,CPC/1973 art. 333 inc. I,normalized,8
CPC/2015 art 43,CPC/2015 art. 43,normalized,8
CPC/2015 art 489,CPC/2015 art. 489,normalized,8
