page_id,numero_processo,informativo,classe_before,classe_after,subramo_before,subramo_after,updated_properties,error,page_url
30d72195-5c64-81bd-af38-d4aca39ce2db,0048974-10.2017.4.01.0000,702,,AgInt,"Execução, Processo de Conhecimento",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""702528e9-8b7b-4a71-abeb-67e72a6c4996""}",https://www.notion.so/Revis-o-de-astreintes-e-controv-rsia-sobre-preclus-o-pro-judicato-que-impede-nova-altera-o-de-valor-30d721955c6481bdaf38d4aca39ce2db
30d72195-5c64-81c9-b5a9-ec59c4856bd4,1042957-96.2021.4.01.0000,737,,AgIntAI,"Processo Civil, Processo Tributário",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""c8730f0c-8fcc-4d88-8466-8c59f16d1490""}",https://www.notion.so/Compet-ncia-do-ju-zo-da-execu-o-fiscal-para-determinar-penhora-no-rosto-dos-autos-em-processo-falim-30d721955c6481c9b5a9ec59c4856bd4
30d72195-5c64-81cf-8054-ed4999d8d045,1042883-37.2024.4.01.0000,741,,AgIntMS,"Direito Administrativo Contratual, Direito Administrativo Sancionador",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""5cd93a6f-c82b-45c5-80fa-74242d378dd8""}",https://www.notion.so/Pedido-de-tutela-cautelar-para-corre-o-provis-ria-de-provas-por-servidores-do-n-cleo-de-Corte-Espec-30d721955c6481cf8054ed4999d8d045
30d72195-5c64-81cf-8dc0-c8328eb8633d,1030489-95.2024.4.01.0000,732,,AgInt,"Direito Educacional, Processo Administrativo",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""4fdda26c-68da-41cc-9fb5-3da7f3f64ee0""}",https://www.notion.so/Suspens-o-de-liminar-que-determinou-bloqueio-parcial-de-repasses-do-Fundeb-e-exig-ncia-de-contracaut-30d721955c6481cf8dc0c8328eb8633d
30d72195-5c64-81d5-a03a-f10f148ec616,1029042-72.2024.4.01.0000,717,,PetCrim,"Execução Penal, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""975e12fe-27eb-4021-865f-f2bd8d6776be""}",https://www.notion.so/Pedido-de-atribui-o-de-efeito-suspensivo-e-expedi-o-de-guia-de-execu-o-provis-ria-diante-de-forag-30d721955c6481d5a03af10f148ec616
30d72195-5c64-81d6-856f-f6ab9f3053d1,1043751-15.2024.4.01.0000,735,,MSCrim,"Direito Penal Comum, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""2c26c339-c3df-4780-9de5-fe3f5ed97947""}",https://www.notion.so/Habilita-o-da-v-tima-como-assistente-da-acusa-o-e-preserva-o-de-representa-o-processual-regular--30d721955c6481d6856ff6ab9f3053d1
30d72195-5c64-81d6-b0d8-ec55f077df2a,0004252-41.2015.4.01.3303,754,,EIfNu,Processo Penal,"Processo Penal, Direito Processual Penal","classe, subramo_do_direito","http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""038909aa-d2ed-4e30-8bce-f7d25ed41aa6""}",https://www.notion.so/Embargos-infringentes-admissibilidade-diante-de-julgamento-un-nime-e-controv-rsia-sobre-se-ressalva-30d721955c6481d6b0d8ec55f077df2a
30d72195-5c64-81d7-87fb-f49c11c2eb0e,0014354-93.1999.4.01.3300,760,,EInfNu,"Direito Constitucional Administrativo, Serviços Públicos",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""5bfbe948-2d8e-4d48-a01a-622b3b803708""}",https://www.notion.so/Caracteriza-o-de-necessidade-permanente-por-contrata-es-tempor-rias-reiteradas-e-compet-ncia-judic-30d721955c6481d787fbf49c11c2eb0e
30d72195-5c64-81d8-bf87-f7efcdda6dfc,1003381-23.2018.4.01.4100,619,,AgExPenal,"Execução Penal, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""cdbfce1f-2426-411d-b353-edde03d6be2b""}",https://www.notion.so/Aplica-o-excepcional-do-Regime-Disciplinar-Diferenciado-somente-para-faltas-graves-com-periculosida-30d721955c6481d8bf87f7efcdda6dfc
30d72195-5c64-81de-880b-cb28d1c5569c,1008432-95.2020.4.01.3307,709,,ApRemNec,"Direito Administrativo Sancionador, Direito Tributário",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""6578a792-2800-40be-91e4-0e855bdbf1b9""}",https://www.notion.so/Revoga-o-do-teto-de-vinte-sal-rios-m-nimos-para-contribui-es-parafiscais-destinadas-a-Sesi-Senai--30d721955c6481de880bcb28d1c5569c
30d72195-5c64-81df-8637-d3aaf33bd15b,0003543-44.2018.4.01.4000,756,,EInfNul,Processo Penal,"Processo Penal, Direito Penal Comum","classe, subramo_do_direito","http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""0dc6eded-c93b-4c8a-9783-a3986b06eca3""}",https://www.notion.so/Reconhecimento-fotogr-fico-policial-realizado-sem-observ-ncia-do-art-226-do-CPP-e-invalida-o-da-pr-30d721955c6481df8637d3aaf33bd15b
30d72195-5c64-81e1-b12b-dd3764d0e29a,0002431-83.2012.4.01.3601,767,,EIfNu,"Direito Penal Tributário, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""2cdd2a7f-75e0-40fe-a25b-d115154ce05f""}",https://www.notion.so/Crime-de-descaminho-incid-ncia-do-princ-pio-da-insignific-ncia-frente-reitera-o-delitiva-e-prova-30d721955c6481e1b12bdd3764d0e29a
30d72195-5c64-81e7-8dc1-fd8b2c088849,1033864-12.2021.4.01.0000,629,,RvCr,"Direito Processual Penal, Execução Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""c62e7cf6-c957-462a-bbf7-9da051650e51""}",https://www.notion.so/Revis-o-criminal-sobre-bis-in-idem-na-dosimetria-por-valora-o-simult-nea-da-natureza-e-da-quantidad-30d721955c6481e78dc1fd8b2c088849
30d72195-5c64-81f0-b62e-c8f122e05a1d,1017590-75.2018.4.01.0000,660,,EDAR,"Benefícios Previdenciários, Processo Civil",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""89748804-08bd-4060-b157-ecf631fbeed9""}",https://www.notion.so/Reconhecimento-de-depend-ncia-e-qualidade-de-segurado-para-pens-o-por-morte-decorrente-de-uni-o-est--30d721955c6481f0b62ec8f122e05a1d
30d72195-5c64-81fd-9eb4-daa6d49e845d,1023103-14.2024.4.01.0000,729,,EDHC,Processo Penal,"Processo Penal, Direito Penal Comum","classe, subramo_do_direito","http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""89a265c1-8647-4a9b-a451-b425220c37c0""}",https://www.notion.so/Admissibilidade-de-provas-obtidas-por-coopera-o-direta-entre-autoridades-policiais-e-controv-rsia-s-30d721955c6481fd9eb4daa6d49e845d
30d72195-5c64-81fe-962d-c12b9f84eda9,1030180-79.2021.4.01.0000,699,,MSCrim,"Direito Administrativo Disciplinar, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""1027e239-c603-4df9-822e-a966df717ec1""}",https://www.notion.so/Ilegitimidade-ativa-ad-causam-da-Seccional-da-OAB-para-impetrar-mandado-de-seguran-a-contra-suspens--30d721955c6481fe962dc12b9f84eda9
30d72195-5c64-81ff-b829-f43ca5dbfca3,1001511-50.2020.4.01.0000,659,,EDHC,"Direito Penal, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""ced4a86f-20b3-42fb-ba5b-5d0a79d3c060""}",https://www.notion.so/Aus-ncia-de-intima-o-da-defesa-para-sustenta-o-oral-em-habeas-corpus-e-controv-rsia-sobre-nulidade-30d721955c6481ffb829f43ca5dbfca3
