page_id,page_url,numero_processo,unresolved_columns,problematic_columns,notes
30d72195-5c64-8152-8b78-f36e1b8ceec4,https://www.notion.so/Exclus-o-de-benef-cios-fiscais-de-ICMS-da-base-de-c-lculo-do-IRPJ-e-CSLL-versus-necessidade-de-compr-30d721955c6481528b78f36e1b8ceec4,1018238-44.2021.4.01.3300,classe,"classe, relator(a)",
30d72195-5c64-8152-8b87-fec54ba8b788,https://www.notion.so/Anula-o-de-processo-administrativo-migrat-rio-por-notifica-o-exclusivamente-eletr-nica-sem-comprov-30d721955c6481528b87fec54ba8b788,1036808-64.2024.4.01.3400,classe,"classe, relator(a), subramo_do_direito",
30d72195-5c64-815a-939c-fdd00fd537de,https://www.notion.so/Reconhecimento-de-depend-ncia-e-qualidade-de-segurado-para-pens-o-por-morte-decorrente-de-uni-o-est--30d721955c64815a939cfdd00fd537de,1017590-75.2018.4.01.0000,classe,classe,
30d72195-5c64-815e-b307-dea36a6ecb4b,https://www.notion.so/Expuls-o-administrativa-de-estrangeiro-condenado-e-limites-do-controle-judicial-sobre-legalidade-for-30d721955c64815eb307dea36a6ecb4b,1012229-37.2019.4.01.3300,classe,classe,
30d72195-5c64-8160-9487-fc9a98b23164,https://www.notion.so/Inadmissibilidade-de-agravo-em-execu-o-para-requisi-o-de-informa-es-a-rg-os-externos-e-validade--30d721955c6481609487fc9a98b23164,1002951-32.2022.4.01.4100,classe,"classe, subramo_do_direito",
30d72195-5c64-8165-87b6-d44eb3aa1edc,https://www.notion.so/Superveni-ncia-de-senten-a-penal-condenat-ria-como-novo-t-tulo-judicial-e-preju-zo-do-habeas-corpus--30d721955c64816587b6d44eb3aa1edc,1041211-91.2024.4.01.0000,classe,"classe, relator(a)",
30d72195-5c64-8165-b1b2-c74a701072d3,https://www.notion.so/Tutela-recursal-em-complementa-o-de-benef-cio-previdenci-rio-de-ex-ferrovi-rio-com-aplica-o-das-AD-30d721955c648165b1b2c74a701072d3,1025050-40.2023.4.01.0000,classe,"classe, relator(a)",
30d72195-5c64-8177-9efa-c2dd927705eb,https://www.notion.so/Revis-o-criminal-como-medida-excepcional-para-corrigir-contradi-o-patente-ou-acolher-prova-nova-que-30d721955c6481779efac2dd927705eb,1039158-79.2020.4.01.0000,classe,"classe, relator(a), subramo_do_direito",
30d72195-5c64-8189-b0ca-d2780eeb0775,https://www.notion.so/Trancamento-excepcional-de-inqu-rito-policial-em-habeas-corpus-frente-a-controv-rsia-f-tica-ind-cio-30d721955c648189b0cad2780eeb0775,1010863-56.2025.4.01.0000,classe,"classe, relator(a)",
30d72195-5c64-818c-9eb3-f05b68b96c71,https://www.notion.so/Nulidade-absoluta-do-julgamento-de-apela-o-por-intima-o-dirigida-exclusivamente-a-advogado-falecid-30d721955c64818c9eb3f05b68b96c71,0000967-30.2012.4.01.3308,classe,"classe, relator(a), subramo_do_direito",
30d72195-5c64-8190-8152-e91b64d9e691,https://www.notion.so/Efeito-do-saneamento-societ-rio-pela-retirada-de-s-cio-investigado-sobre-afastamento-de-medida-caute-30d721955c6481908152e91b64d9e691,1020838-10.2022.4.01.0000,classe,classe,
30d72195-5c64-8190-ae55-ebb72e82d706,https://www.notion.so/Aus-ncia-de-intima-o-da-defesa-para-sustenta-o-oral-em-habeas-corpus-e-controv-rsia-sobre-nulidade-30d721955c648190ae55ebb72e82d706,1001511-50.2020.4.01.0000,classe,"classe, relator(a)",
30d72195-5c64-8198-b5b9-fcfb903fb2ad,https://www.notion.so/Extin-o-da-punibilidade-da-pena-corporal-diante-de-multa-pendente-quando-n-o-h-prova-da-possibilid-30d721955c648198b5b9fcfb903fb2ad,1007557-94.2022.4.01.4200,classe,"classe, relator(a)",
30d72195-5c64-819a-b6ce-e07cf6256095,https://www.notion.so/Possibilidade-e-limites-da-compensa-o-administrativa-de-tributos-indevidamente-recolhidos-nos-cinco-30d721955c64819ab6cee07cf6256095,1001145-12.2020.4.01.4300,classe,"classe, relator(a)",
30d72195-5c64-819a-b9a9-ff49a7402f54,https://www.notion.so/Inaplicabilidade-do-habeas-corpus-para-desbloqueio-levantamento-de-arresto-sequestro-ou-hipoteca-l-30d721955c64819ab9a9ff49a7402f54,1004563-10.2019.4.01.4100,classe,"classe, relator(a)",
30d72195-5c64-819b-aa85-cc867e1258dd,https://www.notion.so/Pedido-de-atribui-o-de-efeito-suspensivo-e-expedi-o-de-guia-de-execu-o-provis-ria-diante-de-forag-30d721955c64819baa85cc867e1258dd,1029042-72.2024.4.01.0000,classe,"classe, relator(a)",
30d72195-5c64-81a1-b224-dfe8c382468c,https://www.notion.so/Aplica-o-do-entendimento-do-STF-sobre-efic-cia-rescis-ria-por-inconstitucionalidade-e-sua-incid-nci-30d721955c6481a1b224dfe8c382468c,1025392-90.2019.4.01.0000,classe,"classe, relator(a)",
30d72195-5c64-81a8-b350-cfff6d072e9f,https://www.notion.so/Aplica-o-do-Marco-Civil-da-Internet-para-autoriza-o-judicial-de-quebra-de-sigilo-telem-tico-e-exig-30d721955c6481a8b350cfff6d072e9f,1011422-47.2024.4.01.0000,classe,"classe, subramo_do_direito",
30d72195-5c64-81ad-a5a9-e88285c42134,https://www.notion.so/Ilegitimidade-ativa-ad-causam-da-Seccional-da-OAB-para-impetrar-mandado-de-seguran-a-contra-suspens--30d721955c6481ada5a9e88285c42134,1030180-79.2021.4.01.0000,classe,"classe, relator(a)",
30d72195-5c64-81ad-ad21-c470eded1332,https://www.notion.so/Legitimidade-exclusiva-do-Banco-do-Brasil-para-figurar-no-polo-passivo-de-demandas-sobre-recomposi--30d721955c6481adad21c470eded1332,1019449-52.2020.4.01.3300,classe,"classe, relator(a)",
30d72195-5c64-81b8-b377-c2c81866815f,https://www.notion.so/Desclassifica-o-de-dano-qualificado-contra-patrim-nio-p-blico-federal-para-dano-simples-pela-aus-nc-30d721955c6481b8b377c2c81866815f,0000582-80.2019.4.01.3100,classe,"classe, relator(a)",
30d72195-5c64-81c3-b2a2-eb82fe176243,https://www.notion.so/Efeito-de-medida-cautelar-de-proibi-o-de-contratar-com-o-poder-p-blico-municipal-sobre-administra--30d721955c6481c3b2a2eb82fe176243,1037622-91.2024.4.01.0000,classe,"classe, relator(a)",
30d72195-5c64-81c8-818d-e44ad6983b47,https://www.notion.so/Compet-ncia-do-CADE-para-reprimir-pr-tica-de-price-squeeze-e-cobran-a-abusiva-de-Terminal-Handling-C-30d721955c6481c8818de44ad6983b47,0034878-24.2007.4.01.3400,ramo_do_direito,"relator(a), ramo_do_direito, subramo_do_direito",
30d72195-5c64-81c9-a15a-daa42a40033a,https://www.notion.so/Recepcionabilidade-do-art-46-1-do-Regulamento-Disciplinar-da-Marinha-e-ilegalidade-de-exig-ncia--30d721955c6481c9a15adaa42a40033a,1043083-86.2021.4.01.3900,classe,classe,
30d72195-5c64-81cc-ab39-d80d05b5d35e,https://www.notion.so/Compet-ncia-para-execu-o-de-pena-estrangeira-conflito-entre-ju-zo-federal-respons-vel-pela-transfe-30d721955c6481ccab39d80d05b5d35e,1003632-96.2022.4.01.4101,classe,"classe, relator(a)",
30d72195-5c64-81de-86ac-e91758ad7913,https://www.notion.so/Suspens-o-de-liminar-que-determinou-bloqueio-parcial-de-repasses-do-Fundeb-e-exig-ncia-de-contracaut-30d721955c6481de86ace91758ad7913,1030489-95.2024.4.01.0000,classe,"classe, relator(a)",
30d72195-5c64-81e7-b122-f29d9dd2899c,https://www.notion.so/Expedi-o-de-RPV-para-pagamento-de-honor-rios-advocat-cios-devidos-por-Minist-rio-P-blico-Federal-in-30d721955c6481e7b122f29d9dd2899c,0064415-70.2013.4.01.0000,classe,"classe, relator(a), subramo_do_direito",
30d72195-5c64-81ed-945f-c5c1c3af605c,https://www.notion.so/Revoga-o-do-teto-de-vinte-sal-rios-m-nimos-para-contribui-es-parafiscais-destinadas-a-Sesi-Senai--30d721955c6481ed945fc5c1c3af605c,1008432-95.2020.4.01.3307,classe,"classe, relator(a)",
30d72195-5c64-81ed-ba1c-f02f49d156cd,https://www.notion.so/Aplicabilidade-da-negativa-de-seguimento-monocr-tica-a-recurso-especial-conflitante-com-tese-de-recu-30d721955c6481edba1cf02f49d156cd,0012532-47.2010.4.01.3700,subramo_do_direito,"relator(a), ramo_do_direito, informativo, subramo_do_direito",
30d72195-5c64-81f1-910b-e4cde60091cf,https://www.notion.so/Revis-o-criminal-sobre-bis-in-idem-na-dosimetria-por-valora-o-simult-nea-da-natureza-e-da-quantidad-30d721955c6481f1910be4cde60091cf,1033864-12.2021.4.01.0000,classe,"classe, relator(a)",
30d72195-5c64-81f8-9d5b-f33d71ca7f47,https://www.notion.so/Incidente-de-sanidade-mental-e-obriga-o-de-quem-requereu-a-per-cia-arcar-com-honor-rios-periciais-m-30d721955c6481f89d5bf33d71ca7f47,1031302-59.2023.4.01.0000,classe,"classe, relator(a), subramo_do_direito",
30d72195-5c64-81f8-ba28-c0dff886005b,https://www.notion.so/Desist-ncia-de-habeas-corpus-ap-s-julgamento-colegiado-e-impossibilidade-de-homologa-o-por-configur-30d721955c6481f8ba28c0dff886005b,1030206-77.2021.4.01.0000,classe,"classe, relator(a)",
30d72195-5c64-81fc-94de-f9c1485d6d17,https://www.notion.so/Incid-ncia-de-contribui-o-previdenci-ria-sobre-sal-rio-paternidade-em-raz-o-de-sua-natureza-salaria-30d721955c6481fc94def9c1485d6d17,0072821-94.2015.4.01.3400,classe,"classe, relator(a)",
30d72195-5c64-81fd-a225-eeb44a7346ce,https://www.notion.so/Natureza-jur-dica-dos-not-rios-e-registradores-como-delegat-rios-de-servi-o-p-blico-privado-e-contro-30d721955c6481fda225eeb44a7346ce,0041911-89.2012.4.01.3400,classe,"classe, relator(a)",
30d72195-5c64-81fe-8d7c-f5745536d14a,https://www.notion.so/Sequestro-de-bens-e-discuss-o-sobre-aplica-o-flex-vel-do-prazo-do-art-131-inciso-I-do-CPP-diante-30d721955c6481fe8d7cf5745536d14a,1019592-42.2023.4.01.0000,classe,"classe, relator(a)",
