"id","ordem_doc","arquivo_fonte","norma_id","norma_titulo","norma_nome_popular","macrogrupo","grupo_sumario","pagina_inicial","pagina_final","hierarquia_normativa","tipo_dispositivo","dispositivo","dispositivo_pai","artigo","paragrafo","inciso","alinea","item","texto_dispositivo","notas_texto","notas_json","qtd_notas","referencias_normativas","referencias_jurisprudenciais","referencias_sumulas","texto_rag","resumo_curto","palavras_chave","incluir_no_rag","chars","tokens_estimados"
"1","1","Codigo_Eleitoral_2026_anotado.pdf","sumula_tse_56","Súmula-TSE n. 56","","Súmulas do TSE, do STF e do STJ","Súmulas do TSE, do STF e do STJ","1330","1330","","sumula","Súmula-TSE n. 56","","","","","","","O TRIBUNAL SUPERIOR ELEITORAL, no uso das atribuições que lhe confere o art. 23, inciso XV, do Código Eleitoral, resolve aprovar a proposta de edição do seguinte verbete de súmula: A multa eleitoral constitui dívida ativa de natureza não tributária, submetendo-se ao prazo prescricional de 10 (dez) anos, nos moldes do","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Súmula-TSE n. 56
Macrogrupo: Súmulas do TSE, do STF e do STJ
Grupo do sumário: Súmulas do TSE, do STF e do STJ
Dispositivo: Súmula-TSE n. 56
Tipo: sumula
Páginas: 1330-1330
O TRIBUNAL SUPERIOR ELEITORAL, no uso das atribuições que lhe confere o art. 23, inciso XV, do Código Eleitoral, resolve aprovar a proposta de edição do seguinte verbete de súmula: A multa eleitoral constitui dívida ativa de natureza não tributária, submetendo-se ao prazo prescricional de 10 (dez) anos, nos moldes do","O TRIBUNAL SUPERIOR ELEITORAL, no uso das atribuições que lhe confere o art. 23, inciso XV, do Código Eleitoral, resolve aprovar a proposta de edição do seguinte verbete de súmula: A multa eleitoral constitui dívida ativa de natureza não...","sumula; eleitoral; tribunal; superior; atribuicoes; confere; inciso; codigo; resolve; aprovar","True","565","141"
"2","2","Codigo_Eleitoral_2026_anotado.pdf","sumula_tse_56","Súmula-TSE n. 56","","Súmulas do TSE, do STF e do STJ","Súmulas do TSE, do STF e do STJ","1330","1330","","artigo","Art. 205","","Art. 205","","","","","art. 205 do Código Civil. Referências: Ac.-TSE, de 11/11/2014, no AgR-REspe n. 275; Ac.-TSE, de 12/11/2013, no AgR-REspe n. 26242; Ac.-TSE, de 23/10/2012, no AgR-REspe n. 20347. Ministro DIAS TOFFOLI, Presidente e relator – Ministro GILMAR MENDES – Ministro LUIZ FUX – Ministro HERMAN BENJAMIN – Ministro NAPOLEÃO NUNES MAIA FILHO – Ministro HENRIQUE NEVES DA SILVA – Ministra LUCIANA LÓSSIO","Ac.-TSE, de 10/5/2016, no PA n. 32345.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Ac.-TSE, de 10/5/2016, no PA n. 32345."", ""pagina_inicial"": 1330, ""pagina_final"": 1330}]","1","","Ac.-TSE, de 11/11/2014, no AgR-REspe n; Ac.-TSE, de 12/11/2013, no AgR-REspe n; Ac.-TSE, de 23/10/2012, no AgR-REspe n; Ac.-TSE, de 10/5/2016, no PA n; AgR-REspe n. 275; AgR-REspe n. 26242; AgR-REspe n. 20347.; PA n. 32345.","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Súmula-TSE n. 56
Macrogrupo: Súmulas do TSE, do STF e do STJ
Grupo do sumário: Súmulas do TSE, do STF e do STJ
Dispositivo: Art. 205
Tipo: artigo
Páginas: 1330-1330
art. 205 do Código Civil. Referências: Ac.-TSE, de 11/11/2014, no AgR-REspe n. 275; Ac.-TSE, de 12/11/2013, no AgR-REspe n. 26242; Ac.-TSE, de 23/10/2012, no AgR-REspe n. 20347. Ministro DIAS TOFFOLI, Presidente e relator – Ministro GILMAR MENDES – Ministro LUIZ FUX – Ministro HERMAN BENJAMIN – Ministro NAPOLEÃO NUNES MAIA FILHO – Ministro HENRIQUE NEVES DA SILVA – Ministra LUCIANA LÓSSIO
Notas vinculadas:
Ac.-TSE, de 10/5/2016, no PA n. 32345.","art. 205 do Código Civil. Referências: Ac.-TSE, de 11/11/2014, no AgR-REspe n. 275; Ac.-TSE, de 12/11/2013, no AgR-REspe n. 26242; Ac.-TSE, de 23/10/2012, no AgR-REspe n. 20347. Ministro DIAS TOFFOLI, Presidente e relator – Ministro GILMAR...","ministro; respe; sumula; codigo; civil; referencias; dias; toffoli; presidente; relator","True","687","171"
