id,ordem_doc,arquivo_fonte,norma_id,norma_titulo,norma_nome_popular,macrogrupo,grupo_sumario,pagina_inicial,pagina_final,hierarquia_normativa,tipo_dispositivo,dispositivo,dispositivo_pai,artigo,paragrafo,inciso,alinea,item,texto_dispositivo,notas_texto,notas_json,qtd_notas,referencias_normativas,referencias_jurisprudenciais,referencias_sumulas,texto_rag,resumo_curto,palavras_chave,incluir_no_rag,chars,tokens_estimados,row_key,csv_arquivo,dispositivo_pai_id,dispositivo_pai_row_key
1,1,Codigo_Eleitoral_2026_anotado.pdf,lei_13831_2019,"Lei n. 13.831, de 17 de maio de 2019",Lei n. 13.831/2019,Lei n. 13.831/2019,Lei n. 13.831/2019,611,611,,norma,"Lei n. 13.831, de 17 de maio de 2019",,,,,,,"Altera a Lei n. 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), a fim de assegurar autonomia aos partidos políticos para definir o prazo de duração dos mandatos dos membros dos seus órgãos partidários permanentes ou provisórios e dá outras providências. O PRESIDENTE DA REPÚBLICA Faço saber que o Congresso Nacional decreta e eu sanciono a seguinte lei:",,[],0,Lei n. 9.096,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 13.831, de 17 de maio de 2019 Nome popular/citação curta: Lei n. 13.831/2019 Macrogrupo: Lei n. 13.831/2019 Grupo do sumário: Lei n. 13.831/2019 Dispositivo: Lei n. 13.831, de 17 de maio de 2019 Tipo: norma Páginas: 611-611 Resumo: Norma Lei n. 13.831/2019: Altera a Lei n. 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), a fim de assegurar autonomia aos partidos políticos para definir o prazo de duração dos mandatos dos membros dos seus órgãos partidários permanentes ou provisórios e dá outras providências. Altera a Lei n. 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), a fim de assegurar autonomia aos partidos políticos para definir o prazo de duração dos mandatos dos membros dos seus órgãos partidários permanentes ou provisórios e dá outras providências. O PRESIDENTE DA REPÚBLICA Faço saber que o Congresso Nacional decreta e eu sanciono a seguinte lei:","Norma Lei n. 13.831/2019: Altera a Lei n. 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), a fim de assegurar autonomia aos partidos políticos para definir o prazo de duração dos mandatos dos membros dos seus órgãos partidários permanentes ou provisórios e dá outras providências.",maio; partidos; politicos; altera; setembro; assegurar; autonomia; definir; prazo; duracao,True,950,238,010_lei_13831_2019_lei_n_13_831_2019:1,010_lei_13831_2019_lei_n_13_831_2019.csv,,
2,2,Codigo_Eleitoral_2026_anotado.pdf,lei_13831_2019,"Lei n. 13.831, de 17 de maio de 2019",Lei n. 13.831/2019,Lei n. 13.831/2019,Lei n. 13.831/2019,611,611,,artigo,Art. 1º,,Art. 1º,,,,,"Art. 1º A Lei n. 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), passa a vigorar com as seguintes alterações:",Alterações incorporadas ao texto da Lei n. 9.096/1995.,"[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Alterações incorporadas ao texto da Lei n. 9.096/1995."", ""pagina_inicial"": 611, ""pagina_final"": 611}]",1,Lei n. 9.096; Lei n. 9.096/1995,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 13.831, de 17 de maio de 2019 Nome popular/citação curta: Lei n. 13.831/2019 Macrogrupo: Lei n. 13.831/2019 Grupo do sumário: Lei n. 13.831/2019 Dispositivo: Art. 1º Tipo: artigo Páginas: 611-611 Resumo: Art. 1º: A Lei n. 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), passa a vigorar com as seguintes alterações: | 1 nota(s) vinculada(s) Art. 1º A Lei n. 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), passa a vigorar com as seguintes alterações: Notas vinculadas: Alterações incorporadas ao texto da Lei n. 9.096/1995.","Art. 1º: A Lei n. 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), passa a vigorar com as seguintes alterações: | 1 nota(s) vinculada(s)",alteracoes; maio; setembro; partidos; politicos; passa; vigorar; seguintes; incorporadas; texto,True,607,152,010_lei_13831_2019_lei_n_13_831_2019:2,010_lei_13831_2019_lei_n_13_831_2019.csv,,
3,3,Codigo_Eleitoral_2026_anotado.pdf,lei_13831_2019,"Lei n. 13.831, de 17 de maio de 2019",Lei n. 13.831/2019,Lei n. 13.831/2019,Lei n. 13.831/2019,611,611,,artigo,Art. 2º,,Art. 2º,,,,,"Art. 2º A Lei n. 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), passa a vigorar acrescida dos seguintes arts. 55-A, 55-B, 55-C e 55-D:",Alterações incorporadas ao texto da Lei n. 9.096/1995.,"[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Alterações incorporadas ao texto da Lei n. 9.096/1995."", ""pagina_inicial"": 611, ""pagina_final"": 611}]",1,Lei n. 9.096; Lei n. 9.096/1995,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 13.831, de 17 de maio de 2019 Nome popular/citação curta: Lei n. 13.831/2019 Macrogrupo: Lei n. 13.831/2019 Grupo do sumário: Lei n. 13.831/2019 Dispositivo: Art. 2º Tipo: artigo Páginas: 611-611 Resumo: Art. 2º: A Lei n. 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), passa a vigorar acrescida dos seguintes arts. 55-A, 55-B, 55-C e 55-D: | 1 nota(s) vinculada(s) Art. 2º A Lei n. 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), passa a vigorar acrescida dos seguintes arts. 55-A, 55-B, 55-C e 55-D: Notas vinculadas: Alterações incorporadas ao texto da Lei n. 9.096/1995.","Art. 2º: A Lei n. 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), passa a vigorar acrescida dos seguintes arts. 55-A, 55-B, 55-C e 55-D: | 1 nota(s) vinculada(s)",maio; setembro; partidos; politicos; passa; vigorar; acrescida; seguintes; arts; alteracoes,True,659,165,010_lei_13831_2019_lei_n_13_831_2019:3,010_lei_13831_2019_lei_n_13_831_2019.csv,,
4,4,Codigo_Eleitoral_2026_anotado.pdf,lei_13831_2019,"Lei n. 13.831, de 17 de maio de 2019",Lei n. 13.831/2019,Lei n. 13.831/2019,Lei n. 13.831/2019,611,611,,artigo,Art. 3º,,Art. 3º,,,,,"Art. 3º As disposições desta lei terão eficácia imediata nos processos de prestação de contas e de criação dos órgãos partidários em andamento, a partir de sua publicação, ainda que julgados, mas não transitados em julgado.",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 13.831, de 17 de maio de 2019 Nome popular/citação curta: Lei n. 13.831/2019 Macrogrupo: Lei n. 13.831/2019 Grupo do sumário: Lei n. 13.831/2019 Dispositivo: Art. 3º Tipo: artigo Páginas: 611-611 Resumo: Art. 3º: As disposições desta lei terão eficácia imediata nos processos de prestação de contas e de criação dos órgãos partidários em andamento, a partir de sua publicação, ainda que julgados, mas não transitados em julgado. Art. 3º As disposições desta lei terão eficácia imediata nos processos de prestação de contas e de criação dos órgãos partidários em andamento, a partir de sua publicação, ainda que julgados, mas não transitados em julgado.","Art. 3º: As disposições desta lei terão eficácia imediata nos processos de prestação de contas e de criação dos órgãos partidários em andamento, a partir de sua publicação, ainda que julgados, mas não transitados em julgado.",maio; disposicoes; desta; terao; eficacia; imediata; processos; prestacao; contas; criacao,True,707,177,010_lei_13831_2019_lei_n_13_831_2019:4,010_lei_13831_2019_lei_n_13_831_2019.csv,,
5,5,Codigo_Eleitoral_2026_anotado.pdf,lei_13831_2019,"Lei n. 13.831, de 17 de maio de 2019",Lei n. 13.831/2019,Lei n. 13.831/2019,Lei n. 13.831/2019,611,611,,paragrafo,"Art. 3º, Parágrafo único",Art. 3º,Art. 3º,Parágrafo único,,,,"Parágrafo único. Aplica-se também aos processos que se encontram em fase de execução judicial o disposto no art. 55-D da Lei n. 9.096, de 19 de setembro 1995.",Parágrafo único acrescido pelo art. 5º da Lei n. 13.877/2019.,"[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Parágrafo único acrescido pelo art. 5º da Lei n. 13.877/2019."", ""pagina_inicial"": 611, ""pagina_final"": 611}]",1,Lei n. 9.096; Lei n. 13.877/2019,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 13.831, de 17 de maio de 2019 Nome popular/citação curta: Lei n. 13.831/2019 Macrogrupo: Lei n. 13.831/2019 Grupo do sumário: Lei n. 13.831/2019 Dispositivo: Art. 3º, Parágrafo único Tipo: paragrafo Dispositivo pai: Art. 3º ID do dispositivo pai: 010_lei_13831_2019_lei_n_13_831_2019:4 Páginas: 611-611 Resumo: Art. 3º, Parágrafo único: Aplica-se também aos processos que se encontram em fase de execução judicial o disposto no art. 55-D da Lei n. 9.096, de 19 de setembro 1995. | 1 nota(s) vinculada(s) Parágrafo único. Aplica-se também aos processos que se encontram em fase de execução judicial o disposto no art. 55-D da Lei n. 9.096, de 19 de setembro 1995. Notas vinculadas: Parágrafo único acrescido pelo art. 5º da Lei n. 13.877/2019.","Art. 3º, Parágrafo único: Aplica-se também aos processos que se encontram em fase de execução judicial o disposto no art. 55-D da Lei n. 9.096, de 19 de setembro 1995. | 1 nota(s) vinculada(s)",paragrafo; unico; maio; aplica; tambem; processos; encontram; fase; execucao; judicial,True,797,199,010_lei_13831_2019_lei_n_13_831_2019:5,010_lei_13831_2019_lei_n_13_831_2019.csv,4,010_lei_13831_2019_lei_n_13_831_2019:4
6,6,Codigo_Eleitoral_2026_anotado.pdf,lei_13831_2019,"Lei n. 13.831, de 17 de maio de 2019",Lei n. 13.831/2019,Lei n. 13.831/2019,Lei n. 13.831/2019,611,611,,artigo,Art. 4º,,Art. 4º,,,,,Art. 4º Esta lei entra em vigor na data de sua publicação.,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 13.831, de 17 de maio de 2019 Nome popular/citação curta: Lei n. 13.831/2019 Macrogrupo: Lei n. 13.831/2019 Grupo do sumário: Lei n. 13.831/2019 Dispositivo: Art. 4º Tipo: artigo Páginas: 611-611 Resumo: Art. 4º: Esta lei entra em vigor na data de sua publicação. Art. 4º Esta lei entra em vigor na data de sua publicação.",Art. 4º: Esta lei entra em vigor na data de sua publicação.,maio; esta; entra; vigor; data; publicacao,True,377,94,010_lei_13831_2019_lei_n_13_831_2019:6,010_lei_13831_2019_lei_n_13_831_2019.csv,,
