"id","ordem_doc","arquivo_fonte","norma_id","norma_titulo","norma_nome_popular","macrogrupo","grupo_sumario","pagina_inicial","pagina_final","hierarquia_normativa","tipo_dispositivo","dispositivo","dispositivo_pai","artigo","paragrafo","inciso","alinea","item","texto_dispositivo","notas_texto","notas_json","qtd_notas","referencias_normativas","referencias_jurisprudenciais","referencias_sumulas","texto_rag","resumo_curto","palavras_chave","incluir_no_rag","chars","tokens_estimados"
"1","1","Codigo_Eleitoral_2026_anotado.pdf","provimento_cge_6_2006","Provimento-CGE n. 6 de 25 de setembro de 2006","","Normas editadas pelo TSE","Provimentos-CGE","1247","1247","","norma","Provimento-CGE n. 6 de 25 de setembro de 2006","","","","","","","Disciplina o procedimento a ser observado para o acesso a dados do Cadastro Eleitoral. O EXMO. SR. MINISTRO CESAR ASFOR ROCHA, Corregedor-Geral da Justiça Eleitoral, no uso das atribuições que lhe são conferidas pelos incisos V, VI e IX do art. 2º da Res.-TSE n. 7.651, de 24 de agosto de 1965, Observadas as disposições dos arts. 29 e 88 da Res.-TSE n. 21.538, de 14 de outubro de 2003, que estabelecem, respectivamente, os limites para o acesso aos dados constantes do Cadastro Eleitoral, e o exercício, pela Corregedoria-Geral e pelas Corregedorias Regionais Eleitorais, da supervisão, orientação e fiscalização direta do exato cumprimento das instruções contidas na citada norma; Considerando a deliberação adotada, em 22/8/2006, pelo Ministro Marco Aurélio, Presidente do Tribunal Superior Eleitoral, no Procedimento Administrativo n. 8.895/2006-TSE, no sentido de acolher proposta de centralização, na Corregedoria, das atividades relacionadas com o atendimento a solicitações de acesso a dados do Cadastro Eleitoral – concebida pela Diretoria-Geral e aperfeiçoada por esta unidade correcional –, objetivando, entre outros, a agilização dos serviços, a redução de custo, a ampliação do controle das ações, a uniformização e a padronização das atividades; RESOLVE:","Res.-TSE n. 7651/1965 revogada pelo art. 17 da Res.-TSE n. 23742/2024.
Res.-TSE n. 23659/2021, arts. 10 e 136: correspondem aos arts. 29 e 88 da Res.-TSE n. 21538/2003.","[{""ordem"": 1, ""marcador"": ""ticado"", ""texto"": ""Res.-TSE n. 7651/1965 revogada pelo art. 17 da Res.-TSE n. 23742/2024."", ""pagina_inicial"": 1247, ""pagina_final"": 1247}, {""ordem"": 2, ""marcador"": ""ticado"", ""texto"": ""Res.-TSE n. 23659/2021, arts. 10 e 136: correspondem aos arts. 29 e 88 da Res.-TSE n. 21538/2003."", ""pagina_inicial"": 1247, ""pagina_final"": 1247}]","2","Res.-TSE n. 7651/1965; Res.-TSE n. 23742/2024; Res.-TSE n. 23659/2021; Res.-TSE n. 21538/2003","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Provimento-CGE n. 6 de 25 de setembro de 2006
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Provimentos-CGE
Dispositivo: Provimento-CGE n. 6 de 25 de setembro de 2006
Tipo: norma
Páginas: 1247-1247
Disciplina o procedimento a ser observado para o acesso a dados do Cadastro Eleitoral. O EXMO. SR. MINISTRO CESAR ASFOR ROCHA, Corregedor-Geral da Justiça Eleitoral, no uso das atribuições que lhe são conferidas pelos incisos V, VI e IX do art. 2º da Res.-TSE n. 7.651, de 24 de agosto de 1965, Observadas as disposições dos arts. 29 e 88 da Res.-TSE n. 21.538, de 14 de outubro de 2003, que estabelecem, respectivamente, os limites para o acesso aos dados constantes do Cadastro Eleitoral, e o exercício, pela Corregedoria-Geral e pelas Corregedorias Regionais Eleitorais, da supervisão, orientação e fiscalização direta do exato cumprimento das instruções contidas na citada norma; Considerando a deliberação adotada, em 22/8/2006, pelo Ministro Marco Aurélio, Presidente do Tribunal Superior Eleitoral, no Procedimento Administrativo n. 8.895/2006-TSE, no sentido de acolher proposta de centralização, na Corregedoria, das atividades relacionadas com o atendimento a solicitações de acesso a dados do Cadastro Eleitoral – concebida pela Diretoria-Geral e aperfeiçoada por esta unidade correcional –, objetivando, entre outros, a agilização dos serviços, a redução de custo, a ampliação do controle das ações, a uniformização e a padronização das atividades; RESOLVE:
Notas vinculadas:
Res.-TSE n. 7651/1965 revogada pelo art. 17 da Res.-TSE n. 23742/2024.
Res.-TSE n. 23659/2021, arts. 10 e 136: correspondem aos arts. 29 e 88 da Res.-TSE n. 21538/2003.","Disciplina o procedimento a ser observado para o acesso a dados do Cadastro Eleitoral. O EXMO. SR. MINISTRO CESAR ASFOR ROCHA, Corregedor-Geral da Justiça Eleitoral, no uso das atribuições que lhe são conferidas pelos incisos V, VI e IX do...","eleitoral; acesso; dados; cadastro; geral; arts; provimento; setembro; procedimento; ministro","True","1737","434"
"2","2","Codigo_Eleitoral_2026_anotado.pdf","provimento_cge_6_2006","Provimento-CGE n. 6 de 25 de setembro de 2006","","Normas editadas pelo TSE","Provimentos-CGE","1247","1247","","artigo","Art. 1º","","Art. 1º","","","","","Art. 1º A obtenção de informações do Cadastro Eleitoral, nas hipóteses autorizadas pelo","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Provimento-CGE n. 6 de 25 de setembro de 2006
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Provimentos-CGE
Dispositivo: Art. 1º
Tipo: artigo
Páginas: 1247-1247
Art. 1º A obtenção de informações do Cadastro Eleitoral, nas hipóteses autorizadas pelo","Art. 1º A obtenção de informações do Cadastro Eleitoral, nas hipóteses autorizadas pelo","provimento; setembro; obtencao; informacoes; cadastro; eleitoral; hipoteses; autorizadas","True","331","82"
"3","3","Codigo_Eleitoral_2026_anotado.pdf","provimento_cge_6_2006","Provimento-CGE n. 6 de 25 de setembro de 2006","","Normas editadas pelo TSE","Provimentos-CGE","1247","1247","","artigo","Art. 29","","Art. 29","","","","","art. 29 da Res.-TSE n. 21.538, de 14 de outubro de 2003, com a nova redação que lhe foi dada pela Res.-TSE n. 23.490, de 2 de agosto de 2016, se fará de conformidade com o estabelecido neste provimento.","Res.-TSE n. 23659/2021, art. 10: corresponde ao art. 29 da Res.-TSE n. 21538/2003.","[{""ordem"": 1, ""marcador"": ""ticado"", ""texto"": ""Res.-TSE n. 23659/2021, art. 10: corresponde ao art. 29 da Res.-TSE n. 21538/2003."", ""pagina_inicial"": 1247, ""pagina_final"": 1247}]","1","Res.-TSE n. 23659/2021; Res.-TSE n. 21538/2003","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Provimento-CGE n. 6 de 25 de setembro de 2006
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Provimentos-CGE
Dispositivo: Art. 29
Tipo: artigo
Páginas: 1247-1247
art. 29 da Res.-TSE n. 21.538, de 14 de outubro de 2003, com a nova redação que lhe foi dada pela Res.-TSE n. 23.490, de 2 de agosto de 2016, se fará de conformidade com o estabelecido neste provimento.
Notas vinculadas:
Res.-TSE n. 23659/2021, art. 10: corresponde ao art. 29 da Res.-TSE n. 21538/2003.","art. 29 da Res.-TSE n. 21.538, de 14 de outubro de 2003, com a nova redação que lhe foi dada pela Res.-TSE n. 23.490, de 2 de agosto de 2016, se fará de conformidade com o estabelecido neste provimento.","provimento; setembro; outubro; nova; redacao; dada; agosto; fara; conformidade; estabelecido","True","547","136"
"4","4","Codigo_Eleitoral_2026_anotado.pdf","provimento_cge_6_2006","Provimento-CGE n. 6 de 25 de setembro de 2006","","Normas editadas pelo TSE","Provimentos-CGE","1247","1247","","paragrafo","Art. 29, Parágrafo único","Art. 29","Art. 29","Parágrafo único","","","","Parágrafo único. Caberão aos juízos eleitorais, no primeiro grau, às Corregedorias Regionais, no âmbito dos Tribunais Regionais Eleitorais, e à Corregedoria-Geral, no Tribunal Superior Eleitoral, o recebimento, a análise, a consulta ao cadastro e o atendimento, quando for o caso, dos pedidos formulados com base no dispositivo mencionado no caput.","Art. 1º com redação dada pelo art. 1º do Prov.-CGE n. 11/2016.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Art. 1º com redação dada pelo art. 1º do Prov.-CGE n. 11/2016."", ""pagina_inicial"": 1247, ""pagina_final"": 1247}]","1","Prov.-CGE n. 11/2016","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Provimento-CGE n. 6 de 25 de setembro de 2006
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Provimentos-CGE
Dispositivo: Art. 29, Parágrafo único
Tipo: paragrafo
Dispositivo pai: Art. 29
Páginas: 1247-1247
Parágrafo único. Caberão aos juízos eleitorais, no primeiro grau, às Corregedorias Regionais, no âmbito dos Tribunais Regionais Eleitorais, e à Corregedoria-Geral, no Tribunal Superior Eleitoral, o recebimento, a análise, a consulta ao cadastro e o atendimento, quando for o caso, dos pedidos formulados com base no dispositivo mencionado no caput.
Notas vinculadas:
Art. 1º com redação dada pelo art. 1º do Prov.-CGE n. 11/2016.","Parágrafo único. Caberão aos juízos eleitorais, no primeiro grau, às Corregedorias Regionais, no âmbito dos Tribunais Regionais Eleitorais, e à Corregedoria-Geral, no Tribunal Superior Eleitoral, o recebimento, a análise, a consulta ao...","paragrafo; unico; eleitorais; regionais; provimento; setembro; caberao; juizos; primeiro; grau","True","718","179"
"5","5","Codigo_Eleitoral_2026_anotado.pdf","provimento_cge_6_2006","Provimento-CGE n. 6 de 25 de setembro de 2006","","Normas editadas pelo TSE","Provimentos-CGE","1247","1247","","artigo","Art. 2º","","Art. 2º","","","","","Art. 2º Recebida solicitação proveniente de autoridade judiciária, do Ministério Público, de órgão de direção nacional de partido político ou de autoridade policial, o órgão da Justiça Eleitoral, conforme disposto no parágrafo único do art. 1º, providenciará a pesquisa ao Cadastro Eleitoral, objetivando identificar eleitor inscrito com os parâmetros informados no pedido.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Provimento-CGE n. 6 de 25 de setembro de 2006
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Provimentos-CGE
Dispositivo: Art. 2º
Tipo: artigo
Páginas: 1247-1247
Art. 2º Recebida solicitação proveniente de autoridade judiciária, do Ministério Público, de órgão de direção nacional de partido político ou de autoridade policial, o órgão da Justiça Eleitoral, conforme disposto no parágrafo único do art. 1º, providenciará a pesquisa ao Cadastro Eleitoral, objetivando identificar eleitor inscrito com os parâmetros informados no pedido.","Art. 2º Recebida solicitação proveniente de autoridade judiciária, do Ministério Público, de órgão de direção nacional de partido político ou de autoridade policial, o órgão da Justiça Eleitoral, conforme disposto no parágrafo único do...","autoridade; orgao; eleitoral; provimento; setembro; recebida; solicitacao; proveniente; judiciaria; ministerio","True","617","154"
"6","6","Codigo_Eleitoral_2026_anotado.pdf","provimento_cge_6_2006","Provimento-CGE n. 6 de 25 de setembro de 2006","","Normas editadas pelo TSE","Provimentos-CGE","1247","1247","","paragrafo","Art. 2º, §1º","Art. 2º","Art. 2º","§1º","","","","§ 1º Identificada mais de uma inscrição atribuída a um mesmo eleitor, serão fornecidos os dados pertinentes às inscrições localizadas no cadastro, fazendo-se referência à situação da inscrição e, na hipótese de suspensão ou cancelamento, da data de ocorrência da respectiva causa.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Provimento-CGE n. 6 de 25 de setembro de 2006
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Provimentos-CGE
Dispositivo: Art. 2º, §1º
Tipo: paragrafo
Dispositivo pai: Art. 2º
Páginas: 1247-1247
§ 1º Identificada mais de uma inscrição atribuída a um mesmo eleitor, serão fornecidos os dados pertinentes às inscrições localizadas no cadastro, fazendo-se referência à situação da inscrição e, na hipótese de suspensão ou cancelamento, da data de ocorrência da respectiva causa.","§ 1º Identificada mais de uma inscrição atribuída a um mesmo eleitor, serão fornecidos os dados pertinentes às inscrições localizadas no cadastro, fazendo-se referência à situação da inscrição e, na hipótese de suspensão ou cancelamento...","inscricao; provimento; setembro; identificada; mais; atribuida; mesmo; eleitor; serao; fornecidos","True","557","139"
"7","7","Codigo_Eleitoral_2026_anotado.pdf","provimento_cge_6_2006","Provimento-CGE n. 6 de 25 de setembro de 2006","","Normas editadas pelo TSE","Provimentos-CGE","1247","1248","","paragrafo","Art. 2º, §2º","Art. 2º","Art. 2º","§2º","","","","§ 2º Localizada apenas inscrição que não guarde absoluta identidade com os parâmetros informados, serão fornecidos os dados correspondentes, com destaque às divergências verificadas.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Provimento-CGE n. 6 de 25 de setembro de 2006
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Provimentos-CGE
Dispositivo: Art. 2º, §2º
Tipo: paragrafo
Dispositivo pai: Art. 2º
Páginas: 1247-1248
§ 2º Localizada apenas inscrição que não guarde absoluta identidade com os parâmetros informados, serão fornecidos os dados correspondentes, com destaque às divergências verificadas.","§ 2º Localizada apenas inscrição que não guarde absoluta identidade com os parâmetros informados, serão fornecidos os dados correspondentes, com destaque às divergências verificadas.","provimento; setembro; localizada; apenas; inscricao; guarde; absoluta; identidade; parametros; informados","True","459","114"
"8","8","Codigo_Eleitoral_2026_anotado.pdf","provimento_cge_6_2006","Provimento-CGE n. 6 de 25 de setembro de 2006","","Normas editadas pelo TSE","Provimentos-CGE","1248","1248","","paragrafo","Art. 2º, §3º","Art. 2º","Art. 2º","§3º","","","","§ 3º Quando os parâmetros fornecidos na solicitação não forem suficientes para a individualização do eleitor, será oficiada a autoridade solicitante, para complementação das informações.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Provimento-CGE n. 6 de 25 de setembro de 2006
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Provimentos-CGE
Dispositivo: Art. 2º, §3º
Tipo: paragrafo
Dispositivo pai: Art. 2º
Páginas: 1248-1248
§ 3º Quando os parâmetros fornecidos na solicitação não forem suficientes para a individualização do eleitor, será oficiada a autoridade solicitante, para complementação das informações.","§ 3º Quando os parâmetros fornecidos na solicitação não forem suficientes para a individualização do eleitor, será oficiada a autoridade solicitante, para complementação das informações.","provimento; setembro; quando; parametros; fornecidos; solicitacao; forem; suficientes; individualizacao; eleitor","True","463","115"
"9","9","Codigo_Eleitoral_2026_anotado.pdf","provimento_cge_6_2006","Provimento-CGE n. 6 de 25 de setembro de 2006","","Normas editadas pelo TSE","Provimentos-CGE","1248","1248","","paragrafo","Art. 2º, §4º","Art. 2º","Art. 2º","§4º","","","","§ 4º (Revogado pelo art. 2º do Prov.-CGE n. 11/2016).","","[]","0","Prov.-CGE n. 11/2016","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Provimento-CGE n. 6 de 25 de setembro de 2006
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Provimentos-CGE
Dispositivo: Art. 2º, §4º
Tipo: paragrafo
Dispositivo pai: Art. 2º
Páginas: 1248-1248
§ 4º (Revogado pelo art. 2º do Prov.-CGE n. 11/2016).","§ 4º (Revogado pelo art. 2º do Prov.-CGE n. 11/2016).","provimento; setembro; revogado; prov","True","330","82"
"10","10","Codigo_Eleitoral_2026_anotado.pdf","provimento_cge_6_2006","Provimento-CGE n. 6 de 25 de setembro de 2006","","Normas editadas pelo TSE","Provimentos-CGE","1248","1248","","paragrafo","Art. 2º, §5º","Art. 2º","Art. 2º","§5º","","","","§ 5º (Revogado pelo art. 2º do Prov.-CGE n. 11/2016).","","[]","0","Prov.-CGE n. 11/2016","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Provimento-CGE n. 6 de 25 de setembro de 2006
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Provimentos-CGE
Dispositivo: Art. 2º, §5º
Tipo: paragrafo
Dispositivo pai: Art. 2º
Páginas: 1248-1248
§ 5º (Revogado pelo art. 2º do Prov.-CGE n. 11/2016).","§ 5º (Revogado pelo art. 2º do Prov.-CGE n. 11/2016).","provimento; setembro; revogado; prov","True","330","82"
