row_idx,ID,ramo,numero_processo,tipo_de_processo,relator,data_julgamento,match_stage,qtd_candidatos_total,link_1,link_2,link_3,hrefs_ordenados_todos
14710,14711,Matéria processual,49960,AgR-AI,Min. Luciana Lóssio,6/30/2015,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=49960/processoClasse=AI/decisaoData=20150630,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/52079,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=49960/processoClasse=AI/decisaoData=20150630 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/52079
14721,14722,Matéria processual,21668,AgR-REspe,Min. Dias Toffoli,9/5/2013,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=21668/processoClasse=RESPE/decisaoData=20130905,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/48254,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=21668/processoClasse=RESPE/decisaoData=20130905 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/48254
14725,14726,Matéria processual,190461,ED-RO,Min. Luciana Lóssio,5/28/2013,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=190461/processoClasse=RO/decisaoData=20130528,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/47926,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=190461/processoClasse=RO/decisaoData=20130528 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/47926
14751,14752,Matéria processual,43279,AgR-REspe,Min. Henrique Neves da Silva,2/14/2013,B_contencao,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=43279/processoClasse=RESPE/decisaoData=20130214,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/47617,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=43279/processoClasse=RESPE/decisaoData=20130214 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/47617
14754,14755,Matéria processual,43279,AgR-REspe,Min. Henrique Neves da Silva,2/14/2013,B_contencao,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=43279/processoClasse=RESPE/decisaoData=20130214,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/47617,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=43279/processoClasse=RESPE/decisaoData=20130214 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/47617
14759,14760,Matéria processual,36681,AgR-REspe,Min. Marcelo Ribeiro,11/4/2010,B_contencao,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=36681/processoClasse=respe/decisaoData=20101104,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/40973,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=36681/processoClasse=respe/decisaoData=20101104 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/40973
14771,14772,Matéria processual,28013,EDclAgRgREspe,Min. José Delgado,8/23/2007,B_contencao,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=28013/processoClasse=RESPE/decisaoData=20070823,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/28945,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=28013/processoClasse=RESPE/decisaoData=20070823 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/28945
14774,14775,Matéria processual,18051,AgR-REspe,Min. Dias Toffoli,10/11/2012,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=18051/processoClasse=RESPE/decisaoData=20121011,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/46277,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=18051/processoClasse=RESPE/decisaoData=20121011 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/46277
14781,14782,Matéria processual,36681,AgR-REspe,Min. Marcelo Ribeiro,11/4/2010,A_exato,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=36681/processoClasse=respe/decisaoData=20101104,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/40973,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=36681/processoClasse=respe/decisaoData=20101104 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/40973
14793,14794,Matéria processual,27705,EDclEDclAgRgREspe,Min. Marcelo Ribeiro,6/3/2008,B_contencao,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=31051/processoClasse=RESPE/decisaoData=20081011,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=8847/processoClasse=AG/decisaoData=20080515,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=31051/processoClasse=RESPE/decisaoData=20081011 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=8847/processoClasse=AG/decisaoData=20080515
14813,14814,Matéria processual,82431,AgR-REspe,Min. Castro Meira,9/3/2013,B_contencao,2,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=82431/processoClasse=RESPE/decisaoData=20130903,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/48139,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=82431/processoClasse=RESPE/decisaoData=20130903 | https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/48139
