ID_novo,ramo,numero_processo,tipo_de_processo,relator,data_julgamento,link_1,fonte_html,texto_citacao_raw
25921,Inelegibilidades e condições de elegibilidade,60619376,RO-El,Min. Isabel Gallotti,11/13/2025,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/3479857,live,"(Ac. de 13/11/2025 no AgR-RO-El n. 060619376, rel. Min. Isabel Gallotti.)"
25922,Inelegibilidades e condições de elegibilidade,60880963,RO-El,Min. Mauro Campbell Marques,11/10/2020,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/1403353,live,"(Ac. de 10/11/2020 no AgR-RO-El n. 060880963, rel. Min. Mauro Campbell Marques.)"
25923,Inelegibilidades e condições de elegibilidade,714,RO,Min. José Delgado,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/25978,live,"(Ac. de 1º/6/2006 no RO n. 714, rel. Min. José Delgado.)"
25924,Inelegibilidades e condições de elegibilidade,751,Cta,Min. Luiz Carlos Madeira,2/14/2002,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=751/processoClasse=CTA/decisaoData=20020214,local,"(Res. n. 20979 na Cta n. 751, de 14/2/2002, rel. Min. Luiz Carlos Madeira.)"
25925,Inelegibilidades e condições de elegibilidade,753,Cta,Min. Sálvio de Figueiredo,3/7/2002,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/3309,local,"Res. nº 21019 na Cta nº 753, de 7.3.2002, rel. Min. Sálvio de Figueiredo.)"
25926,Inelegibilidades e condições de elegibilidade,788,Cta,Min. Ellen Gracie,5/16/2002,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=788/processoClasse=CTA/decisaoData=20020516,local,"(Res. nº 21099 na Cta nº 788, de 16.5.2002, rel. Min. Ellen Gracie.)"
25927,Inelegibilidades e condições de elegibilidade,81719,REspe,"Min. Herman Benjamin, red",11/20/2018,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/304205,live,"(Ac. de 20/11/2018 no REspe n. 81719, rel. Min. Herman Benjamin, red. designado Min. Luís Roberto Barroso.)"
25928,Inelegibilidades e condições de elegibilidade,845,Cta,Min. Luiz Carlos Madeira,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=845/processoClasse=CTA/decisaoData=20030401,local,"(Res. nº 21376 na Cta nº 845, de 1º.4.2003, rel. Min. Luiz Carlos Madeira.)"
25929,Inelegibilidades e condições de elegibilidade,848,Cta,Min. Sálvio de Figueiredo,12/17/2002,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=848/processoClasse=CTA/decisaoData=20021217,local,"(Res. nº 21322 na Cta nº 848, de 17.12.2002, rel. Min. Sálvio de Figueiredo.)"
25930,Inelegibilidades e condições de elegibilidade,865,Cta,Min. Carlos Velloso,5/8/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=865/processoClasse=CTA/decisaoData=20030508,local,"(Res. nº 21392 na Cta nº 865, de 8.5.2003, rel. Min. Carlos Velloso.)"
25931,Inelegibilidades e condições de elegibilidade,879,Cta,Min. Ellen Gracie,6/26/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=879/processoClasse=CTA/decisaoData=20030626,local,"(Res. nº 21420 na Cta nº 879, de 26.6.2003, rel. Min. Ellen Gracie.)"
25932,Inelegibilidades e condições de elegibilidade,882,Cta,Min. Carlos Velloso,6/26/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=882/processoClasse=CTA/decisaoData=20030626,local,"(Res. nº 21421 na Cta nº 882, de 26.6.2003, rel. Min. Carlos Velloso.)"
25933,Inelegibilidades e condições de elegibilidade,884,Cta,Min. Fernando Neves,6/24/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=884/processoClasse=CTA/decisaoData=20030624,local,"(Res. nº 21415 na Cta nº 884, de 24.6.2003, rel. Min. Fernando Neves.)"
25934,Inelegibilidades e condições de elegibilidade,894,Cta,Min. Carlos Velloso,8/7/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/312,local,"(Res. nº 21436 na Cta nº 894, de 7.8.2003, rel. Min. Carlos Velloso.)"
25935,Inelegibilidades e condições de elegibilidade,897,Cta,Min. Ellen Gracie,9/2/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/18788,local,"Res. nº 21480 na Cta nº 897, de 2.9.2003, rel. Min. Ellen Gracie.)"
25936,Inelegibilidades e condições de elegibilidade,898,Cta,Min. Luiz Carlos Madeira,8/5/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=898/processoClasse=CTA/decisaoData=20030805,local,"(Res. nº 21431 na Cta nº 898, de 5.8.2003, rel. Min. Luiz Carlos Madeira.)"
25937,Inelegibilidades e condições de elegibilidade,900,Cta,Min. Carlos Velloso,8/7/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=900/processoClasse=CTA/decisaoData=20030807,local,"(Res. nº 21438 na Cta nº 900, de 7.8.2003, rel. Min. Carlos Velloso.)"
25938,Inelegibilidades e condições de elegibilidade,904,Cta,Min. Luiz Carlos Madeira,8/7/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=904/processoClasse=CTA/decisaoData=20030807,local,"(Res. nº 21440 na Cta nº 904, de 7.8.2003, rel. Min. Luiz Carlos Madeira.)"
25939,Inelegibilidades e condições de elegibilidade,909,Cta,Min. Ellen Gracie,9/2/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=909/processoClasse=CTA/decisaoData=20030902,local,"(Res. nº 21481 na Cta nº 909, de 2.9.2003, rel. Min. Ellen Gracie;"
25940,Inelegibilidades e condições de elegibilidade,915,Cta,Min. Ellen Gracie,8/12/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=915/processoClasse=CTA/decisaoData=20030812,local,"Res. nº 21444 na Cta nº 915, de 12.8.2003, rel. Min. Ellen Gracie.)"
25941,Inelegibilidades e condições de elegibilidade,918,Cta,Min. Carlos Velloso,8/21/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=918/processoClasse=CTA/decisaoData=20030821,local,"(Res. nº 21471 na Cta nº 918, de 21.8.2003, rel. Min. Carlos Velloso.)"
25942,Inelegibilidades e condições de elegibilidade,919,Cta,Min. Francisco Peçanha Martins,9/2/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=919/processoClasse=CTA/decisaoData=20030902,local,"(Res. nº 21482 na Cta nº 919, de 2.9.2003, rel. Min. Francisco Peçanha Martins.)"
25943,Inelegibilidades e condições de elegibilidade,920,Cta,Min. Fernando Neves,8/19/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=920/processoClasse=CTA/decisaoData=20030819,local,"(Res. nº 21464 na Cta nº 920, de 19.8.2003, rel. Min. Fernando Neves.)"
25944,Inelegibilidades e condições de elegibilidade,921,Cta,Min. Ellen Gracie,10/7/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=921/processoClasse=CTA/decisaoData=20031007,local,"(Res. nº 21520 na Cta nº 921, de 7.10.2003, rel. Min. Ellen Gracie.)"
25945,Inelegibilidades e condições de elegibilidade,924,Cta,Min. Carlos Velloso,,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=924/processoClasse=CTA/decisaoData=20040401,local,"(Res. nº 21704 na Cta nº 924, de 1°.4.2004, rel. Min. Carlos Velloso.)"
25946,Inelegibilidades e condições de elegibilidade,934,Cta,Min. Ellen Gracie,12/9/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=934/processoClasse=CTA/decisaoData=20031209,local,"(Res. nº 21584 na Cta nº 934, de 9.12.2003, rel. Min. Ellen Gracie.)"
25947,Inelegibilidades e condições de elegibilidade,943,Cta,Min. Carlos Velloso,9/16/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=943/processoClasse=CTA/decisaoData=20030916,local,"(Res. nº 21501 na Cta nº 943, de 16.9.2003, rel. Min. Carlos Velloso.)"
25948,Inelegibilidades e condições de elegibilidade,953,Cta,Min. Luiz Carlos Madeira,9/30/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=953/processoClasse=CTA/decisaoData=20030930,local,"(Res. nº 21513 na Cta nº 953, de 30.9.2003, rel. Min. Luiz Carlos Madeira.)"
25949,Inelegibilidades e condições de elegibilidade,959,Cta,Min. Luiz Carlos Madeira,10/14/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=959/processoClasse=CTA/decisaoData=20031014,local,"(Res. nº 21536 na Cta nº 959, de 14.10.2003, rel. Min. Luiz Carlos Madeira.)"
25950,Inelegibilidades e condições de elegibilidade,960,Cta,Min. Barros Monteiro,10/14/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=960/processoClasse=CTA/decisaoData=20031014,local,"(Res. nº 21537 na Cta nº 960, de 14.10.2003, rel. Min. Barros Monteiro.)"
25951,Inelegibilidades e condições de elegibilidade,971,Cta,Min. Luiz Carlos Madeira,11/6/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=971/processoClasse=CTA/decisaoData=20031106,local,"(Res. nº 21557 na Cta nº 971, de 6.11.2003, rel. Min. Luiz Carlos Madeira.)"
25952,Inelegibilidades e condições de elegibilidade,973,Cta,Min. Carlos Velloso,11/18/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/18871,local,"(Res. nº 21564 na Cta nº 973, de 18.11.2003, rel. Min. Carlos Velloso.)"
25953,Inelegibilidades e condições de elegibilidade,981,Cta,Min. Fernando Neves,12/4/2003,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=981/processoClasse=CTA/decisaoData=20031204,local,"(Res. nº 21582 na Cta nº 981, de 4.12.2003, rel. Min. Fernando Neves.)"
25954,Inelegibilidades e condições de elegibilidade,984,Cta,Min. Humberto Gomes de Barros,3/30/2004,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=984/processoClasse=CTA/decisaoData=20040330,local,"(Res. nº 21694 na Cta nº 984, de 30.3.2004, rel. Min. Humberto Gomes de Barros.)"
